h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/03/16 13:00      8760  0316
----A 2021/03/16 08:17    128000  03160802
----A 2021/03/16 08:34    128000  03160819
----A 2021/03/16 08:51    128000  03160836
----A 2021/03/16 09:08    128000  03160853
----A 2021/03/16 09:25    128000  03160910
----A 2021/03/16 09:42    128000  03160927
----A 2021/03/16 09:59    128000  03160944
----A 2021/03/16 10:16    128000  03161001
----A 2021/03/16 10:33    128000  03161018
----A 2021/03/16 10:50    128000  03161035
----A 2021/03/16 11:07    128000  03161052
----A 2021/03/16 11:24    128000  03161109
----A 2021/03/16 11:41    128000  03161126
----A 2021/03/16 11:58    128000  03161143
----A 2021/03/16 12:15    128000  03161200
----A 2021/03/16 12:32    128000  03161217
----A 2021/03/16 12:49    128000  03161234
----A 2021/03/16 12:51      2560  03161251
----A 2021/03/17 13:34      7936  0317
----A 2021/03/17 08:55      2560  03170854
----A 2021/03/17 09:35    128000  03170920
----A 2021/03/17 09:55    128000  03170937
----A 2021/03/17 10:10    128000  03170954
----A 2021/03/17 10:27    128000  03171011
----A 2021/03/17 10:44    128000  03171028
----A 2021/03/17 11:01    128000  03171045
----A 2021/03/17 11:18    128000  03171103
----A 2021/03/17 11:35    128000  03171120
----A 2021/03/17 11:52    128000  03171137
----A 2021/03/17 12:09    128000  03171154
----A 2021/03/17 12:26    128000  03171211
----A 2021/03/17 12:43    128000  03171228
----A 2021/03/17 13:00    128000  03171245
----A 2021/03/17 13:17    128000  03171302
----A 2021/03/17 13:34     42880  03171319

  36 File(s),   4032696 bytes total
   0 Dir(s),     996496K bytes free

/> 
read 0317

read 0317
<CR>Time:2021/03/17 13:34
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 37 26 13 5225 
8 37 40 12 5529 
8 37 56 13 5104 
8 38 10 12 4921 
8 38 26 13 4982 
8 38 40 12 4982 
8 38 56 13 4982 
8 39 10 12 4982 
8 39 26 13 4982 
8 39 40 12 4921 
8 39 56 13 4982 
8 40 10 12 5043 
8 40 26 13 4982 
8 40 40 12 5954 
8 40 56 13 6562 
8 41 10 12 6197 
8 41 26 13 6197 
8 41 40 12 6258 
8 41 56 13 6258 
8 42 10 12 6866 
8 42 26 13 7413 
8 42 40 12 7413 
8 42 56 13 7413 
8 43 10 12 7717 
8 43 26 13 8142 
8 43 40 12 8142 
