h
h

<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/03/16 10:07      8768  0316
----A 2021/03/16 05:21    128000  03160506
----A 2021/03/16 05:39    128000  03160523
----A 2021/03/16 05:55    128000  03160540
----A 2021/03/16 06:13    128000  03160557
----A 2021/03/16 06:29    128000  03160614
----A 2021/03/16 06:47    128000  03160631
----A 2021/03/16 07:03    128000  03160648
----A 2021/03/16 07:21    128000  03160705
----A 2021/03/16 07:37    128000  03160722
----A 2021/03/16 07:55    128000  03160739
----A 2021/03/16 08:11    128000  03160756
----A 2021/03/16 08:29    128000  03160813
----A 2021/03/16 08:45    128000  03160830
----A 2021/03/16 09:02    128000  03160847
----A 2021/03/16 09:19    128000  03160904
----A 2021/03/16 09:38    128000  03160921
----A 2021/03/16 09:55    128000  03160938
----A 2021/03/16 09:55      2560  03160955
----A 2021/03/17 10:39      7904  0317
----A 2021/03/17 06:43    128000  03170625
----A 2021/03/17 06:59    128000  03170642
----A 2021/03/17 07:15    128000  03170659
----A 2021/03/17 07:31    128000  03170716
----A 2021/03/17 07:51    128000  03170733
----A 2021/03/17 08:07    128000  03170750
----A 2021/03/17 08:23    128000  03170807
----A 2021/03/17 08:39    128000  03170824
----A 2021/03/17 08:59    128000  03170841
----A 2021/03/17 09:15    128640  03170858
----A 2021/03/17 09:31    128000  03170915
----A 2021/03/17 09:48    128000  03170932
----A 2021/03/17 10:05    128000  03170949
----A 2021/03/17 10:22    128000  03171007
----A 2021/03/17 10:39     35840  03171024

  35 File(s),   4023712 bytes total
   0 Dir(s),     996512K bytes free

/> 
read 0317
read 0317
<CR>Time:2021/03/17 10:39
Hours Minutes Seconds  Nb_Samples    Aver. Current 
5 42 29 13 5629 
5 42 43 12 5205 
5 42 58 12 4842 
5 43 13 13 4963 
5 43 28 12 4963 
5 43 43 13 4963 
5 43 58 12 4963 
5 44 13 13 4963 
5 44 28 12 4963 
5 44 43 13 4963 
5 44 58 12 5023 
5 45 13 13 4963 
5 45 28 12 5689 
5 45 43 13 6597 
5 45 58 12 6234 
5 46 13 13 6174 
5 46 28 12 6234 
5 46 43 13 6234 
5 46 58 12 6658 
5 47 13 13 7324 
5 47 28 12 7384 
5 47 43 13 7384 
5 47 58 12 7566 
5 48 13 13 8110 
5 48 28 12 8171 
5 48 43 13 8171 
5 48 58 12 8534 
5 49 13 13 8897 
