h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/03/18 14:37     11272  0318
----A 2021/03/18 08:23    128000  03180807
----A 2021/03/18 08:39    128000  03180824
----A 2021/03/18 08:59    128000  03180841
----A 2021/03/18 09:15    128000  03180858
----A 2021/03/18 09:31    128000  03180915
----A 2021/03/18 09:47    128000  03180932
----A 2021/03/18 10:07    128000  03180949
----A 2021/03/18 10:23    128000  03181006
----A 2021/03/18 10:39    128000  03181023
----A 2021/03/18 10:55    128000  03181040
----A 2021/03/18 11:15    128000  03181057
----A 2021/03/18 11:31    128000  03181114
----A 2021/03/18 11:47    128000  03181131
----A 2021/03/18 12:03    128000  03181148
----A 2021/03/18 12:23    128000  03181205
----A 2021/03/18 12:39    128000  03181222
----A 2021/03/18 12:55    128000  03181239
----A 2021/03/18 13:12    128000  03181256
----A 2021/03/17 13:34      7936  0317
----A 2021/03/18 13:29    128000  03181313
----A 2021/03/18 13:46    128000  03181330
----A 2021/03/18 14:03    128000  03181347
----A 2021/03/18 14:20    128000  03181404
----A 2021/03/18 14:23      2560  03181421
----A 2021/03/17 11:18    128000  03171103
----A 2021/03/17 11:35    128000  03171120
----A 2021/03/17 11:52    128000  03171137
----A 2021/03/17 12:09    128000  03171154
----A 2021/03/17 12:26    128000  03171211
----A 2021/03/17 12:43    128000  03171228
----A 2021/03/17 13:00    128000  03171245
----A 2021/03/17 13:17    128000  03171302
----A 2021/03/17 13:34     42880  03171319

  34 File(s),   3904648 bytes total
   0 Dir(s),     996640K bytes free

/> 
read 0318

read 0318
<CR>Time:2021/03/17 13:34
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 0 39 13 5954 
8 0 55 13 6380 
8 1 9 12 6380 
8 1 24 12 6440 
8 1 39 13 7534 
8 1 54 12 7960 
8 2 9 13 7960 
8 2 24 12 7960 
8 2 39 13 8506 
8 2 54 12 8810 
8 3 9 13 8810 
8 3 24 12 8810 
8 3 39 13 8993 
8 3 54 12 9053 
8 4 9 13 9053 
8 4 24 12 9053 
8 4 39 13 9053 
7 56 25 13 9053 
7 56 39 12 9053 
7 56 55 13 9053 
7 57 9 12 9053 
7 57 25 13 9053 
7 57 39 12 8993 
7 57 55 13 9053 
7 58 9 12 9053 
7 58 25 13 9053 
7 58 39 12 9053 
7 58 55 13 9053 
7 59 9 12 9053 
7 59 25 13 9053 
7 59 39 12 9053 
