h

h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/03/18 14:35     11264  0318
----A 2021/03/18 08:23    128000  03180806
----A 2021/03/18 08:38    128000  03180823
----A 2021/03/18 08:55    128000  03180840
----A 2021/03/18 09:14    128000  03180857
----A 2021/03/18 09:31    128000  03180914
----A 2021/03/18 09:46    128000  03180931
----A 2021/03/18 10:03    128000  03180948
----A 2021/03/18 10:23    128000  03181005
----A 2021/03/18 10:39    128000  03181022
----A 2021/03/18 10:55    128000  03181039
----A 2021/03/18 11:11    128000  03181056
----A 2021/03/18 11:31    128000  03181113
----A 2021/03/18 11:47    128000  03181130
----A 2021/03/18 12:03    128000  03181147
----A 2021/03/18 12:19    128000  03181204
----A 2021/03/18 12:39    128000  03181221
----A 2021/03/18 12:55    128000  03181238
----A 2021/03/18 13:11    128000  03181255
----A 2021/03/17 10:39      7904  0317
----A 2021/03/18 13:27    128000  03181312
----A 2021/03/18 13:47    128000  03181329
----A 2021/03/18 14:03    128000  03181346
----A 2021/03/18 14:19    128000  03181403
----A 2021/03/18 14:23      2560  03181420
----A 2021/03/17 08:23    128000  03170807
----A 2021/03/17 08:39    128000  03170824
----A 2021/03/17 08:59    128000  03170841
----A 2021/03/17 09:15    128640  03170858
----A 2021/03/17 09:31    128000  03170915
----A 2021/03/17 09:48    128000  03170932
----A 2021/03/17 10:05    128000  03170949
----A 2021/03/17 10:22    128000  03171007
----A 2021/03/17 10:39     35840  03171024

  34 File(s),   3898208 bytes total
   0 Dir(s),     996640K bytes free

/> 
read 0318
read 0318
<CR>Time:2021/03/17 10:39
Hours Minutes Seconds  Nb_Samples    Aver. Current 
5 5 50 13 6355 
5 6 5 12 6416 
5 6 20 13 6597 
5 6 35 12 7747 
5 6 50 13 7989 
5 7 5 12 7989 
5 7 20 13 8050 
5 7 35 12 8655 
5 7 50 13 8776 
5 8 5 12 8716 
5 8 20 13 8897 
5 8 35 12 9018 
5 8 50 13 9018 
5 9 5 12 9018 
5 9 20 13 9018 
5 9 35 12 9018 
5 9 50 13 9018 
5 10 5 12 9018 
5 10 20 13 9018 
5 10 35 12 9018 
7 56 15 12 9018 
7 56 31 13 9018 
7 56 45 12 9018 
7 57 1 13 9018 
7 57 15 12 9018 
7 57 31 13 9018 
7 57 45 12 9018 
7 58 1 13 9018 
7 58 15 12 9018 
7 58 31 13 9018 
7 58 45 12 9018 
