h
h

<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/03/18 14:37     11272  0318
----A 2021/03/19 12:58      7736  0319
----A 2021/03/19 08:50    128000  03190833
----A 2021/03/19 09:07    128000  03190850
----A 2021/03/19 09:22    128000  03190907
----A 2021/03/19 09:39    128000  03190924
----A 2021/03/19 09:58    128000  03190941
----A 2021/03/19 10:15    128000  03190958
----A 2021/03/19 10:30    128000  03191015
----A 2021/03/19 10:47    128000  03191032
----A 2021/03/19 11:06    128000  03191049
----A 2021/03/19 11:23    128000  03191106
----A 2021/03/19 11:38    128000  03191123
----A 2021/03/19 11:55    128000  03191140
----A 2021/03/19 12:14    128000  03191157
----A 2021/03/19 12:31    128000  03191214
----A 2021/03/18 12:39    128000  03181222
----A 2021/03/18 12:55    128000  03181239
----A 2021/03/18 13:12    128000  03181256
----A 2021/03/19 12:46    128000  03191231
----A 2021/03/18 13:29    128000  03181313
----A 2021/03/18 13:46    128000  03181330
----A 2021/03/18 14:03    128000  03181347
----A 2021/03/18 14:20    128000  03181404
----A 2021/03/18 14:23      2560  03181421
----A 2021/03/19 12:50      2560  03191248
----A 2021/03/20 12:35      8024  0320
----A 2021/03/20 08:15    128000  03200759
----A 2021/03/20 08:31    128000  03200816
----A 2021/03/20 08:51    128000  03200833
----A 2021/03/20 09:07    128000  03200850
----A 2021/03/20 09:23    128000  03200907
----A 2021/03/20 09:39    128000  03200924
----A 2021/03/20 09:59    128000  03200941
----A 2021/03/20 10:15    128000  03200958
----A 2021/03/20 10:31    128000  03201015
----A 2021/03/20 10:47    128000  03201032
----A 2021/03/20 11:07    128000  03201049
----A 2021/03/20 11:23    128000  03201106
----A 2021/03/20 11:39    128000  03201123
----A 2021/03/20 11:55    128000  03201140
----A 2021/03/20 12:15    128000  03201157
----A 2021/03/20 12:31    128000  03201214
----A 2021/03/20 12:31      2560  03201231
----A 2021/03/21 12:47      4224  0321
----A 2021/03/21 10:47    128000  03211032
----A 2021/03/21 11:05    128000  03211049
----A 2021/03/21 11:21    128000  03211106
----A 2021/03/21 11:39    128000  03211123
----A 2021/03/21 11:55    128000  03211140
----A 2021/03/21 12:13    128000  03211157
----A 2021/03/21 12:29    128000  03211214
----A 2021/03/21 12:47     97920  03211231
----A 2021/03/22 13:27      9072  0322
----A 2021/03/22 08:30    128000  03220815
----A 2021/03/22 08:47    128000  03220832
