h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/03/18 14:35     11264  0318
----A 2021/03/19 12:57      7784  0319
----A 2021/03/19 08:46    128000  03190831
----A 2021/03/19 09:03    128000  03190848
----A 2021/03/19 09:22    128000  03190905
----A 2021/03/19 09:39    128000  03190922
----A 2021/03/19 09:54    128000  03190939
----A 2021/03/19 10:11    128000  03190956
----A 2021/03/19 10:30    128000  03191013
----A 2021/03/19 10:47    128000  03191030
----A 2021/03/19 11:02    128000  03191047
----A 2021/03/19 11:19    128000  03191104
----A 2021/03/19 11:38    128000  03191121
----A 2021/03/19 11:55    128000  03191138
----A 2021/03/19 12:10    128000  03191155
----A 2021/03/19 12:27    128000  03191212
----A 2021/03/18 12:39    128000  03181221
----A 2021/03/18 12:55    128000  03181238
----A 2021/03/18 13:11    128000  03181255
----A 2021/03/19 12:46    128000  03191229
----A 2021/03/18 13:27    128000  03181312
----A 2021/03/18 13:47    128000  03181329
----A 2021/03/18 14:03    128000  03181346
----A 2021/03/18 14:19    128000  03181403
----A 2021/03/18 14:23      2560  03181420
----A 2021/03/19 12:46      2560  03191246
----A 2021/03/20 12:35      8120  0320
----A 2021/03/20 08:11    128000  03200756
----A 2021/03/20 08:31    128000  03200813
----A 2021/03/20 08:47    128000  03200830
----A 2021/03/20 09:03    128000  03200847
----A 2021/03/20 09:19    128640  03200904
----A 2021/03/20 09:37    128000  03200921
----A 2021/03/20 09:54    128000  03200938
----A 2021/03/20 10:11    128000  03200955
----A 2021/03/20 10:28    128000  03201013
----A 2021/03/20 10:45    128000  03201030
----A 2021/03/20 11:02    128000  03201047
----A 2021/03/20 11:19    128000  03201104
----A 2021/03/20 11:36    128000  03201121
----A 2021/03/20 11:53    128000  03201138
----A 2021/03/20 12:10    128000  03201155
----A 2021/03/20 12:27    128000  03201212
----A 2021/03/20 12:29      2560  03201229
----A 2021/03/21 12:47      4224  0321
----A 2021/03/21 10:47    128000  03211032
----A 2021/03/21 11:05    128000  03211049
----A 2021/03/21 11:21    128000  03211106
----A 2021/03/21 11:39    128000  03211123
----A 2021/03/21 11:55    128000  03211140
----A 2021/03/21 12:13    128000  03211157
----A 2021/03/21 12:29    128000  03211214
----A 2021/03/21 12:47    111360  03211231
----A 2021/03/22 13:26      9008  0322
----A 2021/03/22 08:30    128000  03220814
----A 2021/03/22 08:47    128000  03220831
