ls
ls
<CR>
         TIME          Size       File name 
----A 2021/04/08 13:25     10696  0408
----A 2021/04/04 12:51     10928  0404
----A 2021/04/08 07:32    128000  04080717
----A 2021/04/08 07:49    128000  04080734
----A 2021/04/08 08:06    128000  04080751
----A 2021/04/08 08:23    128000  04080808
----A 2021/04/08 08:40    128000  04080825
----A 2021/04/08 08:57    128000  04080842
----A 2021/04/08 09:14    128000  04080859
----A 2021/04/08 09:31    128000  04080916
----A 2021/04/08 09:48    128000  04080933
----A 2021/04/08 10:05    128000  04080950
----A 2021/04/08 10:22    128000  04081007
----A 2021/04/08 10:39    128000  04081024
----A 2021/04/08 10:56    128000  04081041
----A 2021/04/08 11:13    128000  04081058
----A 2021/04/08 11:30    128000  04081115
----A 2021/04/08 11:47    128000  04081132
----A 2021/04/08 12:04    128000  04081149
----A 2021/04/08 12:21    128000  04081206
----A 2021/04/08 12:38    128000  04081223
----A 2021/04/08 12:55    128000  04081240
----A 2021/04/08 13:13    128000  04081257
----A 2021/04/08 13:14      2560  04081314
----A 2021/04/04 10:55    128000  04041040
----A 2021/04/04 11:11    128000  04041056
----A 2021/04/04 11:27    128000  04041112
----A 2021/04/04 11:43    128000  04041128
----A 2021/04/04 11:59    128000  04041144
----A 2021/04/04 12:15    128000  04041200
----A 2021/04/04 12:31    128000  04041216
----A 2021/04/04 12:47    128000  04041232
----A 2021/04/04 12:49      2560  04041248

  33 File(s),   3738744 bytes total
   0 Dir(s),     996800K bytes free

/> 
read 0408
<LF>read 0408
<CR>Time:2021/04/04 12:49
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 0 53 12 5164 
7 1 8 13 5954 
7 1 23 12 6015 
7 1 38 13 6380 
7 1 53 12 6987 
7 2 8 13 8263 
7 2 23 12 8628 
7 2 38 13 9296 
7 2 53 12 9236 
7 3 42 12 8993 
7 3 58 13 9053 
7 4 12 12 9053 
7 4 28 13 9053 
7 4 42 12 9053 
7 4 58 13 9053 
7 5 12 12 9053 
7 5 28 13 9053 
7 5 42 12 8993 
7 5 58 13 9053 
7 6 12 12 8993 
7 6 28 13 9053 
7 6 42 12 8993 
7 6 58 13 9053 
7 7 12 12 9053 
7 7 28 13 8993 
7 7 42 12 8993 
7 7 58 13 8993 
7 8 12 12 8993 
7 8 28 13 8993 
7 8 42 12 8993 
7 8 58 13 8993 
7 9 12 12 8993 
7 9 28 13 8993 
7 9 42 12 8993 
7 9 58 13 8993 
7 10 12 12 8993 
7 10 28 13 8993 
7 10 42 12 8993 
7 10 58 13 8993 
7 11 12 12 8993 
7 11 28 13 8993 
7 11 42 12 8993 
7 11 58 13 8993 
7 12 12 12 8993 
7 12 28 13 8993 
7 12 42 12 8993 
7 12 58 13 8993 
7 13 12 12 8993 
7 13 28 13 8993 
7 13 42 12 8993 
7 13 58 13 8993 
7 14 12 12 8993 
7 14 28 13 8993 
7 14 42 12 8993 
7 14 58 13 8993 
7 17 37 13 8993 
