ls
<CR><LF>
ls
<CR>
         TIME          Size       File name 
----A 2021/02/03 14:11      5408  0203
----A 2021/02/03 11:29    128000  02031113
----A 2021/02/03 11:45    128000  02031130
----A 2021/02/03 12:03    128000  02031147
----A 2021/02/03 12:19    128000  02031204
----A 2021/02/03 12:37    128000  02031221
----A 2021/02/03 12:53    128000  02031238
----A 2021/02/03 13:11    128000  02031255
----A 2021/02/03 13:27    128000  02031312
----A 2021/02/03 13:45    128000  02031329
----A 2021/02/03 14:01    128000  02031346
----A 2021/02/03 14:03      2560  02031403
----A 2021/02/04 14:38      7688  0204
----A 2021/02/04 10:05    128000  02040950
----A 2021/02/04 10:22    128000  02041007
----A 2021/02/04 10:39    128000  02041024
----A 2021/02/04 10:56    128000  02041041
----A 2021/02/04 11:13    128000  02041058
----A 2021/02/04 11:30    128000  02041115
----A 2021/02/04 11:47    128000  02041132
----A 2021/02/04 12:04    128000  02041149
----A 2021/02/04 12:21    128000  02041206
----A 2021/02/04 12:23      2560  02041223
----A 2021/02/04 13:35    128000  02041320
----A 2021/02/04 13:55    128000  02041337
----A 2021/02/04 14:11    128000  02041354
----A 2021/02/04 14:27    128000  02041411
----A 2021/02/04 14:31      2560  02041428

  28 File(s),   2964776 bytes total
   0 Dir(s),     997552K bytes free

/> 
read 0204
read 0204
<CR>Time:2021/02/04 14:3121/02/04 14:31
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 35 6 12 6197 
9 35 22 13 6744 
9 35 36 12 6744 
9 35 52 13 6744 
9 36 6 12 6805 
9 36 22 13 6805 
9 36 36 12 6866 
9 36 52 13 8142 
9 37 6 12 8689 
9 37 22 13 9053 
9 37 36 12 9053 
9 37 52 13 9053 
9 38 6 12 9053 
9 38 22 13 9053 
9 38 36 12 9053 
9 38 52 13 9053 
9 39 6 12 9053 
9 39 22 13 8993 
9 39 36 12 8993 
9 39 52 13 9053 
9 40 6 12 9053 
9 40 22 13 9053 
9 40 36 12 9053 
9 40 52 13 9053 
9 41 6 12 9053 
9 41 22 13 9053 
9 41 36 12 9053 
9 41 52 13 9053 
9 42 6 12 9053 
9 42 22 13 9053 
9 42 36 12 9053 
9 42 52 13 8993 
9 43 6 12 9053 
9 43 22 13 9053 
9 43 36 12 9053 
9 43 52 13 9053 
9 44 6 12 9053 
9 44 22 13 9053 
9 44 36 12 9053 
9 44 52 13 9053 
9 45 6 12 9053 
9 45 22 13 9053 
9 45 36 12 9053 
9 45 52 13 8993 
9 46 6 12 9053 
9 46 22 13 8993 
9 46 36 12 8993 
9 46 52 13 8993 
9 47 6 12 9053 
9 47 22 13 9053 
9 47 36 12 9053 
9 47 52 13 8993 
9 48 6 12 8993 
9 50 41 13 9053 
9 50 55 12 9053 
9 51 11 13 8993 
9 51 25 12 8993 
9 51 41 13 9053 
9 51 55 12 9053 
9 52 11 13 9053 
