ls

ls
<CR>
         TIME          Size       File name 
----A 2021/02/03 11:15      5400  0203
----A 2021/02/03 08:33    128000  02030818
----A 2021/02/03 08:50    128000  02030835
----A 2021/02/03 09:07    128000  02030852
----A 2021/02/03 09:24    128000  02030909
----A 2021/02/03 09:41    128000  02030926
----A 2021/02/03 09:58    128000  02030943
----A 2021/02/03 10:15    128000  02031000
----A 2021/02/03 10:32    128000  02031017
----A 2021/02/03 10:49    128000  02031034
----A 2021/02/03 11:06    128000  02031051
----A 2021/02/03 11:08      2560  02031108
----A 2021/02/04 11:41      7632  0204
----A 2021/02/04 07:10    128000  02040655
----A 2021/02/04 07:27    128000  02040712
----A 2021/02/04 07:44    128000  02040729
----A 2021/02/04 08:01    128000  02040746
----A 2021/02/04 08:18    128000  02040803
----A 2021/02/04 08:35    128000  02040820
----A 2021/02/04 08:52    128000  02040837
----A 2021/02/04 09:09    128000  02040854
----A 2021/02/04 09:26    128000  02040911
----A 2021/02/04 09:28      2560  02040928
----A 2021/02/04 10:41    128000  02041025
----A 2021/02/04 10:57    128000  02041042
----A 2021/02/04 11:15    128000  02041059
----A 2021/02/04 11:31    128000  02041116
----A 2021/02/04 11:33      2560  02041133
----A 2021/02/05 10:19      7416  0205
----A 2021/02/05 05:49    128000  02050534
----A 2021/02/05 06:07    128000  02050551
----A 2021/02/05 06:23    128000  02050608
----A 2021/02/05 06:41    128000  02050625
----A 2021/02/05 06:57    128000  02050642
----A 2021/02/05 07:15    128000  02050659
----A 2021/02/05 07:31    128000  02050716
----A 2021/02/05 07:49    128000  02050733
----A 2021/02/05 08:05    128000  02050750
----A 2021/02/05 08:07      2560  02050807
----A 2021/02/05 09:14    128000  02050857
----A 2021/02/05 09:31    128000  02050914
----A 2021/02/05 09:46    128000  02050931
----A 2021/02/05 09:50      2560  02050948
----A 2021/02/06 10:11      5800  0206
----A 2021/02/06 07:13    128000  02060658
----A 2021/02/06 07:31    128000  02060715
----A 2021/02/06 07:47    128000  02060732
----A 2021/02/06 08:06    128000  02060749
----A 2021/02/06 08:23    128000  02060806
----A 2021/02/06 08:38    128000  02060823
----A 2021/02/06 08:55    128000  02060840
----A 2021/02/06 09:14    128000  02060857
----A 2021/02/06 09:31    128000  02060914
----A 2021/02/06 09:46    128000  02060931
----A 2021/02/06 10:03     66560  02060948
----A 2021/02/08 11:14      6504  0208
----A 2021/02/08 07:41    128000  02080725
----A 2021/02/08 07:58     35200  02080742
----A 2021/02/08 08:59    128000  02080844
----A 2021/02/08 09:17    128000  02080901
----A 2021/02/08 09:33    128000  02080918
----A 2021/02/08 09:51    128000  02080935
----A 2021/02/08 10:07    128000  02080952
----A 2021/02/08 10:25    128000  02081009
----A 2021/02/08 10:41    128000  02081026
----A 2021/02/08 10:59    128000  02081043
----A 2021/02/08 11:01      2560  02081100
----A 2021/02/09 11:37      9352  0209
----A 2021/02/09 06:24    128000  02090608
----A 2021/02/09 06:57    221440  02090625
----A 2021/02/09 07:15    128000  02090659
----A 2021/02/09 07:31    128000  02090716
----A 2021/02/09 07:33      2560  02090733
----A 2021/02/09 08:30    128000  02090814
----A 2021/02/09 08:47    128000  02090831
----A 2021/02/09 09:04    128000  02090848
----A 2021/02/09 09:21    128000  02090905
----A 2021/02/09 09:38    128000  02090922
----A 2021/02/09 09:55    128000  02090940
----A 2021/02/09 10:12    128000  02090957
----A 2021/02/09 10:29    128000  02091014
----A 2021/02/09 10:46    128000  02091031
----A 2021/02/09 11:03    128000  02091048
----A 2021/02/09 11:20    128000  02091105
----A 2021/02/09 11:37    128000  02091122
----A 2021/02/09 11:39      2560  02091139
----A 2021/02/10 09:03      4632  0210
----A 2021/02/10 04:59      2560  02100456
----A 2021/02/10 05:53    128000  02100538
----A 2021/02/10 06:11    128000  02100555
----A 2021/02/10 06:12      2560  02100612
----A 2021/02/10 07:59    128000  02100744
----A 2021/02/10 08:18    128000  02100801
----A 2021/02/10 08:35    128000  02100818
----A 2021/02/10 08:50    128000  02100835
----A 2021/02/10 08:54      2560  02100852

  96 File(s),   9998096 bytes total
   0 Dir(s),     990336K bytes free

/> 
read 0210
<LF>read 0210
<CR>Time:2021/02/10 08:54
Hours Minutes Seconds  Nb_Samples    Aver. Current 
4 41 48 12 4842 
4 42 4 13 6658 
4 42 18 12 6960 
4 42 34 13 6900 
4 42 48 12 6960 
4 43 4 13 6900 
4 43 18 12 6960 
4 43 34 13 7566 
4 43 48 12 8292 
4 44 4 13 8353 
4 44 18 12 8413 
4 44 34 13 8716 
4 44 48 12 8958 
4 45 4 13 8958 
4 45 18 12 8958 
4 45 34 13 9079 
4 45 48 12 9079 
4 46 4 13 9079 
4 46 18 12 9079 
4 46 34 13 9079 
4 46 48 12 9079 
4 47 4 13 9079 
4 47 18 12 9079 
4 47 34 13 9079 
4 47 48 12 9079 
4 48 4 13 9079 
4 48 18 12 9079 
4 48 34 13 9079 
4 48 48 12 9079 
4 49 4 13 9079 
4 49 18 12 9079 
4 49 34 13 9079 
4 49 48 12 9079 
4 50 4 13 9079 
4 50 18 12 9018 
4 50 34 13 9018 
4 50 48 12 9079 
4 51 4 13 9079 
4 51 18 12 9079 
4 51 34 13 9079 
4 51 48 12 9079 
4 52 4 13 9079 
4 52 18 12 9018 
4 52 34 13 9079 
4 52 48 12 9079 
4 53 4 13 9018 
4 53 18 12 9079 
4 53 34 13 9079 
4 53 48 12 9079 
4 54 4 13 9018 
4 54 18 12 9079 
4 54 34 13 9079 
4 54 49 12 9018 
4 57 23 13 9018 
4 57 38 12 9018 
4 57 53 13 9079 
4 58 8 12 9079 
4 58 23 13 9079 
4 58 38 12 9018 
4 58 53 13 9079 
4 59 8 12 9079 
4 59 23 13 9079 
4 59 38 12 9079 
4 59 53 13 9079 
5 21 46 12 7868 
5 22 2 13 9018 
5 22 16 12 9018 
5 22 32 13 9018 
5 22 46 12 9018 
5 23 2 13 9018 
5 23 16 12 9018 
5 23 32 13 9018 
5 23 46 12 9018 
5 24 2 13 9018 
5 24 16 12 9018 
5 24 32 13 9018 
5 24 46 12 9018 
5 25 2 13 9018 
5 25 16 12 9018 
5 25 32 13 9018 
5 25 46 12 9018 
5 26 2 13 9018 
5 26 16 12 9018 
5 26 32 13 9018 
5 26 46 12 9018 
5 27 2 13 9018 
5 27 16 12 9018 
5 27 32 13 9018 
5 27 46 12 9018 
5 28 2 13 9018 
5 28 16 12 9018 
5 28 32 13 9018 
5 28 46 12 9018 
5 29 2 13 9018 
5 29 16 12 9018 
5 29 32 13 9018 
5 29 46 12 9018 
5 30 2 13 9018 
5 30 16 12 9018 
5 30 32 13 9018 
5 30 46 12 9018 
5 31 2 13 9018 
5 31 16 12 9018 
5 31 32 13 9018 
5 31 46 12 9018 
5 32 2 13 9018 
5 32 16 12 9018 
5 32 32 13 9018 
5 32 46 12 9018 
5 33 2 13 9018 
5 33 16 12 9018 
5 33 32 13 9018 
5 33 46 12 9018 
5 34 2 13 9018 
5 34 16 12 9018 
5 34 32 13 9018 
5 34 46 12 9018 
5 35 2 13 9018 
5 35 16 12 9018 
5 35 32 13 9018 
5 35 46 12 9018 
5 36 2 13 9018 
5 36 16 12 8958 
5 38 46 12 9018 
5 39 2 13 9018 
5 39 16 12 9018 
5 39 32 13 9018 
5 39 46 12 9018 
5 40 2 13 9018 
5 40 16 12 9018 
5 40 32 13 9018 
5 40 46 12 9018 
5 41 2 13 9018 
5 41 16 12 9018 
5 41 32 13 9018 
5 41 46 12 9018 
5 42 2 13 9018 
5 42 16 12 9018 
5 42 32 13 9018 
5 42 46 12 9018 
5 43 2 13 9018 
5 43 16 12 8958 
5 43 32 13 9018 
5 43 46 12 8958 
5 44 2 13 8958 
5 44 16 12 9018 
5 44 32 13 9018 
5 44 46 12 9018 
5 45 2 13 9018 
5 45 16 12 9018 
5 45 32 13 9018 
5 45 46 12 9018 
5 46 2 13 9018 
5 46 16 12 9018 
5 46 32 13 9018 
5 46 46 12 9018 
5 47 2 13 9018 
5 47 16 12 9018 
5 47 32 13 9018 
5 47 46 12 9018 
5 48 2 13 9018 
5 48 16 12 9018 
