ls
ls
<CR>
         TIME          Size       File name 
----A 2019/10/07 06:38       120  1007
----A 2021/01/29 08:59      2328  0129
----A 2021/01/29 06:48      2560  01290648
----A 2021/01/29 07:26      2560  01290726
----A 2021/01/29 08:47      2560  01290846
----A 2021/01/30 09:35      5856  0130
----A 2021/01/30 05:49      2560  01300549
----A 2021/01/30 07:02    128000  01300647
----A 2021/01/30 07:19    128000  01300704
----A 2021/01/30 07:36    128000  01300721
----A 2021/01/30 07:53    128000  01300738
----A 2021/01/30 08:10    128000  01300755
----A 2021/01/30 08:27    128000  01300812
----A 2021/01/30 08:44    128000  01300829
----A 2021/01/30 09:01    128000  01300846
----A 2021/01/30 09:18    128000  01300903
----A 2021/01/30 09:35     96640  01300920

  17 File(s),   1267184 bytes total
   0 Dir(s),     999216K bytes free

/> 
read0130
read0130
<CR>Bad command!

/> 
read 0130
read 0130
<CR>Time:2021/01/30 09:35
Hours Minutes Seconds  Nb_Samples    Aver. Current 
5 33 27 12 6476 
5 33 43 13 6476 
5 33 57 12 6476 
5 34 13 13 7021 
5 34 27 12 7384 
5 34 43 13 7445 
5 34 57 12 7445 
5 35 13 13 7445 
5 35 27 12 8716 
5 35 43 13 9624 
5 35 57 12 9624 
5 36 13 13 9261 
5 36 27 12 9018 
5 36 43 13 9079 
5 36 57 12 9018 
5 37 13 13 9018 
5 37 27 12 9079 
5 37 43 13 9079 
5 37 57 12 9018 
5 38 13 13 9018 
5 38 27 12 9079 
5 38 43 13 9079 
5 38 57 12 9079 
5 39 13 13 9018 
5 39 27 12 9018 
5 39 43 13 9018 
5 39 57 12 9018 
5 40 13 13 9079 
5 40 27 12 9079 
5 40 43 13 9018 
5 40 57 12 9018 
5 41 13 13 9018 
5 41 27 12 9018 
5 41 43 13 9018 
5 41 57 12 9079 
5 42 13 13 9018 
5 42 27 12 9018 
5 42 43 13 9018 
5 42 57 12 9018 
5 43 13 13 9018 
5 43 27 12 9018 
5 43 43 13 9018 
5 43 57 12 9018 
5 44 13 13 9018 
5 44 27 12 9018 
5 44 43 13 9018 
5 44 59 13 9018 
5 45 13 12 9018 
5 45 27 12 9018 
5 45 43 13 9018 
5 45 57 12 9018 
5 46 13 13 9018 
5 46 27 12 9018 
5 46 43 13 9018 
5 46 57 12 9018 
5 47 13 13 9018 
5 47 27 12 9018 
5 49 59 12 9018 
5 50 14 13 9018 
5 50 29 12 9018 
5 50 44 13 9018 
5 50 59 12 9018 
5 51 14 13 9018 
5 51 29 12 9018 
5 51 44 13 9018 
5 51 58 12 9018 
5 52 14 13 9018 
5 52 29 12 9018 
5 52 44 13 9018 
5 52 59 12 9018 
5 53 14 13 9018 
5 53 29 12 9018 
5 53 44 13 9018 
5 53 59 12 9018 
5 54 14 13 9018 
5 54 29 12 9018 
5 54 44 13 9018 
5 54 59 12 9018 
5 55 14 13 9018 
5 55 29 12 9018 
5 55 44 13 9018 
5 55 59 12 9018 
5 56 14 13 9018 
5 56 29 12 9018 
5 56 44 13 9018 
5 56 59 12 9018 
5 57 14 13 9018 
5 57 29 12 9018 
5 57 44 13 9018 
5 57 59 12 9018 
5 58 14 13 9018 
5 58 29 12 9018 
5 58 44 13 9018 
5 58 59 12 9018 
5 59 14 13 9018 
5 59 29 12 9018 
6 15 12 12 9018 
6 15 27 13 9018 
6 15 42 12 9018 
6 15 57 13 9018 
6 16 12 12 9018 
6 16 27 13 9018 
6 16 42 12 9018 
6 16 57 13 9018 
6 17 12 12 9018 
6 17 27 13 9018 
6 17 42 12 9018 
6 17 57 13 9018 
6 18 12 12 9018 
6 18 27 13 9018 
6 18 42 12 9018 
6 18 57 13 9018 
6 19 12 12 9018 
6 19 27 13 9018 
6 19 42 12 9018 
6 19 57 13 9018 
6 20 12 12 9018 
6 20 27 13 9018 
6 20 43 13 9018 
6 20 57 12 9018 
6 21 12 12 9018 
6 21 27 13 9018 
6 21 43 13 9018 
6 21 57 12 9018 
6 30 55 13 9018 
6 31 9 12 9018 
6 31 25 13 9018 
6 31 39 12 9018 
6 31 55 13 9018 
6 32 9 12 9018 
6 32 25 13 9018 
6 32 39 12 9018 
6 32 55 13 9018 
6 33 9 12 9018 
6 33 25 13 9018 
6 33 39 12 9018 
6 33 55 13 9018 
6 34 9 12 9018 
6 34 25 13 9018 
6 34 39 12 9018 
6 34 55 13 9018 
6 35 9 12 9018 
6 35 25 13 9018 
6 35 39 12 9018 
6 35 55 13 9018 
6 36 9 12 9018 
6 36 25 13 9018 
6 36 39 12 9018 
6 36 55 13 9018 
6 37 9 12 9018 
6 37 25 13 9018 
6 37 39 12 9018 
6 37 55 13 9018 
6 38 9 12 9018 
6 38 25 13 9018 
6 38 39 12 9018 
6 38 55 13 9018 
6 39 9 12 9018 
6 39 25 13 9018 
6 39 39 12 9018 
6 39 55 13 9018 
6 40 9 12 9018 
6 40 25 13 9018 
6 40 39 12 9018 
6 40 55 13 9018 
6 41 9 12 8958 
6 41 25 13 9018 
6 41 39 12 9018 
6 41 55 13 9018 
6 42 9 12 9018 
6 42 25 13 9018 
6 42 39 12 9018 
6 42 55 13 9018 
6 43 9 12 9018 
6 43 25 13 9018 
6 43 39 12 9018 
6 43 55 13 9018 
6 44 9 12 9018 
