ls
ls

<CR>
         TIME          Size       File name 
----A 2021/06/02 12:43      8864  0602
----A 2021/06/02 07:31    128000  06020715
----A 2021/06/02 07:47    128000  06020732
----A 2021/06/02 08:07    128000  06020749
----A 2021/06/02 08:23    128000  06020806
----A 2021/06/02 08:39    128000  06020823
----A 2021/06/02 08:55    128000  06020840
----A 2021/06/02 09:15    128000  06020857
----A 2021/06/02 09:31    128000  06020914
----A 2021/06/02 09:47    128000  06020931
----A 2021/06/02 10:03    128000  06020948
----A 2021/06/02 10:23    128000  06021005
----A 2021/06/02 10:39    128000  06021022
----A 2021/06/02 10:55    128000  06021039
----A 2021/06/02 11:12    128000  06021056
----A 2021/06/02 11:29    128000  06021113
----A 2021/06/02 11:46    128000  06021130
----A 2021/06/02 11:48      2560  06021148
----A 2021/06/03 12:57      8968  0603
----A 2021/06/03 07:27    128000  06030711
----A 2021/06/03 07:43    128000  06030728
----A 2021/06/03 08:02    128000  06030745
----A 2021/06/03 08:19    128000  06030802
----A 2021/06/03 08:19      2560  06030819
----A 2021/06/03 09:50    128000  06030935
----A 2021/06/03 10:07    128000  06030952
----A 2021/06/03 10:26    128000  06031009
----A 2021/06/03 10:43    128000  06031026
----A 2021/06/03 10:58    128000  06031043
----A 2021/06/03 11:15    128000  06031100
----A 2021/06/03 11:34    128000  06031117
----A 2021/06/03 11:51    128000  06031134
----A 2021/06/03 12:06    128000  06031151
----A 2021/06/03 12:23    128000  06031208
----A 2021/06/03 12:42    128000  06031225
----A 2021/06/03 12:42      2560  06031242

  36 File(s),   3993512 bytes total
   0 Dir(s),     996528K bytes free

/> 
read 0603
read 0603
<CR>Time:2021/06/03 12:42
Hours Minutes Seconds  Nb_Samples    Aver. Current 
6 55 14 12 5043 
6 55 29 12 6076 
6 55 44 13 6744 
6 56 0 13 7656 
6 56 14 12 8506 
6 56 29 12 9539 
6 56 44 13 9600 
6 56 59 12 9904 
6 57 14 13 10026 
6 57 30 13 10026 
6 57 44 12 10086 
6 58 0 13 10026 
6 58 14 12 9965 
6 58 30 13 10086 
6 58 44 12 10026 
6 59 0 13 10026 
6 59 14 12 10026 
6 59 30 13 10086 
6 59 44 12 10086 
7 0 0 13 10086 
7 0 14 12 10086 
7 0 30 13 10086 
7 0 44 12 10086 
7 1 0 13 10026 
7 1 14 12 10086 
7 1 30 13 10086 
7 1 44 12 10026 
7 2 0 13 10086 
7 2 14 12 10086 
7 2 30 13 10086 
7 2 44 12 10026 
7 3 0 13 10026 
7 3 14 12 10026 
7 3 30 13 10026 
7 3 44 12 10026 
7 4 0 13 10026 
7 4 14 12 10026 
7 4 30 13 10086 
7 4 44 12 10026 
7 5 0 13 10086 
7 5 14 12 10026 
7 5 30 13 10026 
7 5 44 12 10086 
7 6 0 13 10026 
7 6 14 12 10026 
7 6 30 13 10026 
7 6 44 12 10026 
7 7 0 13 10026 
7 7 14 12 10026 
7 7 30 13 10026 
7 7 44 12 10026 
7 8 0 13 10026 
7 8 14 12 10026 
7 8 30 13 10026 
7 8 44 12 10086 
7 9 0 13 10026 
7 9 14 12 10026 
7 9 30 13 10086 
7 12 0 13 10026 
7 12 15 12 10026 
7 12 31 13 9965 
7 12 45 12 10026 
7 13 1 13 10026 
7 13 15 12 10026 
7 13 30 13 10026 
7 13 45 12 10026 
7 14 1 13 10026 
7 14 15 12 9965 
7 14 31 13 10026 
7 14 46 13 9965 
7 15 0 12 9965 
7 15 16 13 10026 
7 15 30 12 9965 
7 15 45 12 10026 
7 16 1 13 10026 
7 16 15 12 10026 
7 16 31 13 10026 
7 16 45 12 10086 
7 17 1 13 10026 
7 17 15 12 10026 
7 17 30 13 10026 
7 17 46 13 10026 
7 18 0 12 9965 
7 18 15 12 10026 
7 18 30 13 9965 
7 18 46 13 10026 
7 19 0 12 10026 
7 19 15 12 10026 
7 19 30 13 9965 
7 19 46 13 9965 
7 20 0 12 9965 
7 20 16 13 10026 
7 20 31 12 9965 
7 20 45 12 9965 
7 21 0 13 10026 
7 21 16 13 9965 
7 21 30 12 10026 
7 21 46 13 9965 
7 22 0 12 10026 
7 22 16 13 9965 
7 22 30 12 9965 
7 22 45 12 9965 
7 23 1 13 10026 
7 23 16 13 10026 
7 23 30 12 10026 
7 23 46 13 10026 
7 24 1 12 9965 
7 24 15 12 9965 
7 24 30 13 10026 
7 24 46 13 10026 
7 25 0 12 10026 
7 25 16 13 10026 
7 25 30 12 10026 
7 25 45 12 10026 
7 26 0 13 9965 
7 26 15 12 10026 
7 26 30 13 9965 
7 29 1 13 10026 
7 29 16 12 10026 
7 29 32 13 10026 
7 29 46 12 10026 
7 30 1 13 9965 
7 30 16 12 10026 
7 30 32 13 9965 
7 30 46 12 10026 
7 31 1 13 10026 
7 31 16 12 10026 
7 31 32 13 10026 
7 31 47 13 9965 
7 32 2 12 10026 
7 32 17 13 10026 
7 32 32 12 9965 
7 32 47 13 9965 
7 33 1 12 10026 
7 33 17 13 10026 
7 33 32 12 10026 
7 33 47 13 9965 
7 34 2 12 9965 
7 34 16 12 9965 
7 34 32 13 9965 
7 34 46 12 10026 
7 35 1 13 9965 
7 35 17 13 9965 
7 35 32 12 9965 
7 35 47 13 10026 
7 36 2 12 10026 
7 36 16 12 9965 
7 36 31 13 9965 
7 36 46 12 10026 
7 37 1 13 9965 
7 37 17 13 10026 
7 37 32 12 10026 
7 37 46 12 10026 
7 38 2 13 9965 
7 38 17 13 9965 
7 38 32 12 9965 
7 38 46 12 9965 
7 39 2 13 9965 
7 39 17 13 10026 
7 39 31 12 10026 
7 39 46 12 9965 
7 40 1 13 9965 
7 40 17 13 10026 
7 40 32 12 10026 
7 40 47 13 9965 
7 41 1 12 9965 
7 41 16 12 10026 
7 41 31 13 9965 
7 41 46 12 9965 
7 42 1 13 9965 
7 42 17 13 9965 
7 42 32 12 9965 
7 42 47 13 9965 
7 43 1 12 9965 
7 43 17 13 9965 
7 43 32 12 9965 
7 46 3 13 9965 
7 46 17 12 9965 
7 46 33 13 9965 
7 46 47 12 9965 
7 47 3 13 9965 
7 47 17 12 9965 
7 47 33 13 10026 
7 47 47 12 10026 
7 48 3 13 10147 
7 48 17 12 10147 
7 48 33 13 10147 
7 48 47 12 10147 
7 49 3 13 10147 
7 49 17 12 10147 
7 49 33 13 10147 
7 49 47 12 10147 
7 50 3 13 10147 
7 50 17 12 10147 
7 50 33 13 10147 
7 50 47 12 10147 
7 51 3 13 10147 
7 51 17 12 10147 
7 51 33 13 10147 
7 51 47 12 10147 
7 52 3 13 10147 
7 52 17 12 10147 
7 52 33 13 10147 
7 52 47 12 10147 
7 53 3 13 10147 
7 53 17 12 10147 
7 53 33 13 10147 
7 53 47 12 10147 
7 54 3 13 10147 
7 54 17 12 10147 
7 54 33 13 10147 
7 54 47 12 10147 
7 55 3 13 10147 
7 55 17 12 10147 
7 55 33 13 10147 
7 55 47 12 10147 
7 56 3 13 10147 
7 56 17 12 10147 
7 56 33 13 10147 
7 56 47 12 10147 
7 57 3 13 10147 
7 57 17 12 10147 
7 57 33 13 10147 
7 57 47 12 10147 
7 58 3 13 10147 
7 58 17 12 10147 
7 58 33 13 10147 
7 58 47 12 10147 
7 59 3 13 10086 
7 59 17 12 10086 
7 59 33 13 10086 
7 59 47 12 10147 
8 0 3 13 10086 
8 0 17 12 10147 
8 0 33 13 10086 
8 3 3 13 10147 
8 3 17 12 10147 
8 3 33 13 10147 
8 3 47 12 10147 
8 4 3 13 10086 
8 4 17 12 10147 
8 4 33 13 10147 
8 4 47 12 10147 
8 5 3 13 10147 
8 5 17 12 10147 
8 5 33 13 10147 
8 5 47 12 10147 
8 6 3 13 10147 
8 6 17 12 10147 
8 6 33 13 10147 
8 6 47 12 10086 
8 7 3 13 10147 
8 7 17 12 10147 
8 7 33 13 10147 
8 7 47 12 10147 
8 8 3 13 10147 
8 8 17 12 10147 
8 8 33 13 10147 
8 8 47 12 10147 
8 9 3 13 10147 
8 9 17 12 10147 
8 9 33 13 10147 
8 9 47 12 10147 
8 10 3 13 10147 
8 10 17 12 10147 
8 10 33 13 10147 
8 10 47 12 10147 
8 11 3 13 10147 
8 11 17 12 10147 
8 11 33 13 10147 
8 11 47 12 10147 
8 12 3 13 10147 
8 12 17 12 10147 
8 12 33 13 10147 
8 12 48 13 10147 
8 13 3 12 10147 
8 13 17 12 10147 
8 13 33 13 10147 
8 13 47 12 10147 
8 14 3 13 10147 
8 14 17 12 10147 
8 14 33 13 10147 
8 14 49 13 10147 
8 15 3 12 10147 
