ls
ls
<CR>
         TIME          Size       File name 
----A 2021/06/02 12:35      8824  0602
----A 2021/06/02 07:23    128000  06020708
----A 2021/06/02 07:43    128000  06020725
----A 2021/06/02 07:59    128000  06020742
----A 2021/06/02 08:15    128000  06020759
----A 2021/06/02 08:31    128000  06020816
----A 2021/06/02 08:51    128000  06020833
----A 2021/06/02 09:07    128000  06020850
----A 2021/06/02 09:23    128000  06020907
----A 2021/06/02 09:39    128000  06020924
----A 2021/06/02 09:59    128000  06020941
----A 2021/06/02 10:15    128000  06020958
----A 2021/06/02 10:31    128000  06021015
----A 2021/06/02 10:47    128000  06021032
----A 2021/06/02 11:07    128000  06021049
----A 2021/06/02 11:23    128000  06021106
----A 2021/06/02 11:39    128000  06021123
----A 2021/06/02 11:43      2560  06021140
----A 2021/06/03 12:49      8896  0603
----A 2021/06/03 07:19    129280  06030704
----A 2021/06/03 07:38    129280  06030721
----A 2021/06/03 07:55    128000  06030738
----A 2021/06/03 08:10    128000  06030755
----A 2021/06/03 08:14      2560  06030812
----A 2021/06/03 09:43    128000  06030928
----A 2021/06/03 10:02    128000  06030945
----A 2021/06/03 10:19    128000  06031002
----A 2021/06/03 10:34    128000  06031019
----A 2021/06/03 10:51    128000  06031036
----A 2021/06/03 11:10    128000  06031053
----A 2021/06/03 11:27    128000  06031110
----A 2021/06/03 11:42    128000  06031127
----A 2021/06/03 11:59    128000  06031144
----A 2021/06/03 12:18    128000  06031201
----A 2021/06/03 12:35    128000  06031218
----A 2021/06/03 12:35      2560  06031235
----A 2021/06/04 12:44      9528  0604
----A 2021/06/04 07:33    128000  06040717
----A 2021/06/04 07:49    128000  06040734
----A 2021/06/04 08:07    128000  06040751
----A 2021/06/04 08:23    128000  06040808
----A 2021/06/04 08:41    128000  06040825
----A 2021/06/04 08:57    128000  06040842
----A 2021/06/04 09:15    128000  06040859
----A 2021/06/04 09:31    128000  06040916
----A 2021/06/04 09:50    128000  06040933
----A 2021/06/04 10:07    128000  06040950
----A 2021/06/04 10:22    128000  06041007
----A 2021/06/04 10:39    128000  06041024
----A 2021/06/04 10:58    128000  06041041
----A 2021/06/04 11:15    128000  06041058
----A 2021/06/04 11:30    128000  06041115
----A 2021/06/04 11:47    128000  06041132
----A 2021/06/04 12:06    128000  06041149
----A 2021/06/04 12:23    128000  06041206
----A 2021/06/04 12:38    128000  06041223
----A 2021/06/04 12:42      2560  06041240
----A 2021/06/05 12:19      9240  0605
----A 2021/06/05 07:19    128000  06050704
----A 2021/06/05 07:36    128000  06050721
----A 2021/06/05 07:53    128000  06050738
----A 2021/06/05 08:10    128000  06050755
----A 2021/06/05 08:27    128000  06050812
----A 2021/06/05 08:44    128000  06050829
----A 2021/06/05 09:01    128000  06050846
----A 2021/06/05 09:18    128000  06050903
----A 2021/06/05 09:35    128000  06050920
----A 2021/06/05 09:52    128000  06050937
----A 2021/06/05 10:09    128000  06050954
----A 2021/06/05 10:26    128000  06051011
----A 2021/06/05 10:43    128000  06051028
----A 2021/06/05 11:00    128000  06051045
----A 2021/06/05 11:17    128000  06051102
----A 2021/06/05 11:34    128000  06051119
----A 2021/06/05 11:51    128000  06051136
----A 2021/06/05 12:08    128000  06051153
----A 2021/06/05 12:10      2560  06051210
----A 2021/06/07 12:17      9072  0607
----A 2021/06/07 07:31    128000  06070714
----A 2021/06/07 07:47    128000  06070731
----A 2021/06/07 08:03    128000  06070748
----A 2021/06/07 08:21    128000  06070805
----A 2021/06/07 08:38    128000  06070822
----A 2021/06/07 08:55    128000  06070839
----A 2021/06/07 09:12    128000  06070856
----A 2021/06/07 09:29    128000  06070913
----A 2021/06/07 09:46    128000  06070930
----A 2021/06/07 10:03    128000  06070948
----A 2021/06/07 10:20    128000  06071005
----A 2021/06/07 10:37    128000  06071022
----A 2021/06/07 10:54    128000  06071039
----A 2021/06/07 11:11    128000  06071056
----A 2021/06/07 11:28    128000  06071113
----A 2021/06/07 11:45    128000  06071130
----A 2021/06/07 12:02    128000  06071147
----A 2021/06/07 12:04      2560  06071204

  96 File(s),  10943480 bytes total
   0 Dir(s),     989520K bytes free

/> 
read 0607<CR><LF>
read 0607
<CR>Time:2021/06/07 12:04
Hours Minutes Seconds  Nb_Samples    Aver. Current 
6 51 59 12 6684 
6 52 15 13 7595 
6 52 29 12 8506 
6 52 45 13 9114 
6 52 59 12 9661 
6 53 15 13 9722 
6 53 29 12 9965 
6 53 45 13 9965 
6 53 59 12 10026 
6 54 15 13 10026 
6 54 29 12 10026 
6 54 45 13 10026 
6 54 59 12 10026 
6 55 15 13 10026 
6 55 29 12 10026 
6 55 45 13 10026 
6 55 59 12 10026 
6 56 15 13 10026 
6 56 29 12 10026 
6 56 45 13 10026 
6 56 59 12 10026 
6 57 15 13 10026 
6 57 29 12 10026 
6 58 40 12 10026 
6 58 55 13 10026 
6 59 10 12 10026 
6 59 25 13 10026 
6 59 40 12 10026 
6 59 55 13 10026 
7 0 10 12 10026 
7 0 25 13 10026 
7 0 40 12 10026 
7 0 55 13 10026 
7 1 10 12 10026 
7 1 25 13 10026 
7 1 40 12 10026 
7 1 55 13 10026 
7 2 10 12 10026 
7 2 25 13 10026 
7 2 40 12 10026 
7 2 55 13 10026 
7 3 10 12 10026 
7 3 25 13 10026 
7 3 40 12 10026 
7 3 55 13 10026 
7 4 10 12 10026 
7 4 25 13 10026 
7 4 40 12 10026 
7 4 55 13 10026 
7 5 10 12 10026 
7 5 25 13 10026 
7 5 40 12 10026 
7 5 55 13 10026 
7 6 10 12 10026 
7 6 25 13 10026 
7 6 40 12 10026 
7 6 55 13 10026 
7 7 10 12 10026 
7 7 25 13 10026 
7 7 40 12 10026 
7 7 55 13 10026 
7 8 10 12 10026 
7 8 25 13 10026 
7 8 40 12 10026 
7 8 55 13 10026 
7 9 10 12 10026 
7 9 25 13 10026 
7 9 40 12 10026 
7 9 55 13 10026 
7 10 10 12 10026 
7 10 25 13 10026 
7 10 40 12 10026 
7 10 55 13 10026 
7 11 10 12 10026 
7 11 25 13 10026 
7 11 40 12 10026 
7 11 55 13 10026 
7 12 10 12 10026 
7 12 25 13 10026 
7 12 40 12 10026 
7 12 55 13 10026 
7 15 26 12 10026 
7 15 42 13 10026 
7 15 56 12 10026 
7 16 12 13 10026 
7 16 26 12 10026 
7 16 42 13 10026 
7 16 56 12 10026 
7 17 12 13 10026 
7 17 26 12 10026 
7 17 42 13 10026 
7 17 56 12 10026 
7 18 12 13 10026 
7 18 26 12 10026 
7 18 42 13 10026 
7 18 56 12 10026 
7 19 12 13 10026 
7 19 26 12 10026 
7 19 42 13 10026 
7 19 56 12 10026 
7 20 12 13 10026 
7 20 26 12 10026 
7 20 42 13 10026 
7 20 56 12 10026 
7 21 12 13 10026 
7 21 26 12 10026 
7 21 42 13 10026 
7 21 56 12 10026 
7 22 12 13 10026 
7 22 26 12 10026 
7 22 42 13 10026 
7 22 56 12 10026 
7 23 12 13 10026 
7 23 26 12 10026 
7 23 42 13 10026 
7 23 56 12 10026 
7 24 12 13 10026 
7 24 26 12 10026 
7 24 42 13 10026 
7 24 56 12 10026 
7 25 12 13 10026 
7 25 26 12 10026 
7 25 42 13 10026 
7 25 56 12 10026 
7 26 12 13 10026 
7 26 26 12 10026 
7 26 42 13 10026 
7 26 56 12 10026 
7 27 12 13 10026 
7 27 26 12 10026 
7 27 42 13 10026 
7 27 56 12 10026 
7 28 12 13 10026 
7 28 26 12 10026 
7 28 42 13 10026 
7 28 56 12 10026 
7 29 12 13 10026 
7 29 26 12 10026 
7 29 42 13 10026 
7 29 56 12 10026 
7 32 27 13 10026 
7 32 42 12 10026 
7 32 57 13 10026 
7 33 12 12 10026 
7 33 27 13 10026 
7 33 42 12 10026 
7 33 57 13 10026 
7 34 12 12 10026 
7 34 27 13 10026 
7 34 42 12 10026 
7 34 57 13 10026 
7 35 12 12 10026 
7 35 27 13 10026 
7 35 42 12 10026 
7 35 57 13 10026 
7 36 12 12 10026 
7 36 27 13 10026 
7 36 42 12 10026 
7 36 57 13 10026 
7 37 12 12 10026 
7 37 27 13 10026 
7 37 42 12 10026 
7 37 57 13 10026 
7 38 12 12 10026 
7 38 27 13 10026 
7 38 42 12 10026 
7 38 57 13 10026 
7 39 12 12 10026 
7 39 27 13 10026 
7 39 42 12 10026 
7 39 57 13 10026 
7 40 12 12 10026 
7 40 27 13 10026 
7 40 42 12 10026 
7 40 57 13 10026 
7 41 12 12 10026 
7 41 27 13 10026 
7 41 42 12 10026 
7 41 57 13 10026 
7 42 12 12 10026 
7 42 27 13 10026 
7 42 42 12 10026 
7 42 57 13 10026 
7 43 12 12 10026 
7 43 27 13 10026 
7 43 42 12 10026 
7 43 57 13 10026 
7 44 12 12 10026 
7 44 27 13 10026 
7 44 42 12 10026 
7 44 57 13 10026 
7 45 12 12 10026 
7 45 27 13 10026 
7 45 42 12 10026 
7 45 57 13 10026 
7 46 12 12 10026 
7 46 27 13 10026 
7 46 42 12 10026 
7 46 57 13 10026 
7 49 28 13 10026 
7 49 43 12 10026 
7 49 58 13 10026 
7 50 13 12 10026 
7 50 28 13 10026 
7 50 43 12 10026 
7 50 58 13 10026 
7 51 13 12 10026 
7 51 28 13 10026 
7 51 43 12 10026 
7 51 58 13 10026 
7 52 13 12 10026 
7 52 28 13 10026 
7 52 43 12 10026 
7 52 58 13 10026 
7 53 13 12 10026 
7 53 28 13 10026 
7 53 43 12 10026 
7 53 58 13 10026 
7 54 13 12 10026 
7 54 28 13 10026 
7 54 43 12 10026 
7 54 58 13 10026 
7 55 13 12 10026 
7 55 28 13 10026 
7 55 43 12 10026 
7 55 58 13 10026 
7 56 13 12 10026 
7 56 28 13 10026 
7 56 43 12 10026 
7 56 58 13 10026 
7 57 13 12 10026 
7 57 28 13 10026 
7 57 43 12 10026 
7 57 58 13 10026 
7 58 13 12 10026 
7 58 28 13 10026 
7 58 43 12 10026 
7 58 58 13 10026 
7 59 13 12 10026 
7 59 28 13 10026 
7 59 43 12 10026 
7 59 58 13 10026 
8 0 13 12 10026 
8 0 28 13 10026 
8 0 43 12 10026 
8 0 58 13 10026 
8 1 13 12 10026 
8 1 28 13 10026 
8 1 43 12 10026 
8 1 58 13 10026 
8 2 13 12 10026 
8 2 28 13 10026 
8 2 43 12 10026 
8 2 58 13 10026 
8 3 13 12 10026 
8 3 28 13 10026 
8 3 43 12 10026 
8 3 58 13 10026 
8 6 30 13 10026 
8 6 44 12 10026 
8 7 0 13 10026 
8 7 14 12 10026 
8 7 30 13 10026 
8 7 44 12 10026 
8 8 0 13 10026 
8 8 14 12 10026 
8 8 30 13 10026 
8 8 44 12 10026 
8 9 0 13 10026 
8 9 14 12 10026 
8 9 30 13 10026 
8 9 44 12 10026 
8 10 0 13 10026 
8 10 14 12 10026 
8 10 30 13 10026 
8 10 44 12 10026 
8 11 0 13 10026 
8 11 14 12 10026 
8 11 30 13 10026 
8 11 44 12 10026 
8 12 0 13 10026 
8 12 14 12 10026 
8 12 30 13 10026 
8 12 44 12 10026 
8 13 0 13 10026 
8 13 14 12 10026 
8 13 30 13 10026 
8 13 44 12 10026 
8 14 0 13 10026 
8 14 14 12 10026 
8 14 30 13 10026 
8 14 44 12 10026 
8 15 0 13 10026 
8 15 14 12 10026 
8 15 30 13 10026 
8 15 44 12 10026 
8 16 0 13 10026 
8 16 14 12 10026 
8 16 30 13 10026 
8 16 44 12 10026 
8 17 0 13 10026 
8 17 14 12 10026 
8 17 30 13 10026 
8 17 44 12 10026 
8 18 0 13 10026 
8 18 14 12 10026 
8 18 30 13 10026 
8 18 44 12 10026 
8 19 0 13 10026 
8 19 14 12 10026 
8 19 30 13 10026 
8 19 44 12 10026 
8 20 0 13 10026 
8 20 14 12 10026 
8 20 30 13 10026 
8 20 44 12 10026 
8 21 0 13 10026 
8 23 30 13 10026 
8 23 44 12 10026 
8 24 0 13 10026 
8 24 14 12 10026 
8 24 30 13 10026 
8 24 44 12 10026 
8 25 0 13 10026 
8 25 14 12 10026 
8 25 30 13 10026 
8 25 44 12 10026 
8 26 0 13 10026 
8 26 14 12 10026 
8 26 30 13 10026 
8 26 44 12 10026 
8 27 0 13 10026 
8 27 14 12 10026 
8 27 30 13 10026 
8 27 44 12 10026 
8 28 0 13 10026 
8 28 14 12 10026 
8 28 30 13 10026 
8 28 44 12 10026 
8 29 0 13 10026 
8 29 14 12 10026 
8 29 30 13 10026 
8 29 44 12 10026 
8 30 0 13 10026 
8 30 14 12 10026 
8 30 30 13 10026 
8 30 44 12 10026 
8 31 0 13 10026 
8 31 14 12 10026 
8 31 30 13 10026 
8 31 44 12 10026 
8 32 0 13 10026 
8 32 14 12 10026 
8 32 30 13 10026 
8 32 44 12 10026 
8 33 0 13 10026 
8 33 14 12 10026 
8 33 30 13 10026 
8 33 44 12 10026 
8 34 0 13 10026 
8 34 14 12 10026 
8 34 30 13 10026 
8 34 44 12 10026 
8 35 0 13 10026 
8 35 14 12 10026 
8 35 30 13 10026 
8 35 44 12 10026 
8 36 0 13 10026 
8 36 14 12 10026 
8 36 30 13 10026 
8 36 44 12 10026 
8 37 0 13 10026 
8 37 14 12 10026 
8 37 30 13 10026 
8 37 44 12 10026 
8 38 0 13 10026 
8 40 31 13 10026 
8 40 45 12 10026 
8 41 1 13 10026 
8 41 15 12 10026 
8 41 31 13 10026 
8 41 45 12 10026 
8 42 1 13 10026 
8 42 15 12 10026 
8 42 31 13 10026 
8 42 45 12 10026 
8 43 1 13 10026 
8 43 15 12 10026 
8 43 31 13 10026 
8 43 45 12 10026 
8 44 1 13 10026 
8 44 15 12 10026 
8 44 31 13 10026 
8 44 45 12 10026 
8 45 1 13 10026 
8 45 15 12 10026 
8 45 31 13 10026 
8 45 45 12 10026 
8 46 1 13 10026 
8 46 15 12 10026 
8 46 31 13 10026 
8 46 45 12 10026 
8 47 1 13 10026 
8 47 15 12 10026 
8 47 31 13 10026 
8 47 45 12 10026 
8 48 1 13 10026 
8 48 15 12 10026 
8 48 31 13 10026 
8 48 45 12 10026 
8 49 1 13 10026 
8 49 15 12 10026 
8 49 31 13 10026 
8 49 45 12 10026 
8 50 1 13 10026 
8 50 15 12 10026 
8 50 31 13 10026 
8 50 45 12 10026 
8 51 1 13 10026 
8 51 15 12 10026 
8 51 31 13 10026 
8 51 45 12 10026 
8 52 1 13 10026 
8 52 15 12 10026 
8 52 31 13 10026 
8 52 45 12 10026 
8 53 1 13 10026 
8 53 15 12 10026 
8 53 31 13 10026 
8 53 45 12 10026 
8 54 1 13 10026 
8 54 15 12 10026 
8 54 31 13 10026 
8 54 45 12 10026 
8 55 1 13 10026 
8 57 31 13 10026 
8 57 45 12 10026 
8 58 1 13 10026 
8 58 15 12 10026 
8 58 31 13 10026 
8 58 45 12 10026 
8 59 1 13 10026 
8 59 15 12 10026 
8 59 31 13 10026 
8 59 45 12 10026 
9 0 1 13 10026 
9 0 15 12 10026 
9 0 31 13 10026 
9 0 45 12 10026 
9 1 1 13 10026 
9 1 15 12 10026 
9 1 31 13 10026 
9 1 45 12 10026 
9 2 1 13 10026 
9 2 15 12 10026 
9 2 31 13 10026 
9 2 45 12 10026 
9 3 1 13 10026 
9 3 15 12 10026 
9 3 31 13 10026 
9 3 45 12 10026 
9 4 1 13 10026 
9 4 15 12 10026 
9 4 31 13 10026 
9 4 45 12 10026 
9 5 1 13 10026 
9 5 15 12 10026 
9 5 31 13 10026 
9 5 45 12 10026 
9 6 1 13 10026 
9 6 15 12 10026 
9 6 31 13 10026 
9 6 45 12 10026 
9 7 1 13 10026 
9 7 15 12 10026 
9 7 31 13 10026 
9 7 45 12 10026 
9 8 1 13 10026 
9 8 15 12 10026 
9 8 31 13 10026 
9 8 45 12 10026 
9 9 1 13 10026 
9 9 15 12 10026 
9 9 31 13 10026 
9 9 45 12 10026 
9 10 1 13 10026 
9 10 15 12 10026 
9 10 31 13 10026 
9 10 45 12 10026 
9 11 1 13 10026 
9 11 15 12 10026 
9 11 31 13 10026 
9 11 45 12 10026 
9 12 1 13 10026 
9 14 31 13 10026 
9 14 45 12 10026 
9 15 1 13 10026 
9 15 15 12 10026 
9 15 31 13 10026 
9 15 45 12 10026 
9 16 1 13 10026 
9 16 15 12 10026 
9 16 31 13 10026 
9 16 45 12 10026 
9 17 1 13 10026 
9 17 15 12 10026 
9 17 31 13 10026 
9 17 45 12 10026 
9 18 1 13 10026 
9 18 15 12 10026 
9 18 31 13 10026 
9 18 45 12 10026 
9 19 1 13 10026 
9 19 15 12 10026 
9 19 31 13 10026 
9 19 45 12 10026 
9 20 1 13 10026 
9 20 15 12 10026 
9 20 31 13 10026 
9 20 45 12 10026 
9 21 1 13 10026 
9 21 15 12 10026 
9 21 31 13 10026 
9 21 45 12 10026 
9 22 1 13 10026 
9 22 15 12 10026 
9 22 31 13 10026 
9 22 45 12 10026 
9 23 1 13 10026 
9 23 15 12 10026 
9 23 31 13 10026 
9 23 45 12 10026 
9 24 1 13 10026 
9 24 15 12 10026 
9 24 31 13 10026 
9 24 45 12 10026 
9 25 1 13 10026 
9 25 15 12 10026 
9 25 31 13 10026 
9 25 45 12 10026 
9 26 1 13 10026 
9 26 15 12 10026 
9 26 31 13 10026 
9 26 45 12 10026 
9 27 1 13 10026 
9 27 15 12 10026 
9 27 31 13 10026 
9 27 45 12 10026 
9 28 1 13 10026 
9 28 15 12 10026 
9 28 31 13 10026 
9 28 45 12 10026 
9 29 1 13 10026 
9 31 32 13 10026 
9 31 47 12 10026 
9 32 2 13 10026 
9 32 17 12 10026 
9 32 32 13 10026 
9 32 47 12 10026 
9 33 2 13 10026 
9 33 17 12 10026 
9 33 32 13 10026 
9 33 47 12 10026 
9 34 2 13 10026 
9 34 17 12 10026 
9 34 32 13 10026 
9 34 47 12 10026 
9 35 2 13 10026 
9 35 17 12 10026 
9 35 32 13 10026 
9 35 47 12 10026 
9 36 2 13 10026 
9 36 17 12 10026 
9 36 32 13 10026 
9 36 47 12 10026 
9 37 2 13 10026 
9 37 17 12 10026 
9 37 32 13 10026 
9 37 47 12 10026 
9 38 2 13 10026 
9 38 17 12 10026 
9 38 32 13 10026 
9 38 47 12 10026 
9 39 2 13 10026 
9 39 17 12 10026 
9 39 32 13 10026 
9 39 47 12 10026 
9 40 2 13 10026 
9 40 17 12 10026 
9 40 32 13 10026 
9 40 47 12 10026 
9 41 2 13 10026 
9 41 17 12 10026 
9 41 32 13 10026 
9 41 47 12 10026 
9 42 2 13 10026 
9 42 17 12 10026 
9 42 32 13 10026 
9 42 47 12 10026 
9 43 2 13 10026 
9 43 17 12 10026 
9 43 32 13 10026 
