

/> 
read_ramp 05241234
<CR>Time:2021/05/24 15:21Ramp data first polarity: 
728 730 730 729 730 730 730 730 729 730 729 729 729 729 730 730 730 730 729 730 729 729 729 730 729 730 730 729 730 729 730 730 730 730 729 730 729 730 730 730 730 730 729 730 730 730 728 729 731 730 730 730 730 730 729 730 730 730 729 729 729 730 730 729 729 730 725 725 723 723 721 721 719 717 716 714 712 711 709 709 707 706 705 702 702 701 700 698 697 697 695 694 691 691 690 689 687 686 686 684 681 681 680 678 678 676 675 673 672 670 670 669 667 667 665 664 662 661 660 658 658 656 656 655 652 652 650 649 648 647 646 645 643 642 641 639 637 638 635 636 634 632 631 629 628 627 627 626 623 623 621 620 619 618 617 616 615 613 612 611 610 609 607 606 606 604 602 601 600 599 598 597 596 595 593 592 591 590 589 587 587 586 584 583 581 580 580 578 578 577 575 574 572 571 571 569 567 568 566 564 563 563 561 560 559 559 557 556 554 553 552 551 550 549 548 547 545 544 544 542 541 540 540 539 536 536 534 534 532 532 532 529 528 527 526 524 524 523 522 521 519 519 518 517 516 516 515 514 512 513 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0524
<CR>Time:2021/05/24 15:21
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 47 21 224 10290 
9 47 36 219 10531 
9 47 51 223 11614 
9 48 6 224 13118 
9 48 21 223 13299 
9 48 36 224 13419 
9 51 58 224 12998 
9 52 13 223 12998 
9 52 28 224 12998 
9 52 43 223 12998 
9 52 58 224 12998 
9 53 13 223 12998 
9 53 28 224 12998 
9 53 43 223 12998 
9 53 58 224 12998 
9 54 13 223 12998 
9 54 28 224 12998 
9 54 43 223 12998 
9 54 58 224 12998 
9 55 13 223 12998 
9 55 28 224 12998 
9 55 43 223 12998 
9 55 58 224 12998 
9 56 13 223 12998 
9 56 28 224 12998 
9 56 43 223 12998 
9 56 58 224 12998 
9 57 13 223 12998 
9 57 28 224 12998 
9 57 43 223 12998 
9 57 58 224 12998 
9 58 13 223 12998 
9 58 28 224 12998 
9 58 43 223 12998 
9 58 58 224 12998 
9 59 13 223 12998 
9 59 28 224 12998 
9 59 43 223 12998 
9 59 58 224 12998 
10 0 13 223 12998 
10 0 28 224 12998 
10 0 43 223 12998 
10 0 58 223 12998 
10 1 13 224 12998 
10 1 28 223 12998 
10 1 43 224 12998 
10 1 58 223 12998 
10 2 13 224 12998 
10 2 28 223 12998 
10 2 43 224 12998 
10 3 20 224 12998 
10 3 35 223 12998 
10 3 50 224 12998 
10 4 5 223 12998 
10 4 20 224 12998 
10 4 35 223 12998 
10 4 50 224 12998 
10 5 5 223 12998 
10 5 20 224 12998 
10 5 35 223 12998 
10 5 50 224 12998 
10 6 5 223 12998 
10 6 20 224 12998 
10 6 35 223 12998 
10 6 50 224 12998 
10 7 5 223 12998 
10 7 20 224 12998 
10 7 35 223 12998 
10 7 50 224 12998 
10 8 5 223 12998 
10 8 20 224 12998 
10 8 35 223 12998 
10 8 50 224 12998 
10 9 5 223 12998 
10 9 20 224 12998 
10 9 35 223 12998 
10 9 50 224 12998 
10 10 5 223 12998 
10 10 20 224 12998 
10 10 35 223 12998 
10 10 50 224 12998 
10 11 5 223 12998 
10 11 20 224 12998 
10 11 35 223 12998 
10 11 50 224 12998 
10 12 5 223 12998 
10 12 20 224 12998 
10 12 35 223 12998 
10 12 50 224 12998 
10 13 5 223 12998 
10 13 20 224 12998 
10 13 35 223 12998 
10 13 50 224 12998 
10 14 5 223 12998 
10 14 20 224 12998 
10 14 35 223 12998 
10 14 50 224 12998 
10 15 5 223 12998 
10 15 20 224 12998 
10 15 35 223 12998 
10 15 50 224 12998 
10 16 5 223 12998 
10 16 20 224 12998 
10 16 35 223 12998 
10 16 50 224 12998 
10 17 5 223 12998 
10 17 20 224 12998 
10 17 35 223 12998 
10 17 50 224 12998 
10 18 27 224 12998 
10 18 42 223 12998 
10 18 57 224 12998 
10 19 12 223 12998 
10 19 27 224 12998 
10 19 42 223 12998 
10 19 57 224 12998 
10 20 12 223 12998 
10 20 27 224 12998 
10 20 42 223 12998 
10 20 57 224 12998 
10 21 12 223 12998 
10 21 27 224 12998 
10 21 42 223 12998 
10 21 57 224 12998 
10 22 12 223 12998 
10 22 27 224 12998 
10 22 42 223 12998 
10 22 57 224 12998 
10 23 12 223 12998 
10 23 27 224 12998 
10 23 42 223 12998 
10 23 57 224 12998 
10 24 12 223 12998 
10 24 27 224 12998 
10 24 42 223 12998 
10 24 57 224 12998 
10 25 12 223 12998 
10 25 27 224 12998 
10 25 42 223 12998 
10 25 57 224 12998 
10 26 12 223 12998 
10 26 27 224 12998 
10 26 42 223 12998 
10 26 57 224 12998 
10 27 12 223 12998 
10 27 27 224 12998 
10 27 42 223 12998 
10 27 57 224 12998 
10 28 12 223 12998 
