ls
ls
<CR>Bad command!

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/08/04 12:49      6304  0804
----A 2021/08/04 09:35    128000  08040919
----A 2021/08/04 09:51    128000  08040936
----A 2021/08/04 10:10    128000  08040953
----A 2021/08/04 10:27    128000  08041010
----A 2021/08/04 10:42    128000  08041027
----A 2021/08/04 10:59    128000  08041044
----A 2021/08/04 11:18    128000  08041101
----A 2021/08/04 11:35    128000  08041118
----A 2021/08/04 11:50    128000  08041135
----A 2021/08/04 12:07    128000  08041152
----A 2021/08/04 12:26    128000  08041209
----A 2021/08/04 12:43    128000  08041226
----A 2021/08/04 12:43      2560  08041243
----A 2021/08/05 12:22      9224  0805
----A 2021/08/05 07:23    128000  08050706
----A 2021/08/05 07:39    128000  08050723
----A 2021/08/05 07:55    128000  08050740
----A 2021/08/05 08:15    128000  08050757
----A 2021/08/05 08:31    128000  08050814
----A 2021/08/05 08:47    128000  08050831
----A 2021/08/05 09:04    128000  08050848
----A 2021/08/05 09:21    128000  08050905
----A 2021/08/05 09:38    128000  08050922
----A 2021/08/05 09:55    128000  08050940
----A 2021/08/05 10:12    128000  08050957
----A 2021/08/05 10:29    128000  08051014
----A 2021/08/05 10:46    128000  08051031
----A 2021/08/05 11:03    128000  08051048
----A 2021/08/05 11:20    128000  08051105
----A 2021/08/05 11:37    128000  08051122
----A 2021/08/05 11:54    128000  08051139
----A 2021/08/05 12:11    155520  08051156
----A 2021/08/05 12:15      2560  08051213
----A 2021/08/06 10:30      5488  0806
----A 2021/08/06 07:47    128000  08060730
----A 2021/08/06 08:03    128000  08060747
----A 2021/08/06 08:19    128000  08060804
----A 2021/08/06 08:39    128000  08060821
----A 2021/08/06 08:55    128000  08060838
----A 2021/08/06 09:11    128000  08060855
----A 2021/08/06 09:27    128000  08060912
----A 2021/08/06 09:47    128000  08060929
----A 2021/08/06 10:03    128000  08060946
----A 2021/08/06 10:19    128000  08061003
----A 2021/08/06 10:23      2560  08061020
----A 2021/08/16 12:39      9304  0816
----A 2021/08/16 07:42    128000  08160727
----A 2021/08/16 07:59    128000  08160744
----A 2021/08/16 08:18    128000  08160801
----A 2021/08/16 08:35    128000  08160818
----A 2021/08/16 08:50    128000  08160835
----A 2021/08/16 09:07    128000  08160852
----A 2021/08/16 09:26    128000  08160909
