ls

ls
<CR>Bad command!

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/08/20 12:22      8640  0820
----A 2021/08/20 07:43    128000  08200728
----A 2021/08/20 08:02    128000  08200745
----A 2021/08/20 08:19    128000  08200802
----A 2021/08/20 08:34    128000  08200819
----A 2021/08/20 08:51    128000  08200836
----A 2021/08/20 09:10    128000  08200853
----A 2021/08/20 09:27    128000  08200910
----A 2021/08/20 09:42    128000  08200927
----A 2021/08/20 09:59    128000  08200944
----A 2021/08/20 10:18    128000  08201001
----A 2021/08/20 10:35    128000  08201018
----A 2021/08/20 10:50    128000  08201035
----A 2021/08/20 11:07    128000  08201052
----A 2021/08/20 11:26    128000  08201109
----A 2021/08/20 11:43    128000  08201126
----A 2021/08/20 11:58    128000  08201143
----A 2021/08/20 12:15    128000  08201200
----A 2021/08/20 12:19      2560  08201217
----A 2021/08/21 10:03      4960  0821
----A 2021/08/21 07:31    128000  08210714
----A 2021/08/21 07:47    128640  08210731
----A 2021/08/21 08:04    128640  08210748
----A 2021/08/21 08:21    133120  08210805
----A 2021/08/21 08:38    134400  08210823
----A 2021/08/21 08:55    129280  08210840
----A 2021/08/21 09:12    129280  08210857
----A 2021/08/21 09:29    129920  08210914
----A 2021/08/21 09:47    128640  08210931
----A 2021/08/21 10:03     66560  08210948

  30 File(s),   3428640 bytes total
   0 Dir(s),     997088K bytes free

/> 
read 0821
read 0821
<CR>Time:2021/08/21 10:03
Hours Minutes Seconds  Nb_Samples    Aver. Current 
6 58 41 13 5833 
6 58 56 12 6987 
6 59 11 13 8263 
6 59 26 12 8993 
6 59 41 13 9296 
6 59 56 12 9722 
7 0 11 13 9904 
7 0 26 12 10026 
7 0 41 13 10026 
7 0 56 12 10026 
7 1 11 13 10026 
7 1 26 12 10026 
7 1 41 13 10026 
7 1 56 12 10026 
7 2 11 13 10026 
7 2 26 12 10026 
7 2 41 13 10026 
7 2 56 12 10026 
7 3 11 13 10026 
7 3 26 12 10026 
7 3 41 13 10026 
7 3 56 12 10026 
7 4 11 13 10026 
7 4 26 12 10026 
7 4 41 13 10026 
7 4 56 12 10026 
7 5 11 13 10026 
7 5 26 12 10026 
7 5 41 13 10026 
7 5 56 12 10026 
7 6 11 13 10026 
7 6 26 12 10026 
7 6 41 13 10026 
7 6 56 12 10026 
7 7 11 13 10026 
7 7 26 12 10026 
7 7 41 13 10026 
7 7 56 12 10026 
7 8 11 13 10026 
7 8 26 12 10026 
7 8 41 13 10026 
7 8 56 12 10026 
7 9 11 13 10026 
7 9 26 12 10026 
7 9 41 13 10026 
7 9 56 12 10026 
7 10 11 13 10026 
7 10 26 12 10026 
7 10 41 13 10026 
7 10 56 12 10026 
7 11 11 13 10026 
7 11 26 12 10026 
7 11 41 13 10026 
7 11 56 12 10026 
7 12 11 13 10026 
