ls
ls
<CR>
         TIME          Size       File name 
----A 2021/08/20 12:19      8640  0820
----A 2021/08/20 07:39    128000  08200722
----A 2021/08/20 07:54    128000  08200739
----A 2021/08/20 08:11    128000  08200756
----A 2021/08/20 08:30    128000  08200813
----A 2021/08/20 08:47    128000  08200830
----A 2021/08/20 09:02    128000  08200847
----A 2021/08/20 09:19    128000  08200904
----A 2021/08/20 09:38    128000  08200921
----A 2021/08/20 09:55    128000  08200938
----A 2021/08/20 10:10    128000  08200955
----A 2021/08/20 10:27    128000  08201012
----A 2021/08/20 10:46    128000  08201029
----A 2021/08/20 11:03    128000  08201046
----A 2021/08/20 11:18    128000  08201103
----A 2021/08/20 11:35    128000  08201120
----A 2021/08/20 11:54    128000  08201137
----A 2021/08/20 12:11    128000  08201154
----A 2021/08/20 12:11      2560  08201211
----A 2021/08/21 09:57      4920  0821
----A 2021/08/21 07:23    128000  08210708
----A 2021/08/21 07:43    128000  08210725
----A 2021/08/21 07:59    128640  08210742
----A 2021/08/21 08:15    133120  08210759
----A 2021/08/21 08:32    138880  08210816
----A 2021/08/21 08:49    130560  08210834
----A 2021/08/21 09:06    128000  08210851
----A 2021/08/21 09:23    128640  08210908
----A 2021/08/21 09:40    128640  08210925
----A 2021/08/21 09:57    111360  08210942
----A 2021/08/23 12:58      8400  0823
----A 2021/08/23 08:29    128000  08230814
----A 2021/08/23 08:46    128000  08230831
----A 2021/08/23 09:03    128000  08230848
----A 2021/08/23 09:20    128000  08230905
----A 2021/08/23 09:37    128000  08230922
----A 2021/08/23 09:54    128000  08230939
----A 2021/08/23 10:11    128000  08230956
----A 2021/08/23 10:28    128000  08231013
----A 2021/08/23 10:45    128000  08231030
----A 2021/08/23 11:02    128000  08231047
----A 2021/08/23 11:19    128000  08231104
----A 2021/08/23 11:36    128000  08231121
----A 2021/08/23 11:53    128000  08231138
----A 2021/08/23 12:10    128000  08231155
----A 2021/08/23 12:27    128000  08231212
----A 2021/08/23 12:44    128000  08231229
----A 2021/08/23 12:46      2560  08231246
----A 2021/08/24 12:35      9472  0824
----A 2021/08/24 07:23    128000  08240708
----A 2021/08/24 07:42    128000  08240725
----A 2021/08/24 07:59    128000  08240742
----A 2021/08/24 08:14    128000  08240759
----A 2021/08/24 08:31    128000  08240816
----A 2021/08/24 08:50    128000  08240833
----A 2021/08/24 09:07    128000  08240850
----A 2021/08/24 09:22    128000  08240907
----A 2021/08/24 09:39    128000  08240924
----A 2021/08/24 09:58    128000  08240941
----A 2021/08/24 10:15    128000  08240958
----A 2021/08/24 10:30    128000  08241015
----A 2021/08/24 10:47    128000  08241032
----A 2021/08/24 11:06    128000  08241049
----A 2021/08/24 11:23    128000  08241106
----A 2021/08/24 11:38    128000  08241123
----A 2021/08/24 11:55    128000  08241140
----A 2021/08/24 12:14    128000  08241157
----A 2021/08/24 12:31    128000  08241214
----A 2021/08/24 12:31      2560  08241231

  69 File(s),   7978952 bytes total
   0 Dir(s),     992512K bytes free

/> 
read 0824
read 0824
<CR>Time:2021/08/24 12:31
Hours Minutes Seconds  Nb_Samples    Aver. Current 
6 52 52 13 6319 
6 53 6 12 6987 
6 53 22 13 7899 
6 53 36 12 8446 
6 53 52 13 9114 
6 54 6 12 9357 
6 54 22 13 9600 
6 54 36 12 9965 
6 54 52 13 10086 
6 55 6 12 10026 
6 55 22 13 10026 
6 55 36 12 10026 
6 55 52 13 10026 
6 56 6 12 10026 
6 56 22 13 10026 
6 56 36 12 10026 
6 56 52 13 10026 
6 57 6 12 10026 
6 57 22 13 10026 
6 57 36 12 10026 
6 57 52 13 10026 
6 58 6 12 10026 
6 58 22 13 10026 
