ls
ls
<CR>
         TIME          Size       File name 
----A 2019/11/20 12:31      1640  1120
----A 2019/11/07 12:07      5416  1107
----A 2020/02/26 10:51      4952  0226
----A 2020/02/26 08:23    128000  02260808
----A 2020/02/26 08:43    128000  02260825
----A 2020/02/26 08:59    128000  02260842
----A 2020/02/26 09:15    128000  02260859
----A 2020/02/26 09:31    128000  02260916
----A 2019/11/07 11:03    128000  11071046
----A 2019/11/07 11:19    128000  11071103
----A 2019/11/07 11:35    128000  11071120
----A 2019/11/07 11:55    128000  11071137
----A 2019/11/07 11:55      2560  11071154
----A 2019/11/16 08:40       440  1116
----A 2019/11/20 09:10    128000  11200855
----A 2019/11/20 09:12      2560  11200912
----A 2020/02/26 09:51    128000  02260933
----A 2020/02/26 10:07    128000  02260950
----A 2020/02/26 10:23    128000  02261007
----A 2020/02/26 10:39    128000  02261024
----A 2020/02/26 10:43      2560  02261041
----A 2021/04/22 14:04     12120  0422
----A 2021/04/22 08:01    128640  04220746
----A 2021/04/22 08:17    128640  04220801
----A 2021/04/22 08:31    128640  04220816
----A 2021/04/22 08:46    128640  04220831
----A 2021/04/22 09:03    128640  04220846
----A 2021/04/22 09:19    128000  04220901
----A 2021/04/22 09:31    128640  04220916
----A 2021/04/22 09:47    128000  04220932
----A 2021/04/22 10:02    128640  04220947
----A 2021/04/22 10:17    128000  04221002
----A 2021/04/22 10:33    128640  04221017
----A 2021/04/22 10:47    128000  04221032
----A 2021/04/22 11:02    128640  04221047
----A 2021/04/22 11:19    128640  04221102
----A 2021/04/22 11:35    128640  04221117
----A 2021/04/22 11:47    128000  04221132
----A 2021/04/22 12:03    128640  04221148
----A 2021/04/22 12:18    128000  04221203
----A 2021/04/22 12:33    128640  04221218
----A 2021/04/22 12:49    128000  04221233
----A 2021/04/22 13:03    128640  04221248
----A 2021/04/22 13:18    128000  04221303
----A 2021/04/22 13:35    128640  04221318
----A 2021/04/22 13:51    128000  04221333
----A 2021/04/22 14:04    128640  04221349
----A 2021/04/22 14:04      2560  04221404
----A 2021/04/23 08:38      4696  0423
----A 2021/04/23 06:39    128000  04230622
----A 2021/04/23 06:55    128000  04230637
----A 2021/04/23 07:07    128000  04230652
----A 2021/04/23 07:23    128000  04230708
----A 2021/04/23 07:38    128000  04230723
----A 2021/04/23 07:53    128000  04230738
----A 2021/04/23 08:09    128000  04230753
----A 2021/04/23 08:23    128000  04230808
----A 2021/04/23 08:23      2560  04230823
----A 2021/05/18 14:10      5136  0518
----A 2021/05/18 11:54    128000  05181139
----A 2021/05/18 12:11    128000  05181154
----A 2021/05/18 12:27    128000  05181209
----A 2021/05/18 12:39    128000  05181224
----A 2021/05/18 12:55    128000  05181240
----A 2021/05/18 13:10    128000  05181255
----A 2021/05/18 13:25    128000  05181310
----A 2021/05/18 13:41    128000  05181325
----A 2021/05/18 13:55    128000  05181340
----A 2021/05/18 13:55      2560  05181355
----A 2021/05/19 11:25      5936  0519
----A 2021/05/19 08:46    128000  05190829
----A 2021/05/19 08:59    128000  05190844
----A 2021/05/19 09:15    128000  05190859
----A 2021/05/19 09:30    128000  05190915
----A 2021/05/19 09:45    128000  05190930
----A 2021/05/19 10:01    128000  05190945
----A 2021/05/19 10:15    128000  05191000
----A 2021/05/19 10:30    128000  05191015
----A 2021/05/19 10:47    128000  05191030
----A 2021/05/19 11:02    128000  05191045
----A 2021/05/19 11:15    128000  05191100
----A 2021/05/19 11:16      2560  05191116

  82 File(s),   8644496 bytes total
   0 Dir(s),     991760K bytes free

/> 
read 0519
<CR><LF>read 0519
<CR>Time:2021/05/19 11:16
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 15 51 223 15037 
8 16 6 219 15037 
8 16 21 224 15037 
8 16 36 224 15037 
8 16 51 224 15037 
8 17 6 224 15037 
8 17 21 224 15037 
8 17 36 224 15037 
8 17 51 224 15037 
8 18 6 224 15037 
8 18 21 224 15037 
8 18 36 224 15037 
8 18 51 224 15037 
8 19 6 224 15037 
8 19 21 224 15037 
8 19 36 224 15037 
8 19 51 224 15037 
8 20 6 224 15037 
8 20 21 224 15037 
8 20 36 224 15037 
8 20 51 224 15037 
8 21 6 224 15037 
8 21 21 224 15037 
8 21 36 224 15037 
8 21 51 224 15037 
8 22 6 224 15037 
8 22 21 224 15037 
8 22 36 224 15037 
8 22 51 224 15037 
8 23 6 224 15037 
8 23 21 224 15037 
8 23 36 224 15037 
8 23 51 224 15037 
8 24 6 224 15037 
8 24 21 224 15037 
8 24 36 224 15037 
8 24 51 224 15037 
8 25 6 224 15037 
8 25 21 224 15037 
8 25 36 223 15037 
8 25 51 223 15037 
8 26 6 224 15037 
8 26 21 224 15037 
8 26 36 224 15037 
8 26 51 224 15037 
8 27 6 224 15037 
8 27 21 224 15037 
8 27 36 224 15037 
8 27 51 224 15037 
8 28 6 224 15037 
8 28 21 224 15037 
8 28 36 224 15037 
8 28 51 224 15037 
8 29 6 224 15037 
8 29 21 223 15037 
8 29 36 224 15037 
8 30 13 224 15037 
8 30 28 224 15037 
8 30 43 224 15037 
8 30 58 224 15037 
8 31 13 224 15037 
8 31 28 224 15037 
8 31 43 224 15037 
8 31 58 224 15037 
8 32 13 224 15037 
8 32 28 224 15037 
8 32 43 224 15037 
8 32 58 224 15037 
8 33 13 224 15037 
8 33 28 224 15037 
8 33 43 224 15037 
8 33 58 224 15037 
8 34 13 224 15037 
8 34 28 224 15037 
8 34 43 224 15037 
8 34 58 224 15037 
8 35 13 224 15037 
8 35 28 224 15037 
8 35 43 224 15037 
8 35 58 224 15037 
8 36 13 224 15037 
8 36 28 224 15037 
8 36 43 224 15037 
8 36 58 224 15037 
8 37 13 224 15037 
8 37 28 224 15037 
8 37 43 224 15037 
8 37 58 224 15037 
8 38 13 224 15037 
8 38 28 224 15037 
8 38 43 224 15037 
8 38 58 224 15037 
8 39 13 224 15037 
8 39 28 224 15037 
8 39 43 223 15037 
8 39 58 224 15037 
8 40 13 224 15037 
8 40 28 224 15037 
8 40 43 224 15037 
8 40 58 224 15037 
8 41 13 224 15037 
8 41 28 224 15037 
8 41 43 224 15037 
8 41 58 224 15037 
8 42 13 224 15037 
8 42 28 224 15037 
8 42 43 224 15037 
8 42 58 224 15037 
8 43 13 224 15037 
8 43 28 224 15037 
8 43 43 224 15037 
8 43 58 224 15037 
8 44 13 223 15037 
8 44 28 224 15037 
8 44 43 224 15037 
8 45 20 224 15037 
8 45 35 224 15037 
8 45 50 224 15037 
8 46 5 224 15037 
8 46 20 224 15037 
8 46 35 224 15037 
8 46 50 224 15037 
8 47 5 224 15037 
8 47 20 224 15037 
8 47 35 224 15037 
8 47 50 224 15037 
8 48 5 224 15037 
8 48 20 224 15037 
8 48 35 224 15037 
8 48 50 224 15037 
8 49 5 224 15037 
8 49 20 224 15037 
8 49 35 224 15037 
8 49 50 224 15037 
8 50 5 224 15037 
8 50 20 224 15037 
8 50 35 224 15037 
8 50 50 224 15037 
8 51 5 224 15037 
8 51 20 224 15037 
8 51 35 224 15037 
8 51 50 224 15037 
8 52 5 224 15037 
8 52 20 224 15037 
8 52 35 224 15037 
8 52 50 224 15037 
8 53 5 224 15037 
8 53 20 224 15037 
8 53 35 224 15037 
8 53 50 224 15037 
8 54 5 224 15037 
8 54 20 224 15037 
8 54 35 224 15037 
8 54 50 224 15037 
8 55 5 224 15037 
8 55 20 224 15037 
8 55 35 224 15037 
8 55 50 224 15037 
8 56 5 224 15037 
8 56 20 224 15037 
8 56 35 224 15037 
8 56 50 223 15037 
8 57 5 224 15037 
8 57 20 223 15037 
8 57 35 224 15037 
8 57 50 224 15037 
8 58 5 224 15037 
8 58 20 224 15037 
8 58 35 224 15037 
8 58 50 224 15037 
8 59 5 224 15037 
8 59 20 224 15037 
8 59 35 224 15037 
8 59 50 224 15037 
9 0 27 224 15037 
9 0 42 224 15037 
9 0 57 224 15037 
9 1 12 224 15037 
9 1 27 224 15037 
9 1 42 224 15037 
9 1 57 224 15037 
9 2 12 224 15037 
9 2 27 224 15037 
9 2 42 224 15037 
9 2 57 224 15037 
9 3 12 224 15037 
9 3 27 224 15037 
9 3 42 224 15037 
9 3 57 224 15037 
9 4 12 224 15037 
9 4 27 224 15037 
9 4 42 224 15037 
9 4 57 224 15037 
9 5 12 224 15037 
9 5 27 224 15037 
9 5 42 224 15037 
9 5 57 224 15037 
9 6 12 224 15037 
9 6 27 224 15037 
9 6 42 224 15037 
9 6 57 224 15037 
9 7 12 224 15037 
9 7 27 224 15037 
9 7 42 224 15037 
9 7 57 224 15037 
9 8 12 224 15037 
9 8 27 224 15037 
9 8 42 224 15037 
9 8 57 224 15037 
9 9 12 224 15037 
9 9 27 224 15037 
9 9 42 224 15037 
9 9 57 224 15037 
9 10 12 224 15037 
9 10 27 223 15037 
9 10 42 224 15037 
9 10 57 224 15037 
9 11 12 223 15037 
9 11 27 224 15037 
9 11 42 224 15037 
9 11 57 224 15037 
9 12 12 224 15037 
9 12 27 224 15037 
9 12 42 224 15037 
9 12 57 224 15037 
9 13 12 224 15037 
9 13 27 224 15037 
9 13 42 224 15037 
9 13 57 224 15037 
9 14 12 224 15037 
9 14 27 224 15037 
9 14 42 224 15037 
9 14 57 224 15037 
9 15 34 224 15037 
9 15 49 224 15037 
9 16 4 224 15037 
9 16 19 224 15037 
9 16 34 224 15037 
9 16 49 224 15037 
9 17 4 224 15037 
9 17 19 224 15037 
9 17 34 224 15037 
9 17 49 224 15037 
9 18 4 224 15037 
9 18 19 224 15037 
9 18 34 224 15037 
9 18 49 224 15037 
9 19 4 224 15037 
9 19 19 224 15037 
9 19 34 224 15037 
9 19 49 224 15037 
9 20 4 224 15037 
9 20 19 224 15037 
9 20 34 224 15037 
9 20 49 224 15037 
9 21 4 224 15037 
9 21 19 224 15037 
9 21 34 224 15037 
9 21 49 224 15037 
9 22 4 224 15037 
9 22 19 224 15037 
9 22 34 224 15037 
9 22 49 224 15037 
9 23 4 224 15037 
9 23 20 224 15037 
9 23 34 223 15037 
9 23 50 224 15037 
9 24 5 224 15037 
9 24 20 224 15037 
9 24 35 224 15037 
9 24 50 224 15037 
9 25 5 224 15037 
9 25 20 224 15037 
9 25 35 224 15037 
9 25 50 224 15037 
9 26 5 224 15037 
9 26 20 224 15037 
9 26 35 224 15037 
9 26 50 224 15037 
9 27 5 224 15037 
9 27 19 223 15037 
9 27 35 224 15037 
9 27 50 224 15037 
9 28 5 224 15037 
9 28 20 224 15037 
9 28 35 224 15037 
9 28 50 224 15037 
9 29 5 224 15037 
9 29 20 224 15037 
9 29 35 224 15037 
9 29 50 224 15037 
9 30 5 224 15037 
9 30 42 224 15037 
9 30 57 223 15037 
9 31 12 224 15037 
9 31 27 224 15037 
9 31 42 224 15037 
9 31 57 224 15037 
9 32 12 224 15037 
9 32 27 224 15037 
9 32 42 224 15037 
9 32 57 224 15037 
9 33 12 224 15037 
9 33 27 224 15037 
9 33 42 224 15037 
9 33 57 224 15037 
9 34 12 224 15037 
9 34 27 224 15037 
9 34 42 224 15037 
9 34 57 224 15037 
9 35 12 224 15037 
9 35 27 224 15037 
9 35 42 224 15037 
9 35 57 224 15037 
9 36 12 224 15037 
9 36 27 224 15037 
9 36 42 223 15037 
9 36 57 224 15037 
9 37 12 224 15037 
9 37 27 224 15037 
9 37 42 224 15037 
9 37 57 224 15037 
9 38 12 224 15037 
9 38 27 224 15037 
9 38 42 224 15037 
9 38 57 224 15037 
9 39 12 224 15037 
9 39 27 224 15037 
9 39 42 224 15037 
9 39 57 224 15037 
9 40 12 224 15037 
9 40 27 224 15037 
9 40 42 224 15037 
9 40 57 224 15037 
9 41 12 224 15037 
9 41 27 224 15037 
9 41 42 224 15037 
9 41 57 224 15037 
9 42 12 224 15037 
9 42 27 224 15037 
9 42 42 224 15037 
9 42 57 224 15037 
9 43 12 224 15037 
9 43 27 224 15037 
9 43 42 224 15037 
9 43 57 224 15037 
9 44 12 224 15037 
9 44 27 224 15037 
9 44 42 224 15037 
9 44 57 224 15037 
9 45 12 224 15037 
9 45 49 224 15037 
9 46 4 224 15037 
9 46 19 224 15037 
9 46 34 224 15037 
9 46 49 223 15037 
9 47 4 223 15037 
9 47 19 224 15037 
9 47 34 224 15037 
9 47 49 224 15037 
9 48 4 224 15037 
9 48 19 224 15037 
9 48 34 224 15037 
9 48 49 224 15037 
9 49 4 224 15037 
9 49 19 224 15037 
9 49 34 224 15037 
9 49 49 223 15037 
9 50 4 224 15037 
9 50 19 224 15037 
9 50 34 224 15037 
9 50 49 224 15037 
9 51 4 224 15037 
9 51 19 224 15037 
9 51 34 224 15037 
9 51 49 224 15037 
9 52 4 224 15037 
9 52 19 224 15037 
9 52 34 224 15037 
9 52 49 224 15037 
9 53 4 224 15037 
9 53 19 224 15037 
9 53 34 224 15037 
9 53 49 224 15037 
9 54 4 224 15037 
9 54 19 224 15037 
9 54 34 224 15037 
9 54 49 224 15037 
9 55 4 224 15037 
9 55 19 224 15037 
9 55 34 224 15037 
9 55 49 224 15037 
9 56 4 224 15037 
9 56 19 224 15037 
9 56 34 224 15037 
9 56 49 224 15037 
9 57 4 224 15037 
9 57 19 224 15037 
9 57 34 224 15037 
9 57 49 224 15037 
9 58 4 224 15037 
9 58 19 224 15037 
9 58 34 224 15037 
9 58 49 224 15037 
9 59 4 224 15037 
9 59 19 224 15037 
9 59 34 224 15037 
9 59 49 224 15037 
10 0 4 224 15037 
10 0 19 224 15037 
10 0 56 224 15037 
10 1 11 223 15037 
10 1 26 224 15037 
10 1 41 224 15037 
10 1 56 224 15037 
10 2 11 224 15037 
10 2 26 224 15037 
10 2 41 224 15037 
10 2 56 223 15037 
10 3 11 224 15037 
10 3 26 224 15037 
10 3 41 224 15037 
10 3 56 224 15037 
10 4 11 224 15037 
10 4 26 224 15037 
10 4 41 224 15037 
10 4 56 224 15037 
10 5 11 224 15037 
10 5 26 224 15037 
10 5 41 224 15037 
10 5 56 224 15037 
10 6 11 224 15037 
10 6 26 224 15037 
10 6 41 224 15037 
10 6 56 224 15037 
10 7 11 224 15037 
10 7 26 224 15037 
10 7 41 224 15037 
10 7 56 224 15037 
10 8 11 224 15037 
10 8 26 224 15037 
10 8 41 224 15037 
10 8 56 224 15037 
10 9 11 224 15037 
10 9 26 224 15037 
10 9 41 224 15037 
