
read_ramp 05121103
<CR>Time:2021/05/12 14:35Ramp data first polarity: 
770 769 770 771 770 771 769 770 771 770 770 770 770 771 770 770 770 770 770 769 769 769 770 770 770 771 769 769 770 770 771 770 769 770 770 770 771 770 770 770 770 770 770 770 770 770 770 769 771 770 770 770 770 770 770 770 770 770 770 769 769 770 769 769 765 767 766 766 762 758 759 757 754 754 751 749 749 746 745 744 742 741 739 738 736 735 733 730 730 729 727 725 724 722 720 719 718 715 714 713 711 710 707 706 706 703 703 701 699 697 698 695 693 692 690 689 688 686 684 683 682 680 678 677 676 674 673 670 669 668 666 665 664 662 661 658 658 656 654 653 652 651 649 647 646 644 643 642 640 639 637 636 634 634 631 630 629 627 625 625 623 621 621 618 618 616 614 613 611 609 608 607 606 604 602 601 600 598 597 596 594 593 591 589 589 587 585 586 584 580 581 578 577 576 575 573 571 570 569 566 566 565 563 562 561 559 558 557 555 553 552 551 551 548 547 546 545 542 542 539 538 538 536 535 533 532 530 530 529 526 527 524 523 521 520 518 517 516 515 513 512 510 511 509 508 507 506 505 506 506 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0512
<CR>Time:2021/05/12 14:35
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 18 42 224 15981 
8 18 57 219 16043 
8 19 12 224 16104 
8 19 27 224 16104 
8 19 42 224 16104 
8 19 57 224 16104 
8 20 12 224 16104 
8 20 27 224 16104 
8 20 42 224 16104 
8 20 57 224 16104 
8 21 12 224 16104 
8 21 27 224 16104 
8 21 42 224 16104 
8 21 57 224 16104 
8 22 12 224 16104 
8 22 27 224 16104 
8 22 42 224 16104 
8 22 57 224 16104 
8 23 12 224 16104 
8 23 27 224 16104 
8 23 42 224 16104 
8 23 57 224 16104 
8 24 12 224 16104 
8 24 27 224 16104 
8 24 42 224 16104 
8 24 57 224 16104 
8 25 12 223 16104 
8 25 27 224 16104 
8 25 42 224 16104 
8 25 57 224 16104 
8 26 12 224 16104 
8 26 27 224 16104 
8 26 42 224 16104 
8 26 57 224 16104 
8 27 12 224 16104 
8 27 27 223 16104 
8 27 42 224 16104 
8 27 57 224 16104 
8 28 12 224 16104 
8 28 27 224 16104 
8 28 42 224 16104 
8 28 57 224 16104 
8 29 12 224 16104 
8 29 27 224 16104 
8 29 42 224 16104 
8 29 57 224 16104 
8 30 12 224 16104 
8 30 27 224 16104 
8 30 42 224 16104 
8 30 57 224 16104 
8 31 12 224 16104 
8 31 27 224 16165 
8 31 42 224 16104 
8 31 57 224 16104 
8 32 49 224 16165 
8 33 4 224 16165 
8 33 19 224 16165 
8 33 34 224 16165 
8 33 49 224 16165 
8 34 4 224 16165 
8 34 19 224 16165 
8 34 34 224 16165 
8 34 49 224 16165 
8 35 4 224 16165 
8 35 19 224 16165 
8 35 34 224 16165 
8 35 49 224 16165 
8 36 4 224 16165 
8 36 19 224 16165 
8 36 34 224 16165 
8 36 49 224 16165 
8 37 4 224 16165 
8 37 19 224 16165 
8 37 34 224 16165 
8 37 49 224 16165 
8 38 4 224 16165 
8 38 19 224 16165 
8 38 34 224 16165 
8 38 49 224 16165 
8 39 4 224 16165 
8 39 19 224 16165 
8 39 34 224 16165 
8 39 49 224 16165 
8 40 4 224 16165 
8 40 19 223 16165 
8 40 34 224 16165 
8 40 49 224 16165 
8 41 4 224 16165 
8 41 19 224 16165 
8 41 34 224 16165 
8 41 49 223 16165 
8 42 4 224 16165 
8 42 19 224 16165 
8 42 34 224 16165 
8 42 49 224 16165 
8 43 4 224 16165 
8 43 19 224 16165 
8 43 34 224 16165 
8 43 49 224 16165 
8 44 4 224 16165 
8 44 19 224 16165 
8 44 34 224 16165 
8 44 49 224 16165 
8 45 4 224 16165 
8 45 19 224 16165 
8 45 34 224 16165 
8 45 49 224 16165 
8 46 4 224 16165 
8 46 19 224 16165 
8 46 34 224 16165 
8 46 49 224 16165 
8 47 4 224 16165 
8 47 41 224 16165 
8 47 56 224 16165 
8 48 11 224 16165 
8 48 26 224 16165 
8 48 41 224 16165 
8 48 56 224 16165 
8 49 11 224 16165 
8 49 26 224 16165 
8 49 41 224 16165 
8 49 56 224 16165 
8 50 11 224 16165 
8 50 26 224 16165 
8 50 41 224 16165 
8 50 56 224 16165 
8 51 11 224 16165 
8 51 26 224 16165 
8 51 41 224 16165 
8 51 56 224 16165 
8 52 11 224 16165 
8 52 26 224 16165 
8 52 41 224 16165 
8 52 56 224 16165 
8 53 11 223 16165 
8 53 26 224 16165 
8 53 41 224 16165 
8 53 56 224 16165 
8 54 11 224 16165 
8 54 26 224 16165 
8 54 41 224 16165 
8 54 56 224 16165 
8 55 11 224 16165 
8 55 26 224 16165 
8 55 41 224 16165 
8 55 56 224 16165 
8 56 11 224 16165 
8 56 26 224 16165 
8 56 41 224 16165 
8 56 56 224 16165 
8 57 11 224 16165 
8 57 26 224 16165 
8 57 41 224 16165 
8 57 56 224 16165 
8 58 11 224 16165 
8 58 26 223 16165 
8 58 41 224 16165 
8 58 56 224 16165 
8 59 11 224 16165 
8 59 26 224 16165 
8 59 41 224 16165 
8 59 56 224 16165 
9 0 11 224 16165 
9 0 26 224 16165 
9 0 42 224 16165 
9 0 57 224 16165 
9 1 12 224 16165 
9 1 27 224 16165 
9 1 42 224 16165 
9 1 57 224 16165 
9 2 12 224 16165 
9 3 4 224 16165 
9 3 19 224 16165 
9 3 34 224 16165 
9 3 49 224 16165 
9 4 4 224 16165 
9 4 19 224 16165 
9 4 34 224 16165 
9 4 49 224 16165 
9 5 4 224 16165 
9 5 19 224 16165 
9 5 34 224 16165 
9 5 49 224 16165 
9 6 4 224 16165 
9 6 19 224 16165 
9 6 34 223 16165 
9 6 49 224 16165 
9 7 4 224 16165 
9 7 19 224 16165 
9 7 34 224 16165 
9 7 49 224 16165 
9 8 4 224 16165 
9 8 19 224 16165 
9 8 34 224 16165 
9 8 49 224 16165 
9 9 4 224 16165 
9 9 19 224 16165 
9 9 34 224 16165 
9 9 49 224 16165 
9 10 4 224 16165 
9 10 19 224 16165 
9 10 34 224 16165 
9 10 49 224 16165 
9 11 4 224 16165 
9 11 19 224 16165 
9 11 34 224 16165 
9 11 49 224 16165 
9 12 4 224 16165 
9 12 19 224 16165 
9 12 34 224 16165 
9 12 49 224 16165 
9 13 4 224 16165 
9 13 19 224 16165 
9 13 34 224 16165 
9 13 49 224 16165 
9 14 4 224 16165 
9 14 19 224 16165 
9 14 34 224 16165 
9 14 49 223 16165 
9 15 4 224 16165 
9 15 19 224 16165 
9 15 34 224 16165 
9 15 49 224 16165 
9 16 4 224 16165 
9 16 19 224 16165 
9 16 34 224 16165 
9 16 49 224 16165 
9 17 4 224 16165 
9 17 19 224 16165 
9 17 56 224 16165 
9 18 11 223 16165 
9 18 26 224 16165 
9 18 41 224 16165 
9 18 56 224 16165 
9 19 11 224 16165 
9 19 26 223 16165 
9 19 41 224 16165 
9 19 56 224 16165 
9 20 11 224 16165 
9 20 26 224 16165 
9 20 41 224 16165 
9 20 56 224 16165 
9 21 11 224 16165 
9 21 26 224 16165 
9 21 41 224 16165 
9 21 56 224 16165 
9 22 11 224 16165 
9 22 26 224 16165 
9 22 41 224 16165 
9 22 56 224 16165 
9 23 11 224 16165 
9 23 26 224 16165 
9 23 41 224 16165 
9 23 56 224 16165 
9 24 11 224 16165 
9 24 26 224 16165 
9 24 41 224 16165 
9 24 56 224 16165 
9 25 11 224 16165 
9 25 26 224 16165 
9 25 41 224 16165 
9 25 56 224 16165 
9 26 11 224 16165 
9 26 26 224 16165 
9 26 41 224 16165 
9 26 56 224 16165 
9 27 11 224 16165 
9 27 26 224 16165 
9 27 41 224 16165 
9 27 56 224 16165 
9 28 11 224 16165 
9 28 26 224 16165 
9 28 41 224 16165 
9 28 56 224 16165 
9 29 11 224 16165 
9 29 26 224 16165 
9 29 41 224 16165 
9 29 56 224 16165 
9 30 11 224 16165 
9 30 26 224 16165 
9 30 41 224 16165 
9 30 56 224 16165 
9 31 11 224 16165 
9 31 26 224 16165 
9 31 41 224 16165 
9 31 56 224 16165 
9 32 11 224 16165 
9 32 26 224 16165 
9 33 18 224 16165 
9 33 33 224 16165 
9 33 48 224 16165 
9 34 3 224 16165 
9 34 18 223 16165 
9 34 33 224 16165 
9 34 48 224 16165 
9 35 3 224 16165 
9 35 18 224 16165 
9 35 33 224 16165 
9 35 48 224 16165 
9 36 3 224 16165 
9 36 18 224 16165 
9 36 33 224 16165 
9 36 48 224 16165 
9 37 3 224 16165 
9 37 18 224 16165 
9 37 33 224 16165 
9 37 48 224 16165 
9 38 3 224 16165 
9 38 18 224 16165 
9 38 33 224 16165 
9 38 48 224 16165 
9 39 3 224 16165 
9 39 18 224 16165 
9 39 33 224 16165 
9 39 48 224 16165 
9 40 3 224 16165 
9 40 18 224 16165 
9 40 33 224 16165 
9 40 48 224 16165 
9 41 3 224 16165 
9 41 18 224 16165 
9 41 33 224 16165 
9 41 48 224 16165 
9 42 3 224 16165 
9 42 18 224 16165 
9 42 33 224 16165 
9 42 48 224 16165 
9 43 3 224 16165 
9 43 18 224 16165 
9 43 33 224 16165 
9 43 48 224 16165 
9 44 3 224 16165 
9 44 18 224 16165 
9 44 33 224 16165 
9 44 48 224 16165 
9 45 3 224 16165 
9 45 18 224 16165 
9 45 33 224 16165 
9 45 48 224 16165 
9 46 3 224 16165 
9 46 18 224 16165 
9 46 33 224 16165 
9 46 48 224 16165 
9 47 3 224 16165 
9 47 18 224 16165 
9 47 33 224 16165 
9 48 10 224 16165 
9 48 25 223 16165 
9 48 40 224 16165 
9 48 55 224 16165 
9 49 10 224 16165 
9 49 25 224 16165 
9 49 40 224 16165 
9 49 55 224 16165 
9 50 10 224 16165 
9 50 25 224 16165 
9 50 40 224 16165 
9 50 55 224 16165 
9 51 10 224 16165 
9 51 25 224 16165 
9 51 40 224 16165 
9 51 55 224 16165 
9 52 10 224 16165 
9 52 25 224 16165 
9 52 40 224 16165 
9 52 55 224 16165 
9 53 10 224 16165 
9 53 25 224 16165 
9 53 40 224 16165 
9 53 55 224 16165 
9 54 10 224 16165 
9 54 25 224 16165 
9 54 40 224 16165 
9 54 55 224 16165 
9 55 10 224 16165 
9 55 25 224 16165 
9 55 40 224 16165 
9 55 55 224 16165 
9 56 10 224 16165 
9 56 25 224 16165 
9 56 40 224 16165 
9 56 55 224 16165 
9 57 10 224 16165 
9 57 25 224 16165 
9 57 40 224 16165 
9 57 55 224 16165 
9 58 10 224 16165 
9 58 25 224 16165 
9 58 40 224 16165 
9 58 55 224 16165 
9 59 10 224 16165 
9 59 25 224 16165 
9 59 40 224 16165 
9 59 55 224 16165 
10 0 10 224 16165 
10 0 25 224 16165 
10 0 40 224 16165 
10 0 55 224 16165 
10 1 10 224 16165 
10 1 25 223 16165 
10 1 40 224 16165 
10 1 55 224 16165 
10 2 10 224 16165 
10 2 25 224 16165 
10 2 40 224 16165 
10 3 32 224 16165 
10 3 47 224 16165 
10 4 2 224 16165 
10 4 17 224 16165 
10 4 32 223 16165 
10 4 47 224 16165 
10 5 2 224 16165 
10 5 17 224 16165 
10 5 32 224 16165 
10 5 47 224 16165 
10 6 2 224 16165 
10 6 17 224 16165 
10 6 32 224 16165 
10 6 47 224 16165 
10 7 2 224 16165 
10 7 17 224 16165 
10 7 32 224 16165 
10 7 47 224 16165 
10 8 2 224 16165 
10 8 17 224 16165 
10 8 32 224 16165 
10 8 47 224 16165 
10 9 2 224 16165 
10 9 17 224 16165 
10 9 32 224 16165 
10 9 47 224 16165 
10 10 2 224 16165 
10 10 17 224 16165 
10 10 32 224 16165 
10 10 47 224 16165 
10 11 2 224 16165 
10 11 17 224 16165 
10 11 32 224 16165 
10 11 47 224 16165 
10 12 2 224 16165 
10 12 17 224 16165 
10 12 32 224 16165 
10 12 47 224 16165 
10 13 2 224 16165 
10 13 17 224 16165 
10 13 32 224 16165 
10 13 47 224 16165 
10 14 2 224 16165 
10 14 17 224 16165 
10 14 32 224 16165 
10 14 47 223 16165 
10 15 2 224 16165 
10 15 17 224 16165 
10 15 32 224 16165 
10 15 47 224 16165 
10 16 2 224 16165 
10 16 17 224 16165 
10 16 32 224 16165 
10 16 47 224 16165 
10 17 2 224 16165 
10 17 17 224 16165 
10 17 32 224 16165 
10 17 47 224 16165 
10 18 24 224 16165 
10 18 39 224 16165 
10 18 54 224 16165 
10 19 9 224 16165 
10 19 24 224 16165 
10 19 39 224 16165 
10 19 54 224 16165 
10 20 9 224 16165 
10 20 24 224 16165 
10 20 39 224 16165 
10 20 54 224 16165 
10 21 9 224 16165 
10 21 24 224 16165 
10 21 39 224 16165 
10 21 54 224 16165 
10 22 9 224 16165 
10 22 24 224 16165 
10 22 39 224 16165 
10 22 54 224 16165 
10 23 9 224 16165 
10 23 24 224 16165 
10 23 39 224 16165 
10 23 54 224 16165 
10 24 9 224 16165 
10 24 24 224 16165 
10 24 39 224 16165 
10 24 54 224 16165 
10 25 9 224 16165 
10 25 24 224 16165 
10 25 39 224 16165 
10 25 54 224 16165 
10 26 9 224 16165 
10 26 24 224 16165 
10 26 39 224 16165 
10 26 54 224 16165 
10 27 9 224 16165 
10 27 24 224 16165 
10 27 39 223 16165 
10 27 54 224 16165 
10 28 9 224 16165 
10 28 24 224 16165 
10 28 39 224 16165 
10 28 54 224 16165 
10 29 9 224 16165 
10 29 24 224 16165 
10 29 39 224 16165 
10 29 54 224 16165 
10 30 9 224 16165 
10 30 24 224 16165 
10 30 39 224 16165 
10 30 54 224 16165 
10 31 9 224 16165 
10 31 24 224 16165 
10 31 39 224 16165 
10 31 54 224 16165 
10 32 9 224 16165 
10 32 24 224 16165 
10 32 39 224 16165 
10 32 54 224 16165 
10 33 46 224 16165 
10 34 1 224 16165 
10 34 16 224 16165 
10 34 31 224 16165 
10 34 46 223 16165 
10 35 1 224 16165 
10 35 16 224 16165 
10 35 31 224 16165 
10 35 46 224 16165 
10 36 1 224 16165 
10 36 16 224 16165 
10 36 31 224 16165 
10 36 46 224 16165 
10 37 1 224 16165 
10 37 16 224 16165 
10 37 31 224 16165 
10 37 46 224 16165 
10 38 1 224 16165 
10 38 16 224 16165 
10 38 31 224 16165 
10 38 46 224 16165 
10 39 1 224 16165 
10 39 16 224 16165 
10 39 31 224 16165 
10 39 46 224 16165 
10 40 1 224 16165 
10 40 16 224 16165 
10 40 31 224 16165 
10 40 46 224 16165 
10 41 1 223 16165 
10 41 16 224 16165 
10 41 31 224 16165 
10 41 46 224 16165 
10 42 1 224 16165 
10 42 16 224 16165 
10 42 31 224 16165 
10 42 46 224 16165 
10 43 1 224 16165 
10 43 16 224 16165 
10 43 31 224 16165 
10 43 46 224 16165 
10 44 1 224 16165 
10 44 16 224 16165 
10 44 31 224 16165 
10 44 46 224 16165 
10 45 1 224 16165 
10 45 16 224 16165 
10 45 31 224 16165 
10 45 46 224 16165 
10 46 1 224 16165 
10 46 16 224 16165 
10 46 31 224 16165 
10 46 46 224 16165 
10 47 1 224 16165 
10 47 16 224 16165 
10 47 31 224 16165 
10 47 46 224 16165 
10 48 1 224 16165 
10 48 38 224 16165 
10 48 53 224 16165 
10 49 8 224 16165 
10 49 23 224 16165 
10 49 38 224 16165 
10 49 53 224 16165 
10 50 8 224 16165 
10 50 23 224 16165 
10 50 38 224 16165 
10 50 53 224 16165 
10 51 8 224 16165 
10 51 23 224 16165 
10 51 38 224 16165 
10 51 53 224 16165 
10 52 8 224 16165 
10 52 23 224 16165 
10 52 38 224 16165 
10 52 53 224 16165 
10 53 8 224 16165 
10 53 23 224 16165 
10 53 38 224 16165 
10 53 53 223 16165 
10 54 8 224 16165 
10 54 23 224 16165 
10 54 38 224 16165 
10 54 53 224 16165 
10 55 8 224 16165 
10 55 23 224 16165 
10 55 38 224 16165 
10 55 53 224 16165 
10 56 8 224 16165 
10 56 23 224 16165 
10 56 38 224 16165 
10 56 53 224 16165 
10 57 8 224 16165 
10 57 23 224 16165 
10 57 38 224 16165 
10 57 54 224 16165 
10 58 9 224 16165 
10 58 24 224 16165 
10 58 39 224 16165 
10 58 54 224 16165 
10 59 9 224 16165 
10 59 24 224 16165 
10 59 39 224 16165 
10 59 54 224 16165 
11 0 9 224 16165 
11 0 24 224 16165 
11 0 39 224 16165 
11 0 54 224 16165 
11 1 9 224 16165 
11 1 24 224 16165 
11 1 39 224 16165 
11 1 54 224 16165 
11 2 9 224 16165 
11 2 24 224 16165 
11 2 39 224 16165 
11 2 54 224 16165 
11 3 9 224 16165 
11 4 1 224 16165 
11 4 16 224 16165 
11 4 31 224 16165 
11 4 46 224 16165 
11 5 1 223 16165 
11 5 16 224 16165 
11 5 31 224 16165 
11 5 46 224 16165 
11 6 1 224 16165 
11 6 16 224 16165 
11 6 31 224 16165 
11 6 46 224 16165 
11 7 1 224 16165 
11 7 16 223 16165 
11 7 31 224 16165 
11 7 46 224 16165 
11 8 1 224 16165 
11 8 16 224 16165 
11 8 31 224 16165 
11 8 46 224 16165 
11 9 1 224 16165 
11 9 16 224 16165 
11 9 31 224 16165 
11 9 46 224 16165 
11 10 1 224 16165 
11 10 16 224 16165 
11 10 31 224 16165 
11 10 46 224 16165 
11 11 1 224 16165 
11 11 16 224 16165 
11 11 31 224 16165 
11 11 46 224 16165 
11 12 1 224 16165 
11 12 16 224 16165 
11 12 31 224 16165 
11 12 46 224 16165 
