
/> 
read_ramp 05131106
<CR>Time:2021/05/13 15:23Ramp data first polarity: 
770 770 770 770 770 769 770 769 769 770 769 770 770 769 770 770 769 768 770 769 769 770 769 770 770 770 769 770 769 769 769 769 769 769 769 770 770 770 769 770 769 769 769 769 770 769 770 770 769 769 769 770 769 769 769 769 770 769 769 769 770 769 771 773 766 766 763 761 761 759 757 756 753 751 750 748 747 746 743 742 741 739 737 737 734 733 731 730 728 727 725 723 722 721 719 718 716 714 714 712 710 709 708 706 705 702 701 701 698 697 695 693 693 691 689 687 686 684 684 682 680 679 677 675 674 672 671 670 668 666 666 663 662 661 659 658 656 655 653 652 650 649 648 646 645 643 643 640 639 637 635 635 633 631 630 629 628 625 625 624 621 620 619 617 615 615 612 611 611 609 607 606 605 603 602 600 598 598 596 594 593 592 591 589 588 585 585 583 582 580 579 578 576 574 572 572 570 569 568 566 565 563 562 561 560 558 558 556 554 553 552 550 549 547 546 545 543 542 541 539 537 537 534 533 533 531 530 528 527 525 525 523 522 521 519 518 517 515 514 513 511 510 509 508 507 506 506 506 505 505 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0513
<CR>Time:2021/05/13 15:23
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 37 31 224 16165 
8 37 46 218 16043 
8 38 1 224 16043 
8 38 16 224 16043 
8 38 31 224 16043 
8 38 46 224 16104 
8 39 1 224 16104 
8 39 16 224 16104 
8 39 31 224 16104 
8 39 46 224 16104 
8 40 1 224 16104 
8 40 16 223 16104 
8 40 31 224 16104 
8 40 46 224 16104 
8 41 1 224 16104 
8 41 16 224 16104 
8 41 31 224 16104 
8 41 46 224 16104 
8 42 1 224 16104 
8 42 16 224 16104 
8 42 31 224 16104 
8 42 46 224 16104 
8 43 1 224 16104 
8 43 16 224 16104 
8 43 31 224 16104 
8 43 46 224 16104 
8 44 1 224 16104 
8 44 16 224 16104 
8 44 31 224 16104 
8 44 46 224 16104 
8 45 1 224 16104 
8 45 16 224 16104 
8 45 31 224 16104 
8 45 46 224 16104 
8 46 1 224 16104 
8 46 16 224 16104 
8 46 31 224 16104 
8 46 46 224 16104 
8 47 1 224 16104 
8 47 16 224 16104 
8 47 31 224 16104 
8 47 46 224 16104 
8 48 1 224 16104 
8 48 16 224 16104 
8 48 31 224 16104 
8 48 46 224 16104 
8 49 1 224 16104 
8 49 16 224 16104 
8 49 31 223 16104 
8 49 46 223 16104 
8 50 1 224 16104 
8 50 16 224 16104 
8 50 31 224 16104 
8 50 46 224 16104 
8 51 23 224 16104 
8 51 38 224 16104 
8 51 53 224 16104 
8 52 8 224 16104 
8 52 23 224 16104 
8 52 38 224 16104 
8 52 53 224 16104 
8 53 8 224 16104 
8 53 23 224 16104 
8 53 38 224 16104 
8 53 53 224 16104 
8 54 8 224 16104 
8 54 23 224 16104 
8 54 38 224 16104 
8 54 53 224 16104 
8 55 8 223 16104 
8 55 23 224 16104 
8 55 38 224 16104 
8 55 53 224 16104 
8 56 8 224 16104 
8 56 23 224 16104 
8 56 38 224 16104 
8 56 53 224 16104 
8 57 8 224 16104 
8 57 23 224 16104 
8 57 38 224 16104 
8 57 53 224 16104 
8 58 8 224 16104 
8 58 23 224 16104 
8 58 38 224 16104 
8 58 53 224 16104 
8 59 8 224 16104 
8 59 23 224 16104 
8 59 38 224 16104 
8 59 53 224 16104 
9 0 8 224 16104 
9 0 23 224 16104 
9 0 38 224 16104 
9 0 53 224 16104 
9 1 8 224 16104 
9 1 23 224 16104 
9 1 38 224 16104 
9 1 53 224 16104 
9 2 8 224 16104 
9 2 23 224 16104 
9 2 38 224 16104 
9 2 53 224 16104 
9 3 8 224 16104 
9 3 23 224 16104 
9 3 38 224 16104 
9 3 53 224 16104 
9 4 8 224 16104 
9 4 23 224 16104 
9 4 39 224 16104 
9 4 54 224 16104 
9 5 9 224 16104 
9 5 24 224 16104 
9 5 38 223 16104 
9 5 54 224 16104 
9 6 30 224 16104 
9 6 46 224 16104 
9 7 1 224 16104 
9 7 16 224 16104 
9 7 31 224 16104 
9 7 46 224 16104 
9 8 1 224 16104 
9 8 16 223 16104 
9 8 31 224 16104 
9 8 46 224 16104 
9 9 1 224 16104 
9 9 16 224 16104 
9 9 31 224 16104 
9 9 46 224 16104 
9 10 1 224 16104 
9 10 16 224 16104 
9 10 31 224 16104 
9 10 46 224 16104 
9 11 1 224 16104 
9 11 16 224 16104 
9 11 31 224 16104 
9 11 46 224 16104 
9 12 1 224 16104 
9 12 16 224 16104 
9 12 31 224 16104 
9 12 46 224 16104 
9 13 1 224 16104 
9 13 16 224 16104 
9 13 31 224 16104 
9 13 46 224 16104 
9 14 1 224 16104 
9 14 16 224 16104 
9 14 31 224 16104 
9 14 46 224 16104 
9 15 1 224 16104 
9 15 16 224 16104 
9 15 31 224 16104 
9 15 46 224 16104 
9 16 1 224 16104 
9 16 16 224 16104 
9 16 31 224 16104 
9 16 46 224 16104 
9 17 1 224 16104 
9 17 16 224 16104 
9 17 31 224 16104 
9 17 46 224 16104 
9 18 1 224 16104 
9 18 16 224 16104 
9 18 31 224 16104 
9 18 46 224 16104 
9 19 1 224 16104 
9 19 16 224 16104 
9 19 31 224 16104 
9 19 46 224 16104 
9 20 1 224 16104 
9 20 16 224 16104 
9 20 31 224 16104 
9 20 46 224 16104 
9 21 1 224 16104 
9 21 38 224 16104 
9 21 53 223 16104 
9 22 8 224 16104 
9 22 23 224 16104 
9 22 38 224 16104 
9 22 53 224 16104 
9 23 8 224 16104 
9 23 23 224 16104 
9 23 38 224 16104 
9 23 53 224 16104 
9 24 8 224 16104 
9 24 23 224 16104 
9 24 38 224 16104 
9 24 53 224 16104 
9 25 8 224 16104 
9 25 23 224 16104 
9 25 38 224 16104 
9 25 53 224 16104 
9 26 8 224 16104 
9 26 23 224 16104 
9 26 38 224 16104 
9 26 53 224 16104 
9 27 8 224 16104 
9 27 23 224 16104 
9 27 38 224 16104 
9 27 53 224 16104 
9 28 8 224 16104 
9 28 23 224 16104 
9 28 38 224 16104 
9 28 53 224 16104 
9 29 8 224 16104 
9 29 23 224 16104 
9 29 38 224 16104 
9 29 53 224 16104 
9 30 8 224 16104 
9 30 23 224 16104 
9 30 38 224 16104 
9 30 53 224 16104 
9 31 8 224 16104 
9 31 23 224 16104 
9 31 38 224 16104 
9 31 53 224 16104 
9 32 8 224 16104 
9 32 23 224 16104 
9 32 38 224 16104 
9 32 53 224 16104 
9 33 8 224 16104 
