

/> 
read_ramp 01251126
<CR>Time:2021/01/25 15:15Ramp data first polarity: 
772 772 772 772 773 773 773 772 773 773 773 772 772 773 772 772 772 772 772 772 772 772 772 772 772 771 772 772 772 772 772 773 773 772 772 772 772 773 772 772 772 772 772 772 772 773 772 772 772 772 772 772 772 772 773 773 772 773 772 772 772 773 772 771 772 776 771 768 766 765 762 761 759 757 755 753 752 751 749 747 746 744 742 741 740 738 736 735 734 733 730 729 727 726 725 723 722 721 718 717 717 715 714 712 710 708 706 705 705 702 701 700 698 696 695 692 692 691 689 687 684 684 683 682 680 678 677 677 676 673 670 669 668 668 666 665 663 661 660 658 657 655 653 652 651 650 648 646 645 643 643 641 639 638 636 635 634 631 630 629 629 627 625 623 622 620 619 618 616 615 614 612 609 609 607 606 605 604 603 601 599 598 596 595 593 591 590 589 587 586 585 583 581 580 578 578 576 575 573 572 570 570 568 567 565 563 562 561 559 558 556 554 554 552 551 550 547 547 546 544 542 539 539 539 538 537 535 533 533 531 529 527 526 525 524 522 522 520 519 517 516 516 514 512 510 511 511 511 509 509 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0125
<CR>Time:2021/01/25 15:15
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 40 48 223 14958 
8 41 3 224 15935 
8 41 18 224 15996 
8 41 33 224 15996 
8 41 48 224 15996 
8 42 3 224 15996 
8 42 18 224 15996 
8 58 11 224 15203 
8 58 26 219 15935 
8 58 41 224 15996 
8 58 56 224 15996 
8 59 11 224 15996 
8 59 26 224 15996 
8 59 41 224 15996 
8 59 56 224 15996 
9 0 11 224 15996 
9 0 26 224 15996 
9 0 41 224 15996 
9 0 56 224 15996 
9 1 11 224 15996 
9 1 26 224 15996 
9 1 41 224 15996 
9 1 56 224 15996 
9 2 11 224 15996 
9 2 26 224 15996 
9 2 41 224 15996 
9 2 56 224 15996 
9 3 11 224 15996 
9 3 26 224 15996 
9 3 41 224 15996 
9 3 56 224 15996 
9 4 11 224 15996 
9 4 26 224 15996 
9 4 41 224 15996 
9 4 56 224 15996 
9 5 11 224 15996 
9 5 26 224 15996 
9 5 41 224 15996 
9 5 56 224 15996 
9 6 11 224 15996 
9 6 26 224 15996 
9 6 41 224 15996 
9 6 56 224 15996 
9 7 11 224 15996 
9 7 26 224 15996 
9 7 41 224 15996 
9 7 56 224 15996 
9 8 11 224 15996 
9 8 26 224 15996 
9 8 41 224 15996 
9 8 56 224 15996 
9 9 11 224 15996 
9 9 26 224 15996 
9 9 41 224 15996 
9 9 56 224 15996 
9 10 11 223 15996 
9 10 26 224 15996 
9 10 41 224 15996 
9 11 33 224 15996 
9 11 48 224 15996 
9 12 3 224 15996 
9 12 18 224 15996 
9 12 33 224 15996 
9 12 48 224 15996 
9 13 3 224 15996 
9 13 18 224 15996 
9 13 33 224 15996 
9 13 48 224 15996 
9 14 3 224 15996 
9 14 18 224 15996 
9 14 33 224 15996 
9 14 48 224 15996 
9 15 3 224 15996 
9 15 18 224 15996 
9 15 33 224 15996 
9 15 48 224 15996 
9 16 3 224 15996 
9 16 18 224 15996 
9 16 33 224 15996 
9 16 48 224 15996 
9 17 3 224 15996 
9 17 18 223 15996 
9 17 33 224 15996 
9 17 48 224 15996 
9 18 3 224 15996 
9 18 18 224 15996 
