
/> 
read_ramp 01261237
<CR>Time:2021/01/26 15:55Ramp data first polarity: 
767 767 768 768 767 767 767 767 767 768 768 767 767 767 767 767 768 768 769 768 768 767 767 767 767 767 769 767 766 768 767 767 767 768 768 768 767 769 767 767 767 767 769 769 768 767 769 767 767 769 768 767 769 768 767 767 767 768 767 768 767 768 767 767 767 761 764 763 762 760 756 755 754 752 750 749 747 745 743 742 740 740 737 736 734 733 732 730 729 728 726 724 723 721 720 719 718 716 714 713 711 709 708 706 705 705 703 701 699 698 695 694 694 692 690 689 688 686 684 683 682 680 679 677 676 675 672 671 670 668 667 665 664 663 661 659 659 657 655 654 652 650 649 648 647 645 643 642 641 639 637 637 636 634 632 630 629 627 626 624 624 623 620 619 617 616 614 613 612 610 609 607 605 605 603 601 601 599 598 596 594 593 592 590 589 588 586 585 584 582 580 579 578 576 574 574 572 571 569 568 567 565 564 562 561 560 559 557 556 554 553 552 550 549 548 546 546 542 542 540 539 538 537 536 534 532 531 530 528 527 526 524 523 523 520 519 518 516 515 515 513 511 510 509 508 507 507 506 506 506 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0126
<CR>Time:2021/01/26 15:55
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 40 5 223 13200 
9 40 20 223 14117 
9 40 35 224 14362 
9 40 50 224 14912 
9 41 5 224 15340 
9 41 20 224 15767 
9 41 35 224 15890 
9 41 50 224 15890 
9 42 52 224 15890 
9 43 7 224 15951 
9 43 22 224 15890 
9 43 37 224 15890 
9 43 52 224 15890 
9 44 7 224 15951 
9 44 22 224 15951 
9 44 37 224 15951 
9 44 52 224 15951 
9 45 7 224 15951 
9 45 22 224 15951 
9 45 37 224 15951 
9 45 52 224 15951 
9 46 7 224 15951 
9 46 22 224 15890 
9 46 37 224 15951 
9 46 52 224 15951 
9 47 7 224 15951 
9 47 22 224 15951 
9 47 37 224 15951 
9 47 52 223 15951 
9 48 7 224 15951 
9 48 22 224 15951 
9 48 37 224 15890 
9 48 52 224 15951 
9 49 7 224 15951 
9 49 22 224 15890 
9 49 37 224 15951 
9 49 52 224 15951 
9 50 7 224 15951 
9 50 22 224 15951 
9 50 37 224 15951 
9 50 52 224 15951 
9 51 45 224 15951 
9 52 0 224 15951 
9 52 15 224 15951 
9 52 30 224 15951 
9 52 45 224 15951 
9 53 0 224 15951 
9 53 15 224 15951 
9 53 30 224 15890 
9 53 45 224 15951 
9 54 0 224 15951 
9 54 15 224 15951 
9 54 30 224 15951 
9 54 45 223 15951 
9 55 0 224 15951 
9 55 15 224 15951 
9 55 30 224 15951 
9 55 45 224 15951 
9 56 0 224 15951 
9 56 15 224 15951 
9 56 30 224 15951 
9 56 45 224 15951 
9 57 0 224 15951 
9 57 15 224 15951 
9 57 30 224 15951 
9 57 45 224 15951 
9 58 0 224 15951 
9 58 15 224 15951 
9 58 30 224 15951 
9 58 45 224 15951 
9 59 0 224 15951 
9 59 15 224 15951 
9 59 30 224 15951 
9 59 45 224 15951 
10 0 0 224 15951 
10 0 15 224 15951 
10 0 30 224 15951 
10 0 45 224 15951 
10 1 0 224 15951 
10 1 15 224 15951 
10 1 30 224 15951 
10 2 0 225 15951 
10 2 15 224 15951 
10 2 30 224 15951 
10 2 45 224 15951 
10 3 0 224 15951 
10 3 15 224 15951 
10 3 30 224 15951 
10 3 45 224 15951 
10 4 0 224 15951 
10 4 15 224 15951 
10 4 30 224 15951 
10 4 45 224 15951 
10 5 0 224 15951 
10 5 15 224 15951 
10 5 30 224 15951 
10 5 45 224 15951 
10 6 0 224 15951 
10 6 52 224 15951 
10 7 7 224 15951 
10 7 22 224 15951 
10 7 37 224 15951 
10 7 52 223 15951 
10 8 7 224 15951 
10 8 22 224 15951 
10 8 37 224 15951 
10 8 52 224 15951 
10 9 7 224 15951 
10 9 22 224 15951 
10 9 37 224 15951 
10 9 52 224 15951 
10 10 7 224 15951 
10 10 22 224 15951 
10 10 37 224 15951 
10 10 52 224 15951 
10 11 7 224 15951 
10 11 22 224 15951 
10 11 37 224 15951 
10 11 52 224 15951 
10 12 7 224 15951 
10 12 22 224 15951 
10 12 37 224 15951 
10 12 52 224 15951 
10 13 7 224 15951 
10 13 22 224 15951 
10 13 37 224 15951 
10 13 52 224 15951 
10 14 7 224 15951 
10 14 22 224 15951 
10 14 37 224 15951 
10 14 52 224 15951 
10 15 7 224 15951 
10 15 22 224 15951 
10 15 37 224 15951 
10 15 52 224 15951 
10 16 7 224 15951 
10 16 22 224 15951 
10 16 37 224 15951 
10 16 52 224 15951 
10 17 7 224 15951 
10 17 22 224 15951 
10 17 37 224 15951 
10 17 52 224 15951 
10 18 7 224 15951 
10 18 22 224 15951 
10 18 37 224 15951 
10 18 52 223 15951 
10 19 7 224 15951 
10 19 22 224 15951 
10 19 37 224 15951 
10 19 52 224 15951 
10 20 7 224 15951 
10 20 22 224 15951 
10 20 37 224 15951 
10 20 52 224 15951 
10 21 7 224 15951 
10 21 59 224 15951 
10 22 14 223 15951 
10 22 29 224 15951 
10 22 44 224 15951 
10 22 59 224 15951 
10 23 14 224 15951 
10 23 29 224 15951 
10 23 44 224 15951 
10 23 59 224 15951 
10 24 14 224 15951 
10 24 29 224 15951 
10 24 44 224 15951 
10 24 59 224 15951 
10 25 14 224 15951 
10 25 29 224 15951 
10 25 44 224 15951 
10 25 59 224 15951 
10 26 29 225 15951 
10 26 44 224 15951 
10 26 59 224 15951 
10 27 14 224 15951 
10 27 29 224 15951 
10 27 44 224 15951 
10 27 59 224 15951 
10 28 14 224 15951 
10 28 29 224 15951 
10 28 44 224 15951 
10 28 59 224 15951 
10 29 14 224 15951 
10 29 29 224 15951 
10 29 44 224 15951 
10 29 59 224 15951 
10 30 14 224 15951 
10 30 29 224 15951 
10 30 44 224 15951 
10 30 59 224 15951 
10 31 14 224 15951 
10 31 29 224 15951 
10 31 44 224 15951 
10 31 59 224 15951 
10 32 14 224 15951 
10 32 29 224 15951 
10 32 44 224 15951 
10 32 59 224 15951 
10 33 14 224 15951 
10 33 29 224 15951 
10 33 44 224 15890 
10 33 59 224 15951 
10 34 14 224 15951 
10 34 29 224 15951 
10 34 44 224 15951 
10 34 59 224 15951 
10 35 14 224 15951 
10 35 29 224 15951 
10 35 44 224 15951 
10 35 59 224 15951 
10 36 14 224 15951 
10 37 6 224 15951 
10 37 21 224 15951 
10 37 36 224 15951 
10 37 51 224 15951 
10 38 6 224 15951 
10 38 21 224 15951 
10 38 36 223 15951 
10 38 51 224 15951 
10 39 6 224 15951 
10 39 21 224 15951 
10 39 36 224 15951 
10 39 51 224 15951 
10 40 6 224 15951 
10 40 21 224 15951 
10 40 36 224 15951 
10 40 51 224 15951 
10 41 6 224 15951 
10 41 21 224 15951 
10 41 36 224 15951 
10 41 51 224 15951 
10 42 6 224 15951 
10 42 21 224 15951 
10 42 36 224 15951 
10 42 51 224 15951 
10 43 6 224 15951 
10 43 21 224 15951 
10 43 36 224 15951 
10 43 51 224 15951 
10 44 6 224 15951 
10 44 21 224 15951 
10 44 36 224 15951 
10 44 51 224 15951 
10 45 6 224 15951 
10 45 21 224 15951 
10 45 36 224 15951 
10 45 51 224 15951 
10 46 6 224 15951 
10 46 21 224 15951 
10 46 36 224 15951 
10 46 51 224 15951 
10 47 6 224 15951 
10 47 21 224 15951 
10 47 36 224 15951 
10 47 51 224 15951 
10 48 6 224 15951 
10 48 21 224 15951 
10 48 36 224 15951 
10 48 51 224 15951 
10 49 6 224 15951 
10 49 21 224 15951 
10 49 36 224 15951 
10 49 51 223 15951 
10 50 6 224 15951 
10 50 21 224 15951 
10 50 36 224 15951 
10 50 51 224 15951 
10 51 6 224 15951 
10 51 21 224 15951 
10 52 13 224 15951 
10 52 28 224 15951 
10 52 43 224 15951 
10 52 58 224 15951 
10 53 13 224 15951 
10 53 28 224 15951 
10 53 43 224 15951 
10 53 58 224 15951 
10 54 13 224 15951 
10 54 28 224 15951 
10 54 43 224 15951 
10 54 58 224 15951 
10 55 13 224 15951 
10 55 28 224 15951 
10 55 43 224 15951 
10 55 58 224 15951 
10 56 13 224 15951 
10 56 28 224 15951 
10 56 43 224 15951 
10 56 58 224 15951 
10 57 13 224 15951 
10 57 28 224 15951 
10 57 43 224 15951 
10 57 58 224 15951 
10 58 13 224 15951 
10 58 28 224 15951 
10 58 43 224 15951 
10 58 58 224 15951 
10 59 13 224 15951 
10 59 28 224 15951 
10 59 43 224 15951 
10 59 58 224 15951 
11 0 13 224 15951 
11 0 28 224 15951 
11 0 43 224 15951 
11 0 58 224 15951 
11 1 13 224 15951 
11 1 28 224 15951 
11 1 43 224 15951 
11 1 58 224 15951 
11 2 13 224 15951 
11 2 28 224 15951 
11 2 43 224 15951 
11 2 58 223 15951 
11 3 13 224 15951 
11 3 28 224 15951 
11 3 43 224 15951 
11 3 58 224 15951 
11 4 13 224 15951 
11 4 28 224 15951 
11 4 43 224 15951 
11 4 58 224 15951 
11 5 13 224 15951 
11 5 28 224 15951 
11 5 43 224 15951 
11 5 58 224 15951 
11 6 13 224 15951 
11 6 28 224 15951 
11 7 5 224 15951 
11 7 20 224 15951 
11 7 35 224 15951 
11 7 50 224 15951 
11 8 5 224 15951 
11 8 20 223 15951 
11 8 35 224 15951 
11 8 50 224 15951 
11 9 5 224 15951 
11 9 20 224 15951 
11 9 35 224 15951 
11 9 50 224 15951 
11 10 5 224 15951 
11 10 20 224 15951 
11 10 35 224 15951 
11 10 50 224 15951 
11 11 5 224 15951 
11 11 20 224 15951 
11 11 35 224 15951 
11 11 50 224 15951 
11 12 5 224 15951 
11 12 20 224 15951 
11 12 35 224 15951 
11 12 50 224 15951 
11 13 5 224 15951 
11 13 20 224 15951 
11 13 35 224 15951 
11 13 50 224 15951 
11 14 5 224 15951 
11 14 20 224 15951 
11 14 35 224 15951 
11 14 50 224 15951 
11 15 5 224 15951 
11 15 20 224 15951 
11 15 35 224 15951 
11 15 50 223 15951 
11 16 5 224 15951 
11 16 20 224 15951 
11 16 35 224 15951 
11 16 50 224 15951 
11 17 5 224 15951 
11 17 20 224 15951 
11 17 35 224 15951 
11 17 50 224 15951 
11 18 5 224 15951 
11 18 20 224 15951 
11 18 35 224 15951 
11 18 50 224 15951 
11 19 5 224 15951 
11 19 20 224 15951 
11 19 35 224 15951 
11 19 50 224 15951 
11 20 5 224 15951 
11 20 20 224 15951 
11 20 35 224 15951 
11 20 50 224 15951 
11 21 5 224 15951 
11 21 20 224 15951 
11 21 35 224 15951 
11 22 27 224 15951 
11 22 42 223 15951 
11 22 57 224 15951 
11 23 12 224 15951 
11 23 27 224 15951 
11 23 42 224 15951 
11 23 57 224 15951 
11 24 12 224 15951 
11 24 27 224 15951 
11 24 42 224 15951 
11 24 57 224 15951 
11 25 12 224 15951 
11 25 27 224 15951 
11 25 42 224 15951 
11 25 57 224 15951 
11 26 12 224 15951 
11 26 27 224 15951 
11 26 42 224 15951 
11 26 57 224 15951 
11 27 12 224 15951 
11 27 27 224 15951 
11 27 42 224 15951 
11 27 57 224 15951 
11 28 12 224 15951 
11 28 27 224 15951 
11 28 42 224 15951 
11 28 57 224 15951 
11 29 12 223 15951 
11 29 27 224 15951 
11 29 42 224 15951 
11 29 57 224 15951 
11 30 12 224 15951 
11 30 27 224 15951 
11 30 42 224 15951 
11 30 57 224 15951 
11 31 12 224 15951 
11 31 27 224 15951 
11 31 42 224 15951 
11 31 57 224 15951 
11 32 12 224 15951 
11 32 27 224 15951 
11 32 42 224 15951 
11 32 57 224 15951 
11 33 12 224 15951 
11 33 27 224 15951 
11 33 42 224 15951 
11 33 57 224 15951 
11 34 12 224 15951 
11 34 27 224 15951 
11 34 42 224 15951 
11 34 57 224 15951 
11 35 12 224 15951 
11 35 27 224 15951 
11 35 42 224 15951 
11 35 57 224 15951 
11 36 12 224 15951 
11 36 27 224 15951 
11 36 42 224 15951 
11 37 19 224 15951 
11 37 34 224 15951 
11 37 49 224 15951 
11 38 4 224 15951 
11 38 19 224 15951 
11 38 34 224 15951 
11 38 49 224 15951 
11 39 4 224 15951 
11 39 19 224 15951 
11 39 34 224 15951 
11 39 49 224 15951 
11 40 4 224 15951 
11 40 19 224 15951 
11 40 34 224 15951 
11 40 49 224 15951 
11 41 4 224 15951 
11 41 19 224 15951 
11 41 34 224 15951 
11 41 49 224 15951 
11 42 4 223 15951 
11 42 19 224 15951 
