
/> 
read_ramp 01281121
<CR>Time:2021/01/28 14:53Ramp data first polarity: 
772 774 773 773 773 773 773 771 773 773 773 773 773 772 772 772 773 773 773 775 773 773 774 773 775 773 772 774 772 773 772 773 774 773 773 773 772 773 774 773 773 773 773 773 772 773 774 773 773 773 773 773 772 772 773 773 773 773 773 772 773 773 774 773 772 772 770 767 767 763 762 761 759 757 755 754 752 749 749 747 745 743 743 740 740 738 737 737 733 732 731 729 727 725 725 724 723 721 720 717 716 715 713 712 710 708 706 706 704 703 703 700 698 696 695 693 692 691 689 687 685 684 682 682 680 678 677 675 675 672 671 669 669 667 667 664 663 662 660 658 657 655 653 652 650 649 648 646 645 644 643 641 639 637 636 634 634 631 631 628 627 626 624 623 621 620 618 618 615 614 613 612 611 610 608 606 605 604 602 599 599 597 596 595 593 590 590 589 587 586 585 584 582 580 579 577 576 574 573 571 570 569 567 565 564 563 562 560 560 559 557 556 554 552 551 550 549 547 545 544 542 541 540 538 537 537 534 533 532 530 530 527 526 525 523 522 520 519 518 517 515 514 513 512 511 511 512 510 511 510 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0128
<CR>Time:2021/01/28 14:53
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 2 27 224 12516 
9 2 42 217 15142 
9 2 57 224 16057 
9 3 47 224 16057 
9 4 2 223 16057 
9 4 17 224 16057 
9 4 32 223 16057 
9 4 47 224 16057 
9 5 2 223 16057 
9 5 17 224 16057 
9 5 32 223 16057 
9 6 10 224 16057 
9 6 25 224 16057 
9 6 40 223 16057 
9 6 55 224 16057 
9 7 10 223 16057 
9 7 25 224 16057 
9 7 40 223 16057 
9 7 55 224 16057 
9 8 10 223 16057 
9 8 25 224 16057 
9 8 40 223 16057 
9 8 55 224 16057 
9 9 10 223 16057 
9 9 25 224 16057 
9 9 40 223 16057 
9 9 55 224 16057 
9 10 10 223 16057 
9 10 25 224 16057 
9 10 40 223 16057 
9 10 55 224 16057 
9 11 10 223 16057 
9 11 25 224 16057 
9 11 40 223 16057 
9 11 55 224 16057 
9 12 10 223 16057 
9 12 25 224 16057 
9 12 40 223 16057 
9 12 55 224 16057 
9 13 10 223 16057 
9 13 25 224 16057 
9 13 40 223 16057 
9 13 55 224 16057 
9 14 10 223 16057 
9 14 25 224 16057 
9 14 40 223 16057 
9 14 55 224 16057 
9 15 10 223 16057 
9 15 25 224 16057 
9 15 40 223 16057 
9 15 55 223 16057 
9 16 10 224 16057 
9 16 25 223 16057 
9 16 40 224 16057 
9 16 55 223 16057 
9 17 10 223 16057 
9 17 25 224 16057 
9 17 40 223 16057 
9 17 55 224 16057 
9 18 10 223 16057 
9 18 25 224 16057 
9 18 40 223 16057 
9 18 55 224 16057 
9 19 10 223 16057 
9 19 25 224 16057 
9 19 40 223 16057 
9 19 55 224 16057 
9 20 10 223 16057 
9 20 25 224 16057 
9 20 40 223 16057 
9 21 17 224 16057 
9 21 32 223 16057 
9 21 47 223 16057 
9 22 2 224 16057 
9 22 17 223 16057 
9 22 32 224 16057 
9 22 47 223 16057 
9 23 2 224 16057 
9 23 17 223 16057 
