

/> 
read_ramp 01281121
<CR>Time:2021/01/28 14:55Ramp data first polarity: 
769 770 770 770 769 769 768 770 770 769 768 769 770 769 770 769 769 769 769 769 769 769 769 769 770 770 769 769 769 767 769 768 768 769 769 769 769 768 769 769 768 769 769 768 769 768 770 770 770 769 769 769 769 769 769 769 768 769 769 769 768 768 770 769 768 765 763 763 761 762 758 757 755 753 751 749 748 747 744 743 742 741 738 737 736 734 733 731 730 728 726 725 724 723 720 720 718 716 714 713 711 710 709 709 706 705 702 702 700 698 697 695 694 692 691 691 689 687 685 684 683 680 678 678 676 675 674 673 670 669 667 666 665 663 662 660 660 658 656 654 652 651 649 649 648 645 644 642 642 639 639 637 636 634 632 631 630 628 627 626 625 622 621 619 618 616 615 614 612 610 610 608 608 604 605 603 601 599 598 596 595 594 593 592 589 589 586 585 584 582 581 579 578 577 576 574 573 571 570 568 567 566 565 562 562 561 560 557 556 555 553 552 550 549 548 547 545 544 542 541 539 538 538 536 534 532 531 530 529 527 527 524 523 522 520 519 517 517 516 514 513 510 510 509 509 508 508 507 506 507 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0128
<CR>Time:2021/01/28 14:55
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 2 32 224 13445 
9 2 47 219 15890 
9 3 2 223 16012 
9 4 9 224 16012 
9 4 24 223 16012 
9 4 39 224 16012 
9 4 54 223 16012 
9 5 9 224 16012 
9 5 47 224 16012 
9 6 2 224 16012 
9 6 17 223 16012 
9 6 32 224 16012 
9 6 47 223 16012 
9 7 2 224 16012 
9 7 17 223 16012 
9 7 32 224 16012 
9 7 47 223 16012 
9 8 2 224 16012 
9 8 17 223 16012 
9 8 32 224 16012 
9 8 47 223 16012 
9 9 2 224 16012 
9 9 17 223 16012 
9 9 32 224 16012 
9 9 47 223 16012 
9 10 2 224 16012 
9 10 17 223 16012 
9 10 32 224 16012 
9 10 47 223 16012 
9 11 2 224 16012 
9 11 17 223 16012 
9 11 32 224 16012 
9 11 47 223 16012 
9 12 2 224 16012 
9 12 17 223 16012 
9 12 32 224 16012 
9 12 47 223 16012 
9 13 2 224 16012 
9 13 17 223 16012 
9 13 32 224 16012 
9 13 47 223 16012 
9 14 2 224 16012 
9 14 17 223 16012 
9 14 32 224 16012 
9 14 47 223 16012 
9 15 2 224 16012 
9 15 17 223 16012 
9 15 32 224 16012 
9 15 47 223 16012 
9 16 2 224 16012 
9 16 17 223 16012 
9 16 32 224 16012 
9 16 47 223 16012 
9 17 2 224 16012 
9 17 17 223 16012 
9 17 32 224 16012 
9 17 47 223 16012 
9 18 2 224 16012 
9 18 17 223 16012 
9 18 32 224 16012 
9 18 47 223 16012 
9 19 2 224 16012 
9 19 17 223 16012 
9 19 32 223 16012 
9 19 47 224 16012 
9 20 2 223 16012 
9 20 17 224 16012 
9 20 54 224 16012 
9 21 9 224 16012 
9 21 24 223 16012 
9 21 39 224 16012 
9 21 54 223 16012 
9 22 9 224 16012 
9 22 24 223 16012 
