ls

ls
<CR>
         TIME          Size       File name 
----A 2019/10/07 06:38       120  1007
----A 2021/01/29 08:59      2328  0129
----A 2021/01/29 06:48      2560  01290648
----A 2021/01/29 07:26      2560  01290726
----A 2021/01/29 08:47      2560  01290846
----A 2021/01/30 09:35      5856  0130
----A 2021/01/30 05:49      2560  01300549
----A 2021/01/30 07:02    128000  01300647
----A 2021/01/30 07:19    128000  01300704
----A 2021/01/30 07:36    128000  01300721
----A 2021/01/30 07:53    128000  01300738
----A 2021/01/30 08:10    128000  01300755
----A 2021/01/30 08:27    128000  01300812
----A 2021/01/30 08:44    128000  01300829
----A 2021/01/30 09:01    128000  01300846
----A 2021/01/30 09:18    128000  01300903
----A 2021/01/30 09:35     96640  01300920
----A 2021/01/31 08:03      4728  0131
----A 2021/01/31 05:37    128000  01310521
----A 2021/01/31 05:53    128000  01310538
----A 2021/01/31 06:11    128000  01310555
----A 2021/01/31 06:27    128000  01310612
----A 2021/01/31 06:45    128000  01310629
----A 2021/01/31 07:01    128000  01310646
----A 2021/01/31 07:19    128000  01310703
----A 2021/01/31 07:39    128000  01310724
----A 2021/01/31 07:56    128000  01310741
----A 2021/01/31 07:58      2560  01310758

  28 File(s),   2426472 bytes total
   0 Dir(s),     998032K bytes free

/> 
read 0131
read 0131
<CR>Time:2021/01/31 07:58
Hours Minutes Seconds  Nb_Samples    Aver. Current 
5 6 49 13 6779 
5 7 3 12 6779 
5 7 19 13 6839 
5 7 33 12 6839 
5 7 49 13 6779 
5 8 3 12 6839 
5 8 19 13 6839 
5 8 33 12 6839 
5 8 49 13 6839 
5 9 3 12 6839 
5 9 19 13 7203 
5 9 33 12 8292 
5 9 49 13 8353 
5 10 3 12 8716 
5 10 19 13 10592 
5 10 33 12 11319 
5 10 49 13 10471 
5 11 3 12 10169 
5 11 19 13 9684 
5 11 33 12 9018 
5 11 49 13 9018 
5 12 3 12 9503 
5 12 19 13 9805 
5 12 33 12 9805 
5 12 49 13 10047 
5 13 3 12 9926 
5 13 19 13 9987 
5 13 33 12 9987 
5 13 49 13 9987 
5 14 3 12 9987 
5 14 19 13 9987 
5 14 33 12 9987 
5 14 49 13 9987 
5 15 3 12 9987 
5 15 19 13 9987 
5 15 33 12 9987 
5 15 49 13 9987 
5 16 3 12 9987 
5 16 19 13 9987 
5 16 33 12 9987 
5 16 49 13 9987 
5 17 3 12 9987 
5 17 19 13 9987 
5 17 33 12 9987 
5 17 49 13 9987 
5 18 3 12 9987 
5 18 19 13 9987 
5 18 33 12 9987 
5 18 49 13 9987 
5 19 3 12 9987 
5 19 19 13 9987 
5 21 53 13 9987 
5 22 8 12 9987 
5 22 23 13 9987 
5 22 38 12 9987 
5 22 53 13 9987 
5 23 8 12 9987 
5 23 23 13 9987 
5 23 38 12 9987 
5 23 53 13 9987 
5 24 8 12 9987 
5 24 23 13 9987 
5 24 38 12 9987 
5 24 53 13 9987 
5 25 8 12 9987 
5 25 23 13 9987 
5 25 38 12 9987 
5 25 53 13 9987 
5 26 8 12 9987 
5 26 23 13 9987 
5 26 38 12 9987 
5 26 53 13 9987 
5 27 8 12 9987 
5 27 23 13 9987 
5 27 38 12 9987 
5 27 53 13 9987 
5 28 8 12 9987 
5 28 23 13 9987 
5 28 38 12 9987 
5 28 53 13 9987 
5 29 8 12 9987 
5 29 23 13 9987 
5 29 38 12 9987 
5 29 53 13 9987 
5 30 8 12 9987 
5 30 23 13 9987 
5 30 38 12 9987 
5 30 53 13 9987 
5 31 8 12 9987 
5 31 23 13 9987 
5 31 38 12 9987 
5 31 53 13 9987 
5 32 8 12 9987 
5 32 23 13 9987 
5 32 38 12 9987 
5 32 53 13 9987 
5 33 8 12 9987 
5 33 23 13 9987 
5 33 38 12 9987 
5 33 53 13 9987 
5 34 8 12 9987 
5 34 23 13 9987 
5 34 38 12 9987 
5 34 53 13 9987 
5 35 8 12 9987 
5 35 23 13 9987 
5 35 38 12 9987 
5 35 53 13 9987 
5 36 8 12 9987 
5 36 23 13 9987 
5 38 55 13 9987 
5 39 9 12 9987 
5 39 25 13 9987 
5 39 39 12 9987 
5 39 55 13 9987 
5 40 9 12 9987 
5 40 25 13 9987 
5 40 39 12 9987 
5 40 55 13 9987 
5 41 9 12 9987 
5 41 25 13 9987 
5 41 39 12 9987 
5 41 55 13 9987 
5 42 9 12 9987 
5 42 25 13 9987 
5 42 39 12 9987 
5 42 55 13 9987 
5 43 9 12 9987 
5 43 25 13 9987 
5 43 39 12 9987 
5 43 55 13 9987 
5 44 9 12 9987 
5 44 25 13 9987 
5 44 39 12 9987 
5 44 55 13 9987 
5 45 9 12 9987 
5 45 25 13 9987 
5 45 39 12 9987 
5 45 55 13 9987 
5 46 9 12 9987 
5 46 25 13 9987 
5 46 39 12 9987 
5 46 55 13 9987 
5 47 9 12 9987 
5 47 25 13 9987 
5 47 39 12 9987 
5 47 55 13 9987 
5 48 9 12 9987 
5 48 25 13 9987 
5 48 39 12 9987 
5 48 55 13 9987 
5 49 9 12 9987 
5 49 25 13 9987 
5 49 39 12 9987 
5 49 55 13 9987 
5 50 9 12 9987 
5 50 25 13 9987 
5 50 39 12 9987 
5 50 55 13 9987 
5 51 9 12 9987 
5 51 25 13 9987 
