






/> 
read_ramp 01311118
<CR>Time:2021/01/31 15:39Ramp data first polarity: 
773 774 772 772 772 772 773 773 772 771 771 773 772 772 773 774 773 773 773 773 773 773 772 773 773 773 773 773 773 772 772 773 773 773 772 773 772 773 773 773 773 773 772 773 773 772 772 772 774 774 773 773 773 773 775 774 773 772 773 772 774 773 772 773 767 769 767 765 763 761 759 758 757 755 752 750 749 747 746 745 742 741 740 738 739 737 734 733 732 730 730 726 726 724 722 722 719 718 717 715 714 711 711 709 707 706 705 702 701 700 698 697 695 693 693 691 690 687 687 685 685 683 681 680 678 678 675 673 672 670 669 666 666 664 662 662 660 658 657 655 654 653 651 649 648 646 645 644 642 641 639 637 636 635 634 633 631 629 629 627 626 623 622 621 620 618 616 615 613 612 610 609 607 606 605 603 602 601 598 598 596 595 593 592 591 589 587 586 586 584 582 581 580 578 576 575 573 572 571 570 568 567 565 563 562 561 559 558 556 555 553 552 552 549 549 547 545 545 543 541 540 538 537 537 535 534 533 531 530 529 527 525 523 522 522 520 519 517 516 515 513 512 511 510 510 509 508 509 508 508 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0131
<CR>Time:2021/01/31 15:39
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 59 13 224 16302 
8 59 28 223 16057 
8 59 43 223 16057 
9 0 43 224 16057 
9 0 58 223 16057 
9 1 13 224 16057 
9 1 28 223 16057 
9 1 43 224 16057 
9 2 29 224 15996 
9 2 44 223 16057 
9 2 59 224 16057 
9 3 14 223 16057 
9 3 29 224 16057 
9 3 44 223 16057 
9 3 59 224 16057 
9 4 14 223 16057 
9 4 29 224 16057 
9 4 44 223 16057 
9 4 59 224 16057 
9 5 14 223 16057 
9 5 29 224 16057 
9 5 44 223 16057 
9 5 59 224 16057 
9 6 14 223 16057 
9 6 29 224 16057 
9 6 44 223 16057 
9 6 59 224 16057 
9 7 14 223 16057 
9 7 29 224 16057 
9 7 44 223 16057 
9 7 59 224 16057 
9 8 14 223 16057 
9 8 29 224 16057 
9 8 44 223 16057 
9 8 59 224 16057 
9 9 14 223 16057 
9 9 29 224 16057 
9 9 44 223 16057 
9 9 59 224 16057 
9 10 14 223 16057 
9 10 29 223 16057 
9 10 44 224 16057 
9 10 59 223 16057 
9 11 14 224 16057 
9 11 29 223 16057 
9 11 44 224 16057 
9 11 59 223 16057 
9 12 14 224 16057 
9 12 29 223 16057 
9 12 44 224 16057 
9 12 59 223 16057 
9 13 14 224 16057 
9 13 29 223 16057 
9 13 44 224 16057 
9 13 59 223 16057 
9 14 14 224 16057 
9 14 29 223 16057 
9 14 44 224 16057 
9 14 59 223 16057 
9 15 14 224 16057 
9 15 29 223 16057 
9 15 44 224 16057 
9 15 59 223 16057 
9 16 14 224 16057 
9 16 29 223 16057 
9 16 44 224 16057 
9 16 59 223 16057 
9 17 42 224 15996 
9 17 57 223 15996 
9 18 12 224 16057 
9 18 27 223 16057 
9 18 42 224 16057 
9 18 57 223 16057 
9 19 12 224 16057 
9 19 27 223 16057 
9 19 42 224 16057 
9 19 57 223 16057 
9 20 12 224 16057 
9 20 27 223 16057 
9 20 42 224 16057 
9 20 57 223 16057 
9 21 12 224 16057 
9 21 27 223 16057 
9 21 42 224 16057 
9 21 57 223 16057 
9 22 12 224 16057 
9 22 27 223 16057 
9 22 42 224 16057 
9 22 57 223 16057 
9 23 12 224 16057 
9 23 27 223 16057 
9 23 42 224 16057 
9 23 57 223 16057 
9 24 12 224 16057 
9 24 27 223 16057 
9 24 42 224 16057 
9 24 57 223 16057 
9 25 12 224 16057 
9 25 27 223 16057 
9 25 42 224 16057 
9 25 57 223 16057 
9 26 12 224 16057 
9 26 27 223 16057 
9 26 42 223 16057 
9 26 57 224 16057 
9 27 12 223 16057 
9 27 27 224 16057 
9 27 42 223 16057 
9 27 57 224 16057 
9 28 12 223 16057 
9 28 27 224 16057 
9 28 42 223 16057 
9 28 57 224 16057 
9 29 12 223 16057 
9 29 27 224 16057 
9 29 42 223 16057 
9 29 57 224 16057 
9 30 12 223 16057 
9 30 27 224 16057 
9 30 42 223 16057 
9 30 57 224 16057 
9 31 12 223 16057 
9 31 27 224 16057 
9 31 42 223 16057 
9 31 57 224 16057 
9 32 12 223 16057 
9 32 55 224 16057 
9 33 10 223 16057 
9 33 25 223 16057 
9 33 40 224 16057 
9 33 55 223 16057 
9 34 10 224 16057 
9 34 25 223 16057 
9 34 40 224 16057 
9 34 55 223 16057 
9 35 10 224 16057 
9 35 25 223 16057 
9 35 40 224 16057 
9 35 55 223 16057 
9 36 10 224 16057 
9 36 25 223 16057 
9 36 40 224 16057 
9 36 55 223 16057 
9 37 10 224 16057 
9 37 25 223 16057 
9 37 40 224 16057 
9 37 55 223 16057 
9 38 10 224 16057 
9 38 25 223 16057 
9 38 40 224 16057 
9 38 55 223 16057 
9 39 10 224 16057 
9 39 25 223 16057 
9 39 40 224 16057 
9 39 55 223 16057 
9 40 10 224 16057 
9 40 25 223 16057 
9 40 40 224 16057 
9 40 55 223 16057 
9 41 10 224 16057 
9 41 25 223 16057 
9 41 40 223 16057 
9 41 55 223 16057 
9 42 10 224 16057 
9 42 25 223 16057 
9 42 40 224 16057 
9 42 55 223 16057 
9 43 10 224 16057 
9 43 25 223 16057 
9 43 40 224 16057 
9 43 55 223 16057 
9 44 10 224 16057 
9 44 25 223 16057 
9 44 40 224 16057 
9 44 55 223 16057 
9 45 10 224 16057 
9 45 25 223 16057 
9 45 40 224 16057 
9 45 55 223 16057 
9 46 10 224 16057 
9 46 25 223 16057 
9 46 40 224 16057 
9 46 55 223 16057 
9 47 10 224 16057 
9 47 25 223 16057 
9 48 8 224 16057 
9 48 23 223 16057 
9 48 38 223 16057 
9 48 53 224 16057 
9 49 8 223 16057 
9 49 23 224 16057 
9 49 38 223 16057 
9 49 53 224 16057 
9 50 8 223 16057 
9 50 23 224 16057 
9 50 38 223 16057 
9 50 53 224 16057 
9 51 8 223 16057 
9 51 23 224 16057 
9 51 38 223 16057 
9 51 53 224 16057 
9 52 8 223 16057 
9 52 23 224 16057 
9 52 38 223 16057 
9 52 53 224 16057 
9 53 8 223 16057 
9 53 23 224 16057 
9 53 38 223 16057 
9 53 53 224 16057 
9 54 8 223 16057 
9 54 23 224 16057 
9 54 38 223 16057 
9 54 53 224 16057 
9 55 8 223 16057 
9 55 23 224 16057 
9 55 38 223 16057 
9 55 53 224 16057 
9 56 8 223 16057 
9 56 23 224 16057 
9 56 38 223 16057 
9 56 53 223 16057 
9 57 8 224 16057 
9 57 23 223 16057 
9 57 38 224 16057 
9 57 53 223 16057 
9 58 8 224 16057 
9 58 23 223 16057 
9 58 38 224 16057 
9 58 53 223 16057 
9 59 8 224 16057 
9 59 23 223 16057 
9 59 38 224 16057 
9 59 53 223 16057 
10 0 8 224 16057 
10 0 23 223 16057 
10 0 38 224 16057 
10 0 53 223 16057 
10 1 8 224 16057 
10 1 23 223 16057 
10 1 38 224 16057 
10 1 53 223 16057 
10 2 8 224 16057 
10 2 23 223 16057 
10 2 38 224 16057 
10 3 21 224 15996 
10 3 36 223 16057 
10 3 51 224 16057 
10 4 6 223 16057 
10 4 21 224 16057 
10 4 36 223 16057 
10 4 51 224 16057 
10 5 6 223 16057 
10 5 21 224 16057 
10 5 36 223 16057 
10 5 51 224 16057 
10 6 6 223 16057 
10 6 21 224 16057 
10 6 36 223 16057 
10 6 51 224 16057 
10 7 6 223 16057 
10 7 21 224 16057 
10 7 36 223 16057 
10 7 51 224 16057 
10 8 6 223 16057 
10 8 21 224 16057 
10 8 36 223 16057 
10 8 51 224 16057 
10 9 6 223 16057 
10 9 21 224 16057 
10 9 36 223 16057 
10 9 51 224 16057 
10 10 6 223 16057 
10 10 21 224 16057 
10 10 36 223 16057 
10 10 51 224 16057 
10 11 6 223 16057 
10 11 21 224 16057 
10 11 36 223 16057 
10 11 51 224 16057 
10 12 6 223 16057 
10 12 21 223 16057 
10 12 36 224 16057 
10 12 51 223 16057 
10 13 6 224 16057 
10 13 21 223 16057 
10 13 36 224 16057 
10 13 51 223 16057 
10 14 6 224 16057 
10 14 21 223 16057 
10 14 36 224 16057 
10 14 51 223 16057 
10 15 6 224 16057 
10 15 21 223 16057 
10 15 36 224 16057 
10 15 51 223 16057 
10 16 6 224 16057 
10 16 21 223 16057 
10 16 36 224 16057 
10 16 51 223 16057 
10 17 6 224 16057 
10 17 21 223 16057 
10 17 36 224 16057 
10 17 51 223 16057 
10 18 34 224 16057 
10 18 49 223 16057 
10 19 4 223 16057 
10 19 19 224 16057 
10 19 34 223 16057 
10 19 49 224 16057 
10 20 4 223 16057 
10 20 19 224 16057 
10 20 34 223 16057 
10 20 49 224 16057 
10 21 4 223 16057 
10 21 19 224 16057 
10 21 34 223 16057 
10 21 49 224 16057 
10 22 4 223 16057 
10 22 19 224 16057 
10 22 34 223 16057 
10 22 49 224 16057 
10 23 4 223 16057 
10 23 19 224 16057 
10 23 34 223 16057 
10 23 49 224 16057 
10 24 4 223 16057 
10 24 19 224 16057 
10 24 34 223 16057 
10 24 49 224 16057 
10 25 4 223 16057 
10 25 19 224 16057 
10 25 34 223 16057 
10 25 49 224 16057 
10 26 4 223 16057 
10 26 19 224 16057 
10 26 34 223 16057 
10 26 49 224 16057 
10 27 4 223 16057 
10 27 19 223 16057 
10 27 34 224 16057 
10 27 49 223 16057 
10 28 4 224 16057 
10 28 19 223 16057 
10 28 34 224 16057 
10 28 49 223 16057 
10 29 4 224 16057 
10 29 19 223 16057 
10 29 34 224 16057 
10 29 49 223 16057 
10 30 4 224 16057 
10 30 19 223 16057 
10 30 34 224 16057 
10 30 49 223 16057 
10 31 4 224 16057 
10 31 19 223 16057 
10 31 34 224 16057 
10 31 49 223 16057 
10 32 4 224 16057 
10 32 19 223 16057 
10 32 34 224 16057 
10 32 49 223 16057 
10 33 4 224 16057 
10 33 47 224 16057 
10 34 2 223 16057 
10 34 17 223 16057 
10 34 32 224 16057 
10 34 47 223 16057 
10 35 2 224 16057 
10 35 17 223 16057 
10 35 32 224 16057 
10 35 47 223 16057 
10 36 2 224 16057 
