ls
ls
<CR>
         TIME          Size       File name 
----A 2020/03/10 14:15     10736  0310
----A 2020/03/10 08:54    128640  03100837
----A 2020/03/10 09:08    128000  03100853
----A 2020/03/10 09:23    128640  03100908
----A 2020/03/10 09:38    128000  03100923
----A 2020/03/10 09:54    128640  03100939
----A 2020/03/10 10:09    128000  03100954
----A 2020/03/10 10:26    128640  03101009
----A 2020/03/10 10:40    128000  03101025
----A 2020/03/10 10:55    128640  03101040
----A 2020/03/10 11:10    128000  03101055
----A 2020/03/10 11:26    128640  03101111
----A 2020/03/10 11:41    128000  03101126
----A 2020/03/10 11:58    128640  03101141
----A 2020/03/10 12:12    128000  03101157
----A 2020/03/10 12:27    128640  03101212
----A 2020/03/10 12:42    128000  03101227
----A 2020/03/10 12:58    128640  03101243
----A 2020/03/10 13:13    128000  03101258
----A 2020/03/10 13:30    128640  03101313
----A 2020/03/10 13:44    128000  03101329
----A 2020/03/10 13:59    128640  03101344
----A 2020/03/10 13:59      2560  03101359
----A 2020/03/12 14:11     10280  0312
----A 2020/03/12 08:47    128640  03120830
----A 2020/03/12 09:01    128000  03120846
----A 2020/03/12 09:18    128640  03120901
----A 2020/03/12 09:31    128000  03120916
----A 2020/03/12 09:47    128640  03120932
----A 2020/03/12 10:02    128000  03120947
----A 2020/03/12 10:19    128640  03121002
----A 2020/03/12 10:49    128000  03121018
----A 2020/03/12 11:03    131200  03121049
----A 2020/03/12 11:19    128640  03121103
----A 2020/03/12 11:34    128000  03121119
----A 2020/03/12 11:51    128640  03121134
----A 2020/03/12 12:07    128000  03121149
----A 2020/03/12 12:20    128640  03121205
----A 2020/03/12 12:35    128000  03121220
----A 2020/03/12 12:51    128640  03121235
----A 2020/03/12 13:06    128000  03121251
----A 2020/03/12 13:23    128640  03121306
----A 2020/03/12 13:39    128000  03121321
----A 2020/03/12 13:52    128640  03121337
----A 2020/03/12 14:07    128000  03121352
----A 2020/03/12 14:07      2560  03121407
----A 2020/03/14 14:23     11224  0314
----A 2020/03/14 08:45    128640  03140829
----A 2020/03/14 08:59    128000  03140844
----A 2020/03/14 09:15    128640  03140900
----A 2020/03/14 09:31    128000  03140915
----A 2020/03/14 09:47    128640  03140930
----A 2020/03/14 10:01    128000  03140946
----A 2020/03/14 10:17    128640  03141001
----A 2020/03/14 10:31    128000  03141016
----A 2020/03/14 10:47    128640  03141032
----A 2020/03/14 11:03    128000  03141047
----A 2020/03/14 11:19    128640  03141102
----A 2020/03/14 11:33    128000  03141118
----A 2020/03/14 11:49    128640  03141133
----A 2020/03/14 12:03    128000  03141148
----A 2020/03/14 12:19    128640  03141204
----A 2020/03/14 12:35    128000  03141219
----A 2020/03/14 12:51    128640  03141234
----A 2020/03/14 13:05    128000  03141250
----A 2020/03/14 13:21    128640  03141305
----A 2020/03/14 13:35    128000  03141320
----A 2020/03/14 13:51    128640  03141336
----A 2020/03/14 14:07    128000  03141351
----A 2020/03/14 14:23     77440  03141406

  70 File(s),   8330480 bytes total
   0 Dir(s),     992208K bytes free

/> 
read 0314
read 0314
<CR>Time:2020/03/14 14:23
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 14 48 74 11227 
8 15 3 73 14846 
8 15 18 75 17178 
8 15 33 75 17975 
8 15 48 75 18036 
8 16 3 75 18036 
8 16 18 75 18036 
8 16 33 75 18036 
8 16 48 75 18036 
8 17 3 75 18036 
8 17 18 75 18036 
8 17 33 75 18036 
8 17 48 74 18036 
8 18 3 75 18036 
8 18 18 75 18036 
8 18 33 75 18036 
8 18 48 75 18036 
8 19 3 75 18036 
8 19 18 75 18036 
8 19 33 75 18036 
8 19 48 75 18036 
8 20 3 75 18036 
8 20 18 75 18036 
8 20 33 75 18036 
8 20 48 75 18036 
8 21 3 75 18036 
8 21 18 75 18036 
8 21 33 75 18036 
8 21 48 75 18036 
8 22 3 75 18036 
8 22 18 75 18036 
8 22 33 75 18036 
8 22 48 75 18036 
8 23 3 75 18036 
8 23 18 75 18036 
8 23 33 75 18036 
8 23 48 75 18036 
8 24 3 75 18036 
8 24 18 75 18036 
8 24 33 74 18036 
8 24 48 75 18036 
8 25 3 75 18036 
8 25 18 75 18036 
8 25 33 75 18036 
8 25 48 75 18036 
8 26 3 75 18036 
8 26 18 75 18036 
8 26 33 75 18036 
8 26 48 75 18036 
8 27 3 75 18036 
8 27 18 75 18036 
8 27 33 75 18036 
8 27 48 75 18036 
8 28 3 75 18036 
8 28 18 75 18036 
8 28 33 75 18036 
8 28 48 75 18036 
8 29 3 75 18036 
8 30 8 75 18036 
8 30 23 75 18036 
8 30 38 75 18036 
8 30 53 75 18036 
8 31 8 75 18036 
8 31 23 75 18036 
8 31 38 75 18036 
8 31 53 75 18036 
8 32 8 75 18036 
8 32 23 75 18036 
8 32 38 75 18036 
8 32 53 75 18036 
8 33 8 74 18036 
8 33 23 75 18036 
8 33 38 75 18036 
8 33 53 75 18036 
8 34 8 75 18036 
8 34 23 75 18036 
8 34 38 75 18036 
8 34 53 75 18036 
8 35 8 75 18036 
8 35 23 75 18036 
8 35 38 75 18036 
8 35 53 75 18036 
8 36 8 75 18036 
8 36 23 75 18036 
8 36 38 75 18036 
8 36 53 75 18036 
8 37 8 75 18036 
8 37 23 75 18036 
8 37 38 75 18036 
8 37 53 75 18036 
8 38 8 75 18036 
8 38 23 75 18036 
8 38 38 75 18036 
8 38 53 75 18036 
8 39 8 74 18036 
