ls

ls
<CR>
         TIME          Size       File name 
----A 2021/03/22 16:34     11664  0322
----A 2021/03/22 10:37    128000  03221022
----A 2021/03/22 10:54    128000  03221037
----A 2021/03/22 11:09    128000  03221053
----A 2021/03/22 11:24    128000  03221109
----A 2021/03/22 11:39    128000  03221124
----A 2021/03/22 11:55    128000  03221140
----A 2021/03/22 12:11    128000  03221156
----A 2021/03/22 12:26    128000  03221211
----A 2021/03/22 12:43    128000  03221227
----A 2021/03/22 12:58    128000  03221243
----A 2021/03/22 13:15    128000  03221258
----A 2021/03/22 13:29    128000  03221314
----A 2021/03/22 13:45    128000  03221330
----A 2021/03/22 14:02    128000  03221345
----A 2021/03/22 14:17    128000  03221401
----A 2021/03/22 14:32    128000  03221417
----A 2021/03/22 14:47    128640  03221432
----A 2021/03/22 15:03    128640  03221448
----A 2021/03/22 15:19    128000  03221504
----A 2021/03/22 15:34    128000  03221519
----A 2021/03/22 15:51    128000  03221535
----A 2021/03/22 16:06    128000  03221551
----A 2021/03/22 16:23    128000  03221606
----A 2021/03/22 16:23      2560  03221622

  25 File(s),   2959504 bytes total
   0 Dir(s),    3875584K bytes free

/> 
read 0322

read 0322
<CR>Time:2021/03/22 16:23
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 0 20 37 7573 
10 0 35 37 6604 
10 0 50 37 12784 
10 1 5 38 18721 
10 1 20 37 22296 
10 1 35 38 23750 
10 1 50 37 24235 
10 2 5 38 23992 
10 2 20 37 23265 
10 9 35 37 23023 
10 9 50 38 23023 
10 10 5 37 23023 
10 10 20 38 23023 
10 10 35 37 23023 
10 10 50 38 23023 
10 11 5 37 23023 
10 11 20 38 23023 
10 11 35 37 23023 
10 11 50 38 23023 
10 12 5 37 23023 
10 12 20 38 23023 
10 12 35 37 23023 
10 12 50 38 23023 
10 13 5 37 23023 
10 13 20 38 23023 
10 13 35 37 23023 
10 13 50 38 23023 
10 14 5 37 23023 
10 14 20 38 23023 
10 14 35 37 23023 
10 14 50 38 23023 
10 15 5 37 23023 
10 15 20 38 23023 
10 15 35 37 23023 
10 15 50 38 23023 
10 16 5 37 23023 
10 16 20 38 23023 
10 16 35 37 23023 
10 16 50 38 23023 
10 17 5 37 23023 
10 17 20 38 23023 
10 17 35 37 23023 
10 17 50 38 23023 
10 18 5 37 23023 
10 18 20 38 23023 
10 18 35 37 23023 
10 18 50 38 23023 
10 19 5 37 23023 
10 19 20 38 23023 
10 19 35 37 23023 
10 19 50 38 23023 
10 20 5 37 23023 
10 20 20 38 23023 
10 20 35 37 23023 
10 20 50 38 23023 
10 21 5 37 23023 
10 21 20 38 23023 
10 22 32 37 23023 
10 22 47 38 23023 
10 23 2 37 23023 
10 23 17 38 23023 
10 23 32 37 23023 
10 23 47 38 23023 
10 24 2 37 23023 
10 24 17 38 23023 
10 24 32 37 23023 
10 24 47 38 23023 
10 25 2 37 23023 
10 25 17 38 23023 
10 25 32 37 23023 
10 25 47 38 23023 
10 26 2 37 23023 
10 26 17 38 23023 
10 26 32 37 23023 
10 26 47 38 23023 
10 27 2 37 23023 
10 27 17 38 23023 
10 27 32 37 23023 
10 27 47 38 23023 
10 28 2 37 22962 
10 28 17 38 23023 
