
ls
ls
<CR>
         TIME          Size       File name 
----A 2022/02/06 08:14    136320  02060802
----A 2022/02/06 13:43     10456  0206
----A 2022/02/06 08:31    128640  02060814
----A 2022/02/06 08:47    128640  02060829
----A 2022/02/06 08:59    128000  02060844
----A 2022/02/06 09:15    128640  02060900
----A 2022/02/06 09:30    129280  02060915
----A 2022/02/06 09:45    128640  02060930
----A 2022/02/06 10:01    128000  02060945
----A 2022/02/06 10:15    128640  02061000
----A 2022/02/06 10:30    128640  02061015
----A 2022/02/06 10:47    128640  02061030
----A 2022/02/06 11:03    128000  02061045
----A 2022/02/06 11:16    128640  02061101
----A 2022/02/06 11:31    128000  02061116
----A 2022/02/06 11:47    128640  02061131
----A 2022/02/06 12:01    128000  02061146
----A 2022/02/06 12:17    128640  02061201
----A 2022/02/06 12:31    128000  02061216
----A 2022/02/06 12:46    129280  02061231
----A 2022/02/06 13:03    128640  02061246
----A 2022/02/06 13:19    128640  02061301
----A 2022/02/06 13:32    128000  02061317
----A 2022/02/06 13:32      2560  02061332

  24 File(s),   2847576 bytes total
   0 Dir(s),     997712K bytes free

/> 
read 0206
read 0206
<CR>Time:2022/02/06 13:32
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 3 22 223 9961 
8 3 37 223 10878 
8 3 52 224 12467 
8 4 7 224 12895 
8 4 22 224 12956 
8 4 37 224 13078 
8 4 52 224 12956 
8 5 7 224 12956 
8 5 22 224 12956 
8 5 37 224 12956 
8 5 52 224 12956 
8 6 7 224 12956 
8 6 22 224 12956 
8 6 37 224 12956 
8 6 52 224 12956 
8 7 7 224 12956 
8 7 22 224 12956 
8 7 37 224 12956 
8 7 52 224 12956 
8 8 7 224 12956 
8 8 22 224 12956 
8 8 37 224 12956 
8 8 52 224 12956 
8 9 7 224 12956 
8 9 22 224 12956 
8 9 37 224 12956 
8 9 52 224 12956 
8 10 7 224 12956 
8 10 22 224 12956 
8 10 37 224 12956 
8 10 52 224 12895 
8 11 7 224 12956 
8 11 22 224 12956 
8 11 37 224 12956 
8 11 52 224 12956 
8 12 7 224 12956 
8 12 22 224 12956 
8 12 37 224 12956 
8 12 52 224 12956 
8 13 7 224 12956 
8 13 22 224 12956 
8 13 37 224 12895 
8 13 52 224 12956 
8 14 7 224 12956 
8 14 22 224 12956 
8 14 37 224 12956 
8 15 30 224 12956 
8 15 45 224 12956 
8 16 0 224 12956 
8 16 15 224 12956 
8 16 30 224 12956 
8 16 45 224 12956 
8 17 0 224 12956 
8 17 15 224 12956 
8 17 30 224 12956 
8 17 45 224 12956 
8 18 0 224 12956 
8 18 15 224 12956 
8 18 30 224 12956 
8 18 45 224 12956 
8 19 0 224 12956 
8 19 15 224 12956 
8 19 30 224 12956 
8 19 45 224 12956 
8 20 0 224 12956 
8 20 15 224 12895 
8 20 30 224 12895 
8 20 45 224 12895 
8 21 0 224 12895 
8 21 15 224 12895 
8 21 30 224 12895 
8 21 45 224 12895 
8 22 0 224 12895 
8 22 15 224 12895 
8 22 30 224 12895 
8 22 45 224 12895 
8 23 0 224 12895 
8 23 15 224 12895 
8 23 30 224 12834 
8 23 45 224 12895 
8 24 0 224 12895 
8 24 15 224 12895 
8 24 30 224 12895 
8 24 45 224 12895 
8 25 0 224 12895 
8 25 15 224 12895 
8 25 30 224 12895 
8 25 45 224 12895 
8 26 0 223 12895 
8 26 15 224 12895 
8 26 30 224 12895 
8 26 45 224 12895 
8 27 0 224 12895 
8 27 15 224 12895 
8 27 30 224 12895 
8 27 45 224 12895 
8 28 0 224 12895 
8 28 15 224 12895 
8 28 30 224 12895 
8 28 45 224 12895 
8 29 0 224 12895 
8 29 15 224 12895 
8 29 30 224 12895 
8 29 45 224 12895 
8 30 37 224 12895 
8 30 52 224 12895 
8 31 7 224 12895 
8 31 22 224 12895 
8 31 37 224 12895 
8 31 52 224 12895 
8 32 7 224 12895 
8 32 22 224 12895 
8 32 37 224 12895 
8 32 52 224 12895 
8 33 7 224 12895 
8 33 22 224 12895 
8 33 37 224 12895 
8 33 52 224 12895 
8 34 7 224 12895 
8 34 22 224 12895 
8 34 37 224 12895 
8 34 52 224 12895 
8 35 7 224 12895 
8 35 22 224 12895 
8 35 37 224 12895 
8 35 52 224 12895 
8 36 7 224 12895 
8 36 22 224 12895 
8 36 37 224 12895 
8 36 52 224 12895 
8 37 7 224 12895 
8 37 22 224 12895 
8 37 37 224 12895 
8 37 52 224 12895 
8 38 7 224 12895 
