ls

ls
<CR>
         TIME          Size       File name 
----A 2022/02/06 08:19    142080  02060803
----A 2022/02/06 13:43     10352  0206
----A 2022/02/06 08:34    128640  02060819
----A 2022/02/06 08:49    128640  02060834
----A 2022/02/06 09:05    128000  02060849
----A 2022/02/06 09:19    128640  02060904
----A 2022/02/06 09:34    128000  02060919
----A 2022/02/06 09:51    128640  02060934
----A 2022/02/06 10:07    128000  02060949
----A 2022/02/06 10:20    128640  02061005
----A 2022/02/06 10:35    128640  02061020
----A 2022/02/06 10:51    128640  02061035
----A 2022/02/06 11:05    128000  02061050
----A 2022/02/06 11:21    128640  02061105
----A 2022/02/06 11:35    128640  02061120
----A 2022/02/06 11:50    128640  02061135
----A 2022/02/06 12:07    128640  02061150
----A 2022/02/06 12:23    128640  02061205
----A 2022/02/06 12:36    128000  02061221
----A 2022/02/06 12:51    128640  02061236
----A 2022/02/06 13:07    128000  02061251
----A 2022/02/06 13:21    128640  02061306
----A 2022/02/06 13:38    128000  02061321
----A 2022/02/06 13:38      2560  02061336

  24 File(s),   2851952 bytes total
   0 Dir(s),     997712K bytes free

/> 
read 0206
read 0206
<CR>Time:2022/02/06 13:38
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 3 58 223 7103 
8 4 13 223 9368 
8 4 28 224 10409 
8 4 43 224 12185 
8 4 58 224 12797 
8 5 13 224 12920 
8 5 28 224 13165 
8 5 43 224 13042 
8 5 58 224 12981 
8 10 4 224 12981 
8 10 19 224 12981 
8 10 34 224 12981 
8 10 49 224 12981 
8 11 4 224 12981 
8 11 19 224 12981 
8 11 34 224 12981 
8 11 49 224 12981 
8 12 4 224 12981 
8 12 19 224 12981 
8 12 34 224 12981 
8 12 49 224 12981 
8 13 4 224 12981 
8 13 19 224 12981 
8 13 34 224 12981 
8 13 49 224 12981 
8 14 4 224 12981 
8 14 19 224 12981 
8 14 34 224 12981 
8 14 49 224 12981 
8 15 4 224 12981 
8 15 19 224 12981 
8 15 34 224 12981 
8 15 49 224 12981 
8 16 4 224 12981 
8 16 19 224 12981 
8 16 34 224 12981 
8 16 49 224 12981 
8 17 4 224 12981 
8 17 19 224 12981 
8 17 34 224 12981 
8 17 49 224 12981 
8 18 4 224 12981 
8 18 19 224 12981 
8 18 34 224 12981 
8 18 49 224 12981 
8 19 4 224 12981 
8 19 57 224 12981 
8 20 12 224 12981 
8 20 27 224 12981 
8 20 42 223 12981 
8 20 57 224 12981 
8 21 12 224 12920 
8 21 27 224 12920 
8 21 42 224 12920 
8 21 57 224 12920 
8 22 12 224 12920 
8 22 27 224 12920 
8 22 42 224 12920 
8 22 57 224 12920 
8 23 12 224 12920 
8 23 27 224 12920 
8 23 42 224 12920 
8 23 57 224 12920 
8 24 12 224 12920 
8 24 27 224 12920 
8 24 42 224 12920 
8 24 57 224 12920 
8 25 12 224 12920 
8 25 27 224 12920 
8 25 42 224 12920 
8 25 57 224 12920 
8 26 12 224 12920 
8 26 27 224 12920 
8 26 42 224 12920 
8 26 57 224 12920 
8 27 12 224 12920 
8 27 27 224 12920 
8 27 42 224 12920 
8 27 57 224 12920 
8 28 12 224 12920 
8 28 27 224 12920 
8 28 42 224 12920 
8 28 57 224 12920 
8 29 12 224 12920 
8 29 27 224 12920 
8 29 42 224 12920 
8 29 57 224 12920 
8 30 12 224 12920 
8 30 27 224 12920 
8 30 42 224 12920 
8 30 57 224 12920 
8 31 12 224 12920 
8 31 27 224 12920 
8 31 42 224 12920 
8 31 57 224 12920 
8 32 12 224 12920 
8 32 27 224 12920 
8 32 42 224 12920 
8 32 57 224 12920 
8 33 12 224 12920 
8 33 27 224 12920 
8 33 42 224 12920 
8 33 57 224 12920 
8 34 12 224 12920 
8 35 4 224 12920 
8 35 19 223 12920 
8 35 34 224 12920 
8 35 49 224 12920 
8 36 4 224 12920 
8 36 19 224 12920 
8 36 34 224 12920 
8 36 49 224 12920 
8 37 4 224 12920 
8 37 19 224 12920 
8 37 34 224 12920 
8 37 49 224 12920 
8 38 4 224 12920 
8 38 19 224 12920 
8 38 34 224 12920 
8 38 49 224 12920 
8 39 4 224 12920 
8 39 19 224 12920 
8 39 34 224 12920 
8 39 49 224 12920 
8 40 4 224 12920 
8 40 19 224 12920 
8 40 34 224 12920 
8 40 49 224 12920 
8 41 4 224 12920 
8 41 19 224 12920 
8 41 34 224 12920 
8 41 49 224 12920 
8 42 4 224 12920 
8 42 19 224 12920 
8 42 34 224 12920 
8 42 49 224 12920 
8 43 4 224 12920 
8 43 19 224 12920 
8 43 34 224 12920 
8 43 49 224 12920 
8 44 4 224 12920 
8 44 19 224 12920 
8 44 34 224 12920 
8 44 49 224 12920 
8 45 4 224 12920 
8 45 19 224 12920 
8 45 34 224 12920 
8 45 49 224 12920 
8 46 4 224 12920 
8 46 19 224 12920 
8 46 34 224 12920 
8 46 49 224 12920 
8 47 4 224 12920 
8 47 19 224 12920 
8 47 34 224 12920 
8 47 49 224 12920 
8 48 4 224 12920 
