ls
ls
<CR>
         TIME          Size       File name 
----A 2020/11/14 09:15      9872  1114
----A 2020/11/14 03:51    128000  11140334
----A 2020/11/14 04:07    128000  11140351
----A 2020/11/14 04:23    128000  11140408
----A 2020/11/14 04:43    128000  11140425
----A 2020/11/14 04:59    128000  11140442
----A 2020/11/14 05:15    128000  11140459
----A 2020/11/14 05:31    128000  11140516
----A 2020/11/14 05:51    128000  11140533
----A 2020/11/14 06:07    128000  11140550
----A 2020/11/14 06:23    128000  11140607
----A 2020/11/14 06:39    128000  11140624
----A 2020/11/14 06:59    128000  11140641
----A 2020/11/14 07:15    128000  11140658
----A 2020/11/14 07:31    128000  11140715
----A 2020/11/14 07:47    128000  11140732
----A 2020/11/14 08:07    128000  11140749
----A 2020/11/14 08:23    128000  11140806
----A 2020/11/14 08:39    128000  11140823
----A 2020/11/14 08:55    128000  11140840
----A 2020/11/14 09:15    128000  11140857
----A 2020/11/14 09:15      2560  11140914
----A 2020/11/23 22:59      9920  1123
----A 2020/11/23 00:31    128000  11230016
----A 2020/11/23 00:49    128000  11230033
----A 2020/11/23 01:05    128000  11230050
----A 2020/11/23 01:23    128000  11230107
----A 2020/11/23 01:39    128000  11230124
----A 2020/11/23 01:57    128000  11230141
----A 2020/11/23 02:13    128000  11230158
----A 2020/11/23 02:31    128000  11230215
----A 2020/11/23 02:47    145920  11230232
----A 2020/11/23 03:06    128000  11230249
----A 2020/11/23 03:23    128000  11230306
----A 2020/11/23 03:38    128000  11230323
----A 2020/11/23 03:55    128000  11230340
----A 2020/11/23 04:14    128000  11230357
----A 2020/11/23 04:31    128000  11230414
----A 2020/11/23 04:46    128000  11230431
----A 2020/11/23 05:03    128000  11230448
----A 2020/11/23 05:23    128000  11230505
----A 2020/11/23 05:39    144640  11230522
----A 2020/11/23 05:58    141440  11230541
----A 2020/11/23 06:13    151680  11230600
----A 2020/11/23 06:50    156800  11230615
----A 2020/11/23 06:55      2560  11230654
----A 2020/12/02 10:19      5144  1202
----A 2020/12/02 07:34    128000  12020719
----A 2020/12/02 07:51    128000  12020736
----A 2020/12/02 08:10    128000  12020753
----A 2020/12/02 08:27    128000  12020810
----A 2020/12/02 08:42    128000  12020827
----A 2020/12/02 08:59    128000  12020844
----A 2020/12/02 09:18    128000  12020901
----A 2020/12/02 09:35    128000  12020918
