h
h

<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls

<CR>
         TIME          Size       File name 
----A 2019/04/25 16:36     13640  0425
----A 2019/04/27 13:37      9528  0427
----A 2019/04/27 08:27    128000  04270809
----A 2019/04/27 08:43    128000  04270826
----A 2019/04/27 08:59    128000  04270843
----A 2019/04/27 09:15    128000  04270900
----A 2019/04/27 09:35    128000  04270917
----A 2019/04/27 09:51    128000  04270934
----A 2019/04/27 10:07    128000  04270951
----A 2019/04/27 10:23    128000  04271008
----A 2019/04/27 10:43    128000  04271025
----A 2019/04/27 10:59    128000  04271042
----A 2019/04/27 11:15    128000  04271059
----A 2019/04/27 11:32    128000  04271116
----A 2019/04/27 11:49    128000  04271133
----A 2019/04/27 12:06    128000  04271150
----A 2019/04/27 12:23    128000  04271207
----A 2019/04/27 12:40    128000  04271225
----A 2019/04/27 12:57    128000  04271242
----A 2019/04/27 13:14    128000  04271259
----A 2019/04/27 13:31    128000  04271316
----A 2019/04/25 14:22    128000  04251405
----A 2019/04/25 14:39    128000  04251422
----A 2019/04/25 14:54    128000  04251439
----A 2019/04/25 15:11    128000  04251456
----A 2019/04/25 15:30    128000  04251513
----A 2019/04/25 15:47    128000  04251530
----A 2019/04/25 16:02    128000  04251547
----A 2019/04/25 16:19    128000  04251604
----A 2019/04/25 16:23      2560  04251621
----A 2019/04/27 13:33      2560  04271333
----A 2018/12/09 11:54      6632  1209
----A 2018/12/09 11:51     44800  12091111
----A 2018/12/10 12:09      8384  1210
----A 2018/12/10 07:53    128640  12100738
----A 2018/12/10 08:09    128000  12100754
----A 2018/12/10 08:25    128000  12100810
----A 2018/12/10 08:41    128000  12100826
----A 2018/12/10 08:57    128000  12100842
----A 2018/12/10 09:13    128000  12100858
----A 2018/12/10 09:29    128000  12100914
----A 2018/12/10 09:45    128000  12100930
----A 2018/12/10 10:01    128640  12100946
----A 2018/12/10 10:17    128000  12101002
----A 2018/12/10 10:33    128000  12101018
----A 2018/12/10 10:49    128000  12101034
----A 2018/12/10 11:05    128000  12101050
----A 2018/12/10 11:21    128000  12101106
----A 2018/12/10 11:37    128000  12101122
----A 2018/12/10 11:53    128000  12101138
----A 2018/12/10 11:55      2560  12101154

  51 File(s),   5595944 bytes total
   0 Dir(s),     994912K bytes free

/> 
read 0427
read 0427
<CR>Time:2018/12/10 11:55
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 52 25 12 15705 
7 52 41 13 17484 
