Hole_ID,Component,Easting,Northing,Elevation,Station,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
sl12-64,Z,354625.02,5402537.94,430.77,40,111.633,-5.01247,-4.27596,-2.70899,-3.29474,11.8,9.07723
sl12-64,Z,354624.86,5402537.75,410.77,60,82.3271,-4.92761,-5.08503,-2.78679,-2.9046,6.92708,4.93219
sl12-64,Z,354624.70,5402537.57,390.77,80,26.3205,-6.93814,-5.63808,-2.74866,-3.23813,4.46903,4.43411
sl12-64,Z,354624.54,5402537.38,370.77,100,19.5299,-5.8136,-5.12553,-2.80483,-1.32363,1.72751,0.856759
sl12-64,Z,354624.38,5402537.20,350.77,120,8.94886,-5.2851,-3.47437,-3.47195,-3.59671,-1.21092,0.949745
sl12-64,Z,354624.22,5402537.02,330.78,140,29.4779,-0.127955,-0.0509499,1.66833,-1.35967,2.30102,4.19436
sl12-64,Z,354624.14,5402536.92,320.78,150,13.1082,-5.44997,-4.64066,-5.37117,-5.8908,-2.69226,-1.6489
sl12-64,Z,354624.06,5402536.83,310.78,160,28.2313,-5.10805,-4.93899,-4.78935,-4.27062,-2.51175,-1.69105
sl12-64,Z,354623.98,5402536.74,300.78,170,20.1533,-6.90748,-3.20201,-4.93152,-4.32953,-3.06081,-3.02201
sl12-64,Z,354623.90,5402536.65,290.78,180,24.212,-5.00044,-4.48406,-5.00799,-4.68552,-4.10055,-3.41462
sl12-64,Z,354623.82,5402536.56,280.78,190,41.0305,-4.94814,-3.48138,-3.36453,-3.35117,-2.41769,-1.92118
sl12-64,Z,354623.73,5402536.46,270.78,200,33.7743,-6.55249,-5.98683,-4.83872,-3.76573,-4.83555,-3.49287
sl12-64,Z,354623.65,5402536.37,260.78,210,34.5592,-5.22621,-3.50889,-2.99938,-3.01082,-2.10743,-1.6498
sl12-64,Z,354623.57,5402536.28,250.78,220,43.7442,-5.73187,-6.63076,-3.88002,-5.42881,-2.81422,-0.947307
sl12-64,Z,354623.49,5402536.19,240.78,230,48.7654,-4.93556,-3.45379,-2.03138,-3.62031,-3.98921,-2.64572
sl12-64,Z,354623.41,5402536.09,230.78,240,39.8008,-6.90554,-3.69666,-5.40798,-3.87073,-2.99353,-2.74562
sl12-64,Z,354623.33,5402536.00,220.78,250,52.3708,-3.20015,-3.82489,-2.90732,-3.93615,-3.41855,-2.56828
sl12-64,Z,354623.25,5402535.91,210.79,260,56.5576,-5.39166,-4.59961,-4.65195,-4.72044,-3.01035,-3.42452
sl12-64,Z,354623.17,5402535.82,200.79,270,55.9574,-4.70268,-3.83021,-3.73396,-2.25773,-3.38007,-3.45376
sl12-64,Z,354623.09,5402535.73,190.79,280,59.9255,-4.95196,-3.21146,-3.36212,-2.04004,-2.31971,-1.91126
sl12-64,Z,354623.05,5402535.68,185.79,285,53.0294,-3.90058,-3.87781,-1.17237,-2.28121,-3.20203,-3.80768
sl12-64,Z,354623.01,5402535.63,180.79,290,50.4889,-6.31165,-4.89385,-3.29027,-3.32143,-2.9341,-2.8451
sl12-64,Z,354622.97,5402535.59,175.79,295,57.2017,-3.48836,-5.20602,-3.30627,-2.56236,-3.20295,-1.84388
sl12-64,Z,354622.93,5402535.54,170.79,300,55.4912,-4.29804,-3.67672,-3.77224,-2.29962,-2.44777,-1.98258
